adref,salary_min,redirect_url,description,latitude,title,salary_is_predicted,id,created,__CLASS__,salary_max,longitude,category.label,category.__CLASS__,category.tag,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MzAzIn0.fMFkqFgC0G4CWEiVyDaT5qXBlzUCHvFnerVj-qz2YdA,138888.9,https://www.adzuna.com/land/ad/5785636303?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=C58D1AFC7A24A6E0DB5DC720F9658C517BD85A15,"Role Name: Onsite Oracle PL/SQL Tech developer Location: Camden, NJ. ONSITE Job Description: This is onsite role at Camden, NJ as per Client mandated hybrid work model. 1. Extensive experience in Oracle PL/SQL, leveraging the latest database features to write efficient and optimized code. 2. A solid understanding of EBS packaged modules—particularly within Supply Chain Management—is essential. Once business requirements are provided, the associate should be able to work independently and delive…",39.9532,Oracle PL/SQL Technical Developer,1,5785636303,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,138888.9,-75.0722,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Merchantville, Camden County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Camden County', 'Merchantville']",Estuate Inc.,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MzA1In0.1gm7PcV-I-7Aq5fGF6kpr5chY-DxHXjXchTQuU848kI,52136.96,https://www.adzuna.com/land/ad/5785636305?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=2098DF0957C287F971479FC8BF760C9AED5CC7A0,"Job Requirements 7 years of experience in digital product management and Agile software delivery within the financial services sector. Proficiency in Jira for technical backlog management, sprint tracking, and Agile project orchestration. Experience in SQL for performing data analysis to validate product requirements and business insights. Experience with Azure DevOps for managing software release cycles and developer workflows. Experience with Confluence for documenting functional specificatio…",34.886279,Product Lead – Rewards & Loyalty,1,5785636305,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,52136.96,-76.346744,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Sealevel, Carteret County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Carteret County', 'Sealevel']","Resourcesoft, Inc.",Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMwMCIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.MkCk30t2sQP1T8vwklLI_R6UJy5WpI0r8UdBpJ2WZ2k,92304.74,https://www.adzuna.com/land/ad/5785636300?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=5256DC968A6E15BB0D9CB70B45A9613E978E389C,"Requirements Experience: 8 years in Platform Engineering, DevOps, or Site Reliability Engineering (SRE). Cloud Expertise: Deep proficiency in AWS (IAM, CloudWatch, Bedrock, Lambda). Observability Tools: Proven experience with Dynatrace, Jaeger, or Honeycomb, and distributed tracing standards. AI/LLM Interest: Familiarity with the LLM lifecycle, including prompt execution, token usage, and frameworks like LangChain or AgentCore. Automation: Advanced experience with Terraform and CI/CD pipeline d…",,Senior AWS Platform Engineer/DevOps-Remote.,1,5785636300,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,92304.74,,IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],mProgen,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2Mjk4In0.uhS8XnMpEU7cbnZpBqe-pGDjA5mLr7uJEdMu4-YiFb8,164884.5,https://www.adzuna.com/land/ad/5785636298?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=A8BC1FFC4FF98FCB094499D79CA486C781C7176B,"Job Description: Primary Skills: BIGID implementation, remediation, data privacy and compliance expertise (GDPR, CCPA, HIPAA, etc.) Work closely with client stakeholders to determine technical requirements for specific business objectives at hand Configuring data source for Scanning, defining policies, creating scanning profiles, scheduling scans, creating DSAR, data retention, etc. Analysis of upstream/downstream dependencies, identify the presence of PI data and the source of this information…",32.760168,BigID Lead (Data Privacy),1,5785636298,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,164884.5,-96.765058,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Highland Park, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Highland Park']",Arnex Solutions LLC,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjIzMyIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.N5JbeVu3jFHn10V8txL3QpkDZTHdxGQY8qd0K856DI4,124047.91,https://www.adzuna.com/land/ad/5785636233?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=B83885960514DA362CB2BEE0D1715DEACCEF68B7,"Terms of Employment Direct Hire Hybrid Schedule (2-3 days onsite at Suitland MD) Active TS/SCI clearance Overview As the top-ranked ServiceNow solution provider, we offer federal agencies the deepest capabilities, resources, and experience for their projects. Join our team as a developer implementing ServiceNow for a large federal agency. Work on a team responsible for the implementation and configuration of multiple modules and capabilities, specifically within the IT Service Management suite …",38.832891,ServiceNow Consultant (TS/SCI Clearance required),1,5785636233,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,124047.91,-76.959419,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Hillcrest Heights, Prince George's County",Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Hillcrest Heights']",nTech Solutions,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjI2OCIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.4A6XfESrOapGxSves04hCYa3eZigZazRxOGo4sXO-fk,111079.23,https://www.adzuna.com/land/ad/5785636268?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=3501C27C9246A4B93C0239209A99AB3656A69B91,"Title: SSIS Developer with Strong SQL AWS & Financial Location: Pittsburgh, PA (Onsite) ROLE: SSIS DEVELOPER (SQL SERVER, AWS,FINANCIAL) Required Skills ETL & Database Development AWS Cloud Financial Services Domain Best Regards Naveen Sunray Informatics Inc naveen(@)sunrayinformatics(.)com",40.444374,"SSIS Developer with Strong SQL AWS & Financial _ Pittsburgh,PA (Onsite)",1,5785636268,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,111079.23,-79.941817,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Bloomfield, Allegheny County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Allegheny County', 'Bloomfield']",SUNRAY INFORMATICS,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MjkxIn0.pYWyCobx7uk_UJ4UVVwsK6Q6YyFR50pjVEIAW5mIA88,98435.81,https://www.adzuna.com/land/ad/5785636291?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=8002C87319B35B0B1998F5D73A06C1D2B2D62E12,"Job Title: SAP PP&QM Consultant Work Location & Reporting Address: Richardson, TX 75082 (Hybrid) Job Details: Minimum years of experience required:10 years Must Have Skills: SAP PP & SAP QM Detailed Job Description: SAP PP-PI & QM Consultant (S/4HANA Stabilization)(anywhere in USA) Role Overview We are looking for a highly experienced SAP PP-PI & QM Consultant with 10 years of experience to support S/4HANA post-go-live stabilization and ongoing enhancements. The role requires strong expertise i…",32.962767,SAP PP&QM Consultant,1,5785636291,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,98435.81,-96.74487,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Richardson, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Richardson']","Galaxy i Technologies, Inc.",Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MjMyIn0.2RDl9KUpn3y_eu54AvmxPCShX82FD2OrdNClmHykjtY,158771.39,https://www.adzuna.com/land/ad/5785636232?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=C5F96A96586BCE37C8EA1BA33FF79E8FBEB1CF77,"NAVA Software solutions is looking for a Manager AI Engineering Details: Manager - AI Engineering Denver CO - Onsite Duration: 12 months Hands-on AI/ML leader with strong experience in AI Engineering, Machine Learning, Data Science, or applied NLP No Less than 4 years in ML/NLP Deep expertise in machine learning, deep learning, and NLP, with experience working on text data such as call transcripts, customer interactions, or reviews No Less than 4 years in ML/NLP Proven track record of building …",39.64879,Manager AI Engineering,1,5785636232,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,158771.39,-105.014832,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Greenwood Village, Arapahoe County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Arapahoe County', 'Greenwood Village']",Nava Software Solutions,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjI3NCIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.h1kmC5Zwxcb4r3J3R5M7dqzfZLxzXLUWlEOALSsye1U,116682.8,https://www.adzuna.com/land/ad/5785636274?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=27C7B4D8803E91D484A176C150ADFF5BE2388F6B,"Job Title : Mainframe z/VM & Linux Engineer Location : Phoenix, AZ Duration : 12Months Required Qualifications: Strong experience with: IBM z/VM (z/VM 6.x / 7.x) Linux on IBM Z (RHEL/SUSE/Ubuntu) Hands-on experience with: Virtual machine provisioning and management VM directory management (DirMaint) System maintenance (RSUs, APARs, VMSES/E) Knowledge of: HMC operations and IPL processes Storage (DASD) and networking on z systems Strong troubleshooting skills across: z/VM system issues Linux OS …",33.449188,Mainframe z/VM & Linux Engineer,1,5785636274,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,116682.8,-112.0772,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",Taproot Solutions,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MjU1In0.RhwN60mutMBZ5JSk4mmQxlmOkoRjd0X_7yLAfHzkb5w,205519.73,https://www.adzuna.com/land/ad/5785636255?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=2CC1B8DD97F1C53E5679E8492A81D93F5E23FA01,"Title: SW Cyber Security Engineer (Mid-Level) Location: Reston VA- Locals only - Hybrid (onsite 1x per month in Reston VA) Rate: $70/hr W2 Interview: Video then onsite is required LinkedIn required! We are is seeking a mid-level, SW application focused, Cyber Security Engineer who has strong AWS Cloud Vulnerability Management and application testing experience leveraging one or more of the following tools - Checkmarx, Contrast Security, TideLift, Burp Suite, OWASP Dependency Check, or Fortinet …",38.964,Cyber Security Engineer,1,5785636255,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,205519.73,-77.338,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Reston, Fairfax County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Fairfax County', 'Reston']",Source Infotech,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MjYxIn0.xpQnNnI9BPv6ZNZLr-Uzme2S_e2Q2Q-wo6rHfn4kReU,218081.78,https://www.adzuna.com/land/ad/5785636261?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=B1228107F7D25EC4D3DD75970F48E620221C0FA1,"Job Description: Senior Business Analyst Position Overview Job Title: Business Analyst Skill Level: Senior (60-84 Months: Able to work independently, provide guidance to others, and may have an advanced education) Position Status: New Program/Project Name: RAISE System Implementation Engagement Duration: 7.0 Months Project & Position Description This position is in support of the RAISE System Implementation. The Senior Business Analyst will be responsible for analyzing, creating, reviewing, and…",42.64469,Business Analyst - Passport copy Mandatory,1,5785636261,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,218081.78,-73.80007,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Elsmere, Albany County",Adzuna::API::Response::Location,"['US', 'New York', 'Albany County', 'Elsmere']",Bits & Bytes Technology Solutions,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjIzNSIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.lTKU2uOljY8eapmfFVknbCkxG4DxmWDfxWMMrq6fwUo,269671.3,https://www.adzuna.com/land/ad/5785636235?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=567F55EA29D31C096B7DF26739D403950E3365E3,"Job Description: Senior Software Developer Position Overview Job Title: Software Developer Skill Level: Senior (60-84 Months: Able to work independently, provide guidance to others, and may have an advanced education) Program/Project Name: Automated State Support Enforcement System (ASSETS) Engagement Duration: 30.0 Months Project & Position Description This position is in support of the Automated State Support Enforcement System (ASSETS). The role involves the analysis, design, coding, compone…",42.64469,Java with COBOL Exp & Govt Exp - Passport copy Mandatory,1,5785636235,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,269671.3,-73.80007,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Elsmere, Albany County",Adzuna::API::Response::Location,"['US', 'New York', 'Albany County', 'Elsmere']",Bits & Bytes Technology Solutions,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MjQ5In0.Cgh0cFv489BEzA76WQoUE__UgFWbOJaIEUZFp1Q5Kmo,141953.88,https://www.adzuna.com/land/ad/5785636249?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=B779AAAF78D29B0585FE13E8D9644A54A36C2048,"Job Title: Oracle Cloud HCM Compensation Lead Location: Remote Duration: Long Term Contract Technical Skills: Years/Level of Experience Oracle HCM Cloud Compensation (10 yrs experience) Oracle HCM Cloud Benefits (7-10 yrs experience) Requirements Analysis (7-10 yrs experience) Client Communication (3-5 yrs experience) Role Description: As the Oracle HCM Cloud Compensation HR Lead, you are responsible for overall system configuration for the Oracle HCM Cloud Compensation module. This role involv…",,Oracle Cloud HCM Compensation Lead,1,5785636249,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,141953.88,,IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],Aasritha infotech Inc,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjIyNSIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.Zh4XYennHvu4JVX4Q7IRmsAK9X5QStBFdKTnRij0sis,115384.68,https://www.adzuna.com/land/ad/5785636225?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=E28E4EA0EC400D8B31150240A94839FE0E67C847,"Our client, Airbnb , a leading global online marketplace and technology company, is looking to hire a Senior Security Engineer – Threat Detection & Response for a remote contract opportunity. Pay Rate Range: $120/hr to $137/hr W2 Responsibilities: Investigate and respond to cybersecurity incidents across corporate and production environments. Perform threat hunting to proactively identify malicious or suspicious activity. Build and enhance automated security detections and response workflows. A…",37.775,RTA Posted Job Description,1,5785636225,2026-07-02T11:12:34Z,Adzuna::API::Response::Job,115384.68,-122.4183,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Hayes Valley, San Francisco",Adzuna::API::Response::Location,"['US', 'California', 'San Francisco', 'Hayes Valley']","Russell, Tobin & Associates",Adzuna::API::Response::Company,,
