salary_max,description,__CLASS__,title,salary_is_predicted,salary_min,id,adref,latitude,redirect_url,created,longitude,location.display_name,location.area,location.__CLASS__,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,contract_time,contract_type
39943.82,"Job Title: Operations Specialist Location: Larchmont, Ny Employee Type: Full Time Pay Rate: $24.00 - $26.00/hr  Full Benefit Package (day one) We want you to be a part of our team — not just for a job, but for a long-term career. We're committed to investing in your growth, helping you build your skills, and supporting your professional development every step of the way. As a key player in our success, you’ll work with some of the largest fleet companies in America and gain hands-on experience …",Adzuna::API::Response::Job,Operations Specialist,1,39943.82,5676012417,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQxNyIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.W3FKbgjhT1_Z_41irbBYGy-nEAZ1hAYU1cDgArFM-HY,40.927877,https://www.adzuna.com/details/5676012417?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:01:28Z,-73.751798,"Larchmont, Westchester County","['US', 'New York', 'Westchester County', 'Larchmont']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Flexcar,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,full_time,
75897.91,"Organization Description: Already working a 9-5 and looking for additional income? Or are looking for the right opportunity to transition into a new & exciting industry? Are you accountable, coachable, and possess a positive mental attitude? If so, then you are a great fit with us. We have a unique sales system that allows you to earn additional income and build your business from home. You're also able to earn agency ownership with top training, support & mentorship. Our firm, specializes in s…",Adzuna::API::Response::Job,"Exciting Sales Career, Work From Home",1,75897.91,5676012412,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQxMiIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.g7xn0U-w8hm8nFsSdLC4O1-MKfp5Uztcy8LTTDoVj1Q,,https://www.adzuna.com/details/5676012412?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:01:24Z,,US,['US'],Adzuna::API::Response::Location,Adzuna::API::Response::Company,NKH Agency,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,part_time,
137814.9,"The Brian Mitchell Agency is looking for successful Sales Representatives near the Fargo, ND area who exhibit a winning mindset, derive satisfaction from making a positive difference in people's lives, appreciate a highly regarded work environment, and possess a strong enthusiasm for continuous learning. At the Brian Mitchell Agency, our goal is to revolutionize the landscape of insurance sales by combining our agents ability to forge deeper connections among individuals with our user-friendly …",Adzuna::API::Response::Job,Sales Representative,1,137814.9,5676012411,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDExIn0.Tgt44w60hi9YQX_T85v55u0nwBF6r2gH8XRVf94hoRA,46.877186,https://www.adzuna.com/details/5676012411?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:01:22Z,-96.789803,"Fargo, Cass County","['US', 'North Dakota', 'Cass County', 'Fargo']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Brian Mitchell Agency,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,full_time,
27029.43,"Cook and clean at designated area (eggs, sandwiches, salads, pancakes, chicken, waffles) Skills * Make omelettes Fried eggs (scrambled, Sunny Side, over easy, over medium, over hard, poached) Cook meat (medium rare, medium well, well done) Requirements * Must have basic knowledge (experience preferred) Must work Sundays and Saturdays Must be able to keep up with a quick pace and handle pressure Job Type: Full-time Salary: $15.00 - $17.00 per hour Benefits: Employee discount Paid time off Experi…",Adzuna::API::Response::Job,Line Cook,1,27029.43,5676012390,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyMzkwIn0.XzxXskGiUX_WyMr7Of4UUck9nrxGfqiMkMK1XNA6hvY,,https://www.adzuna.com/details/5676012390?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:00:20Z,,"New York City, New York","['US', 'New York', 'New York City']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Little Hen,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,full_time,
117783.82,"Senior Perishables Buyer Salary 100K Plus Bonus and Benefits Working onsite at our corporate office in Great Neck, NY Wholesale food company is responsible for the profitable procurement and timely delivery of products for assigned lines. Works closely with the Sr. Director of Purchasing and Senior Buyers to achieve the goals of the company. Provides supply chain/inventory management for promotionally active categories and corresponding financial accountabilities. Procures product in accordance…",Adzuna::API::Response::Job,Senior Perishables Buyer,1,117783.82,5676012219,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjIxOSIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.SiDMZ-YLjWFF0WsbXocICRoa36-U-Kh0H6yeWXvNcpI,40.771945,https://www.adzuna.com/details/5676012219?utm_medium=api&utm_source=abfa41a4,2026-03-23T09:58:01Z,-73.712534,"Great Neck, Nassau County","['US', 'New York', 'Nassau County', 'Great Neck']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Carrie Rikon & Associates, LLC.",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
96117.77,"Title: Cyber Defense Infrastructure Support Specialist Clearance : Active TS Required, Q Clearance preferred Education : Bachelor’s degree preferred Years Experience : all levels available Location : fully remote Compensation : DOE ($55k/yr-$115k/yr.) A Cyber Defense Infrastructure Support Specialist is responsible for the maintenance, enhancement, and protection of an organization's cyber defense infrastructure. This role involves safeguarding critical data and network resources, ensuring oper…",Adzuna::API::Response::Job,Cyber Defense Infrastructure Specialist (Top Secret Required) | Remote,1,96117.77,5676012216,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyMjE2In0.0XW7fX-Pne3zQt6-56N2Lp0qVmqzmdsdOCt3SZWv9ik,,https://www.adzuna.com/details/5676012216?utm_medium=api&utm_source=abfa41a4,2026-03-23T09:57:59Z,,US,['US'],Adzuna::API::Response::Location,Adzuna::API::Response::Company,August Schell,Adzuna::API::Response::Category,it-jobs,IT Jobs,,
77206.73,"Midwestern Auto Group (MAG), the Nation’s Largest Collection of European Brands under one roof, is seeking skilled and motivated Hi-Line Automotive Technicians to join our world-class service team in Dublin, Ohio. If you have experience working with premium European brands such as Ferrari, Lamborghini, Porsche, Bentley, Land Rover, and Rolls-Royce, we want to hear from you.  What You’ll Do: Diagnose and repair complex issues across European and luxury vehicles. Perform factory-recommended maint…",Adzuna::API::Response::Job,Luxury Automotive Hi-Line Technician,1,77206.73,5676012214,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjIxNCIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.ljggKMogkG8guXLUvMcISOO37Bi4GXr9_9kq32LeZ_8,40.100256,https://www.adzuna.com/details/5676012214?utm_medium=api&utm_source=abfa41a4,2026-03-23T09:57:33Z,-83.139142,"Dublin, Franklin County","['US', 'Ohio', 'Franklin County', 'Dublin']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Midwestern Auto Group ,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,,
46426.0,"Job description INTRODUCTION A & Associates is a reputable staffing agency with a proven track record in screening and recruiting as well as job placement and career development. With more than ten (10) offices throughout the Unites States, A & Associates is a company that can be trusted to provide a diverse level of services with excellence, diligence and integrity. “Quality In Everything We Do” is far more than our mantra, it is our standard Explore a career with A & Associates, one of the le…",Adzuna::API::Response::Job,WI-Laborer- Waterfront,1,46426.0,5676012213,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjIxMyIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.R_-H-1RRTgxyL23L1jj7hXkuUjitT_JJ1ThWkcMkmQE,43.132397,https://www.adzuna.com/details/5676012213?utm_medium=api&utm_source=abfa41a4,2026-03-23T09:57:28Z,-88.726081,"Watertown, Jefferson County","['US', 'Wisconsin', 'Jefferson County', 'Watertown']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,A & Associates,Adzuna::API::Response::Category,manufacturing-jobs,Manufacturing Jobs,full_time,permanent
67321.77,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,"Shop, Deliver, Earn Cash - Instacart",1,67321.77,5676012186,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjE4NiIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.uuLWxtMvMOEfGbQemfpjpkcZuSJ5ON-8lNqDIE2vBYk,39.818772,https://www.adzuna.com/land/ad/5676012186?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=D5A5BB67799E4B816470D33E3A07646284E60394,2026-03-23T09:55:45Z,-91.241539,"Bluff Hall, Adams County","['US', 'Illinois', 'Adams County', 'Bluff Hall']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
67874.05,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,Shop and Deliver - No Experience Required,1,67874.05,5676012182,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyMTgyIn0.ofeM1T9buf0QC_Vx-30HTwAByTta-P66NtWrHn_RgQ4,39.930955,https://www.adzuna.com/land/ad/5676012182?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=12711FF8AD0795CC928A491ECBA53387D661AA85,2026-03-23T09:55:45Z,-91.355518,"Quincy, Adams County","['US', 'Illinois', 'Adams County', 'Quincy']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
64211.51,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,Shop and Deliver - No Experience Required,1,64211.51,5676012192,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyMTkyIn0.WZefn2DKFaYqY7NSUdnkoNOpdiQNiTB9SCKsvPTBnvc,39.818772,https://www.adzuna.com/land/ad/5676012192?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=93CA2229455FF6D11426CD98553A8DD0185453DA,2026-03-23T09:55:45Z,-91.241539,"Bluff Hall, Adams County","['US', 'Illinois', 'Adams County', 'Bluff Hall']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
58936.27,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,Instacart Delivery Driver - Flexible Hours,1,58936.27,5676012185,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjE4NSIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.rJJ-JcHK0JvYhW4XIuOjK7hAO-QGuaxhJRMJ3lKD9aU,39.818772,https://www.adzuna.com/land/ad/5676012185?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=636DB0A671A8E9D7BFC7795A75FC81E122167227,2026-03-23T09:55:45Z,-91.241539,"Bluff Hall, Adams County","['US', 'Illinois', 'Adams County', 'Bluff Hall']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
70643.23,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,Instacart Shopper - Delivery Driver,1,70643.23,5676012187,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjE4NyIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.xubq-HFD3fT-z-FvZuO8YfYGO7Ejqi-s7Kk-rSW9qhs,39.818772,https://www.adzuna.com/land/ad/5676012187?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=EA18ED87B7087002BEB397F0FB8A0D13BE0058D6,2026-03-23T09:55:45Z,-91.241539,"Bluff Hall, Adams County","['US', 'Illinois', 'Adams County', 'Bluff Hall']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
66282.22,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,Shop and Deliver - No Experience Required,1,66282.22,5676012193,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyMTkzIn0.eHlVHR7aVG3xgIqXnHkhOZV6OGuOEZ4mxu5uTfZA1nc,39.89178,https://www.adzuna.com/land/ad/5676012193?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=40D40567737A74990517714EAB6635B87C00CC0F,2026-03-23T09:55:45Z,-91.04502,"Adams, Adams County","['US', 'Illinois', 'Adams County', 'Adams']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
68804.0,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,"Shop, Deliver, Earn Cash - Instacart",1,68804.0,5676012195,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjE5NSIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.HzVe1O42N5-koDqWq5B8qNbiv3apXGEkeed33s6UE8s,39.975319,https://www.adzuna.com/land/ad/5676012195?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=C48DEF08712D7A3D55DA65C981F6318A91AAC262,2026-03-23T09:55:45Z,-91.253666,"Burton, Adams County","['US', 'Illinois', 'Adams County', 'Burton']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
69492.72,"FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",Adzuna::API::Response::Job,"Shop, Deliver, Earn Cash - Instacart",1,69492.72,5676012190,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjE5MCIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.-kfSquXCjM9WHrKwHIOJ6hCAhctVyYM6iEabGf3TB3o,39.89178,https://www.adzuna.com/land/ad/5676012190?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=3D31FF6F52137942A85AD5081184944AC7CF1593,2026-03-23T09:55:45Z,-91.04502,"Adams, Adams County","['US', 'Illinois', 'Adams County', 'Adams']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Instacart Shoppers,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,part_time,contract
