adref,title,latitude,salary_min,longitude,description,salary_max,salary_is_predicted,created,__CLASS__,id,redirect_url,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk0MCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.pdnE--dgSB1XFmseW3krx6Yp8fwBRae7hUJ2LxfvYXs,"East Coast Regional Top 50% CDL A Drivers Avg $77,258 - $.61 to $.64 cpm-Home Weekends",39.955624,159023.55,-75.164753,"Job Description Job Description Crete Carrier offers home weekends running an East Coast regional. Salary: Top 50% average $71,160 per year CPM: Starting pay $.56 to $.59 cpm Experience: One-year verifiable tractor trailer experience with a class A CDL",159023.55,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924940,https://www.adzuna.com/land/ad/5810924940?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=DBAF7864F6DDF16F017BFFBE9C5C3E1F7B2695ED,"['US', 'Pennsylvania', 'Philadelphia County', 'Philadelphia']","Philadelphia, Philadelphia County",Adzuna::API::Response::Location,Crete Carrier,Adzuna::API::Response::Company,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTQ0In0.7e4RSMMpIJz3qnUMdw_fL84V-iUWLCHQniX79oGDqQs,CDL-A Regional Driver - Up to 60.5 CPM,33.957411,85493.48,-118.121046,"Job Description Updike Distribution Logistics is hiring CDL-A drivers for regional Southwest lanes across Arizona, Southern California, Northern California, Nevada, and Utah. Straightforward pay, real bonuses, and a carrier that respects your time on the road. \n Pay Bonuses \n \n Starting at 55 CPM  up to 5.5¢/mile bonus (60.5 CPM total) \n $500 transition bonus \n $2,500 retention bonus at 180 days \n Layover pay: $150/24-hr period \n Detention pay: $25/hr after 2 hours \n Extra stop pay: $25…",85493.48,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924944,https://www.adzuna.com/land/ad/5810924944?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=0698D782CDFF899A4ADE711A1E7B2F4966759790,"['US', 'California', 'Los Angeles County', 'Downey']","Downey, Los Angeles County",Adzuna::API::Response::Location,Updike Distribution Logistics,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTM5In0.6hTi_pvvF4TQ19pFlecAJ9sWodDo_8Arx8cpx02zRXs,Hair Stylist - Lumberton,31.001294,36016.82,-89.452287,"Job Description \n \n Join a locally owned Great Clips® salon, the world's largest salon brand, and be one of the GREATS! Whether you're new to the industry or have years behind the chair…great opportunities await \n \n Bring Your Skills and We'll Provide*: \n \n A steady flow of customers - no current clientele required \n Guaranteed hourly wages and tips \n Flexible scheduling that fits your needs (full-time and part-time shifts may be available) \n Opportunities to sharpen your shear…err we …",36016.82,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924939,https://www.adzuna.com/land/ad/5810924939?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=0791D84CF208FC31C09364F597B886DC11A56694,"['US', 'Mississippi', 'Lamar County', 'Lumberton']","Lumberton, Lamar County",Adzuna::API::Response::Location,Great Clips,Adzuna::API::Response::Company,creative-design-jobs,Adzuna::API::Response::Category,Creative & Design Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk0NiIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.47QCtl35YvBu2nBmq8lxwBB3wlY1_n1ighBzYHj1Zvk,Travel Certified Occupational Therapy Assistant,39.042951,83415.45,-122.915829,"Job Description \n Prime Staffing is seeking a travel Certified Occupational Therapy Assistant for a travel job in Lakeport, California. Job Description & Requirements\n \n Specialty: Certified Occupational Therapy Assistant \n Discipline: Therapy \n Start Date: ASAP \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours \n Employment Type: Travel \n \n ID: 63800684 Shift: 8 hour Days Description: _Lakeport Post Acute Care is a skilled nursing and rehabilitation facility located in Lakepo…",83415.45,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924946,https://www.adzuna.com/land/ad/5810924946?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=EC0C5CF27165FC8C2F2256A24ED753B0ED2F99F8,"['US', 'California', 'Lake County', 'Lakeport']","Lakeport, Lake County",Adzuna::API::Response::Location,Prime Staffing,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTM4In0.3oE6d85irR4Zj-ipPGU6y2VaEvMoDsUwshwQY3jsALs,Hair Stylist - Lubbock Commons,33.584646,42426.24,-101.852108,"Job Description \n \n Join a locally owned Great Clips® salon, the world's largest salon brand, and be one of the GREATS! Whether you're new to the industry or have years behind the chair…great opportunities await Tired of stressing about booth rent and finding clients? \n \n Want an hourly wage and a steady income? \n \n Excited about PTO, holiday pay and paid insurance? \n \n Love what you do behind the chair and interested in career advancement? \n \n Great Clips in Lubbock has a job for you…",42426.24,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924938,https://www.adzuna.com/land/ad/5810924938?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=4865CA0A454ADDCF29C6229687930DCEB11256AC,"['US', 'Texas', 'Lubbock County', 'Lubbock']","Lubbock, Lubbock County",Adzuna::API::Response::Location,Great Clips,Adzuna::API::Response::Company,creative-design-jobs,Adzuna::API::Response::Category,Creative & Design Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk0OCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.9tTd6VrGZnoeHNg6NZKH9Vtx6qxoy1e-xVFcSU4_v6E,Hair Stylist - South Point Shopping Center,39.940345,37341.64,-82.013192,"Job Description \n \n Join a locally owned Great Clips® salon, the world's largest salon brand, and be one of the GREATS! Whether you're new to the industry or have years behind the chair…great opportunities await Ready for a Fabulous New Career? \n \n \n Great Clips Zanesville is on the hunt for Full-Time Stylists to join our amazing team! And guess what? We’re now offering an awesome Retirement Plan to help you plan for the future! \n \n \n Here’s why you’ll love working with us: \n \n \n VER…",37341.64,1,2026-07-22T10:51:37Z,Adzuna::API::Response::Job,5810924948,https://www.adzuna.com/land/ad/5810924948?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=CB1394EED9FF7034AAABDB5AD0A272660B923A38,"['US', 'Ohio', 'Muskingum County', 'Zanesville']","Zanesville, Muskingum County",Adzuna::API::Response::Location,Great Clips,Adzuna::API::Response::Company,creative-design-jobs,Adzuna::API::Response::Category,Creative & Design Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTI5In0.k9Ry2jiNVDhoem3YBT4GeXPfgFgH8Fx3KGztBRVLcIQ,Travel CT Technologist,36.928127,139245.14,-85.203217,"Job Description \n Stability Healthcare is seeking a travel CT Technologist for a travel job in Bryan, Texas. Job Description & Requirements\n \n Specialty: CT Technologist \n Discipline: Allied Health Professional \n Duration: 12 weeks \n 36 hours per week \n Shift: 12 hours, nights \n Employment Type: Travel \n \n Stability Healthcare is looking for a Computed Tomography Technologist Allied contract position in Bryan, TX. ""The Computed Tomography (CT) Technologist is a highly skilled professi…",139245.14,1,2026-07-22T10:51:36Z,Adzuna::API::Response::Job,5810924929,https://www.adzuna.com/land/ad/5810924929?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=B7864AC1C1D026C0738D303AA24FF5705F6445CF,"['US', 'Kentucky', 'Russell County', 'Bryan']","Bryan, Russell County",Adzuna::API::Response::Location,Stability Healthcare,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTM2In0.AkXiTbSL7N1m4Ouw_EHoWZWKrUx39KnIByrLDLk_0AA,Hair Stylist - Twin Oaks Shopping Center,34.143464,46264.72,-118.763206,"Job Description \n \n Join a locally owned Great Clips® salon, the world's largest salon brand, and be one of the GREATS! Whether you're new to the industry or have years behind the chair…great opportunities await Our company offers following benefits for Hair Stylists : \n \n \n 1) Competitive Salary, hourly rate based on experience \n \n \n 2) Performance Bonus of max $1000 per year paid monthly depending on performance \n \n \n 3) Product Bonus based on the number of products sold by employe…",46264.72,1,2026-07-22T10:51:36Z,Adzuna::API::Response::Job,5810924936,https://www.adzuna.com/land/ad/5810924936?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=7D8D351BD3E48117C61217D84EB60CAE863D4525,"['US', 'California', 'Los Angeles County', 'Agoura Hills']","Agoura Hills, Los Angeles County",Adzuna::API::Response::Location,Great Clips,Adzuna::API::Response::Company,creative-design-jobs,Adzuna::API::Response::Category,Creative & Design Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDkxNCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.KPdwu4w5lvvgCX-XEJbnDt_cVEtMGhhU8D2MHiUk2lE,Travel Cardiac Stepdown RN,46.547583,45982.2,-87.395595,"Job Description \n Premier Medical Staffing Services is seeking a travel nurse RN Cardiac PCU - Progressive Care Unit for a travel nursing job in Marquette, Michigan. Job Description & Requirements\n \n Specialty: Cardiac PCU - Progressive Care Unit \n Discipline: RN \n Start Date: ASAP \n Duration: 12 weeks \n 36 hours per week \n Shift: 12 hours \n Employment Type: Travel \n \n Premier Medical Staffing Job ID 654196. Pay package is based on 12 hour shifts and 36 hours per week (subject to con…",45982.2,1,2026-07-22T10:51:36Z,Adzuna::API::Response::Job,5810924914,https://www.adzuna.com/land/ad/5810924914?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=F535C511538827FC7AF23819FD03C24D6400E0C2,"['US', 'Michigan', 'Marquette County', 'Marquette']","Marquette, Marquette County",Adzuna::API::Response::Location,Premier Medical Staffing Services,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI0OTI4In0.MXxLldcMy-Ufkz--aP9RsqFjc6UiPvNLsQwVWh3vG50,Travel Electrophysiology Tech,32.704575,423850.53,-87.59584,"Job Description \n Remede Consulting Group is seeking a travel Electrophysiology Technician for a travel job in Greensboro, North Carolina. Job Description & Requirements\n \n Specialty: Electrophysiology Technician \n Discipline: Allied Health Professional \n Start Date: 08/03/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 10 hours, days \n Employment Type: Travel \n \n MANDATORY QUESTIONNAIRE \n *Please answer the following questions and send back ASAP. An offer cannot me made with…",423850.53,1,2026-07-22T10:51:36Z,Adzuna::API::Response::Job,5810924928,https://www.adzuna.com/land/ad/5810924928?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=8831EE6DB4F9B1C8DC90146EEA9A168CC89BC4C7,"['US', 'Alabama', 'Hale County', 'Greensboro']","Greensboro, Hale County",Adzuna::API::Response::Location,Remede Consulting Group,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDg5MCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.9cfZsxoCiE19Wsc_D3XYq1N9TIS5gyWQSz0pDB6qUdQ,Travel Psych RN,34.316111,37099.56,-93.170556,"Job Description \n MedPro Healthcare Staffing is seeking a travel nurse RN Psychiatric for a travel nursing job in Bismarck, North Dakota. Job Description & Requirements\n \n Specialty: Psychiatric \n Discipline: RN \n Start Date: 08/24/2026 \n Duration: 13 weeks \n 36 hours per week \n Shift: 12 hours, days \n Employment Type: Travel \n \n \n MedPro Healthcare Staffing , a Joint Commission-certified staffing agency, is seeking a quality Psychiatric registered nurse (RN) for a travel assignment…",37099.56,1,2026-07-22T10:51:35Z,Adzuna::API::Response::Job,5810924890,https://www.adzuna.com/land/ad/5810924890?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=30BB0A8FC8F19D3E3F7BBF30C9CFA9729087E7B3,"['US', 'Arkansas', 'Hot Spring County', 'Bismarck']","Bismarck, Hot Spring County",Adzuna::API::Response::Location,MedPro Healthcare Staffing,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDkwMiIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.9RhKYv3O3WvkisKnmCddqJcHT2X9Dt4OpEv0hr_3z88,Travel Occupational Therapist,39.020767,164615.2,-77.004626,"Job Description \n Slate Healthcare is seeking a travel Occupational Therapist for a travel job in Silver Spring, Maryland. Job Description & Requirements\n \n Specialty: Occupational Therapist \n Discipline: Therapy \n Start Date: 08/10/2026 \n Duration: 13 weeks \n 35 hours per week \n Shift: 8 hours, days \n Employment Type: Travel \n \n Description \n As an Occupational Therapist, you will be responsible for evaluating patients, developing treatment plans, and providing therapeutic interven…",164615.2,1,2026-07-22T10:51:35Z,Adzuna::API::Response::Job,5810924902,https://www.adzuna.com/land/ad/5810924902?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=EA0FA54B9C41B79EC781F8037EA2E29DC02F9142,"['US', 'Maryland', 'Montgomery County', 'Silver Spring']","Silver Spring, Montgomery County",Adzuna::API::Response::Location,Slate Healthcare,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
