adref,id,latitude,redirect_url,title,salary_min,contract_time,created,salary_max,longitude,salary_is_predicted,description,__CLASS__,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDcxMSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.Temncdl0ekF26jo_GJn-gAKHDfn7sph7WSUMMBSwXjs,5792524711,46.169241,https://www.adzuna.com/land/ad/5792524711?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=113C0E0B31B0C7783D26D10374F02CB77D45C23C,Make money your way. Deliver with Uber!,24207.87,part_time,2026-07-08T11:16:13Z,24207.87,-95.912227,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Minnesota', 'Otter Tail County', 'Dalton']",Adzuna::API::Response::Location,"Dalton, Otter Tail County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0NjkyIn0.ydBmbFHJpOQPpsljD2nH4pSE-pvnIVTjISfiybFUurA,5792524692,40.014839,https://www.adzuna.com/land/ad/5792524692?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=DF676A32320B14802F98E64E537B108E59A17E65,Uber Eats Seasonal Delivery - Driver,25753.17,part_time,2026-07-08T11:16:13Z,25753.17,-74.322088,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'New Jersey', 'Ocean County', 'Manchester']",Adzuna::API::Response::Location,"Manchester, Ocean County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDc1OSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.nvc-wC2TOic5TWRIskZ6ivSm6TsJoVx0AL15_EFMMOg,5792524759,36.275375,https://www.adzuna.com/land/ad/5792524759?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=11D72663FD03B3EE682415FFAC25E9FA6850FE94,Deliver Eats with Uber Eats,24417.93,part_time,2026-07-08T11:16:13Z,24417.93,-80.230268,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'North Carolina', 'Stokes County', 'Germanton']",Adzuna::API::Response::Location,"Germanton, Stokes County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDcyNCIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.sLP497t1xAFTg9MXfysOugtHSN1NlcTK0wVwUsle3Vw,5792524724,45.782172,https://www.adzuna.com/land/ad/5792524724?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=6E002EF1826DF49BAACFE36FAFD042A6378CA5BA,Deliver with Uber Eats - Great for Students,27318.12,part_time,2026-07-08T11:16:13Z,27318.12,-108.57953,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Montana', 'Yellowstone County', 'Hesper']",Adzuna::API::Response::Location,"Hesper, Yellowstone County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0Njg3In0.xWvrXvoUA45JI36kzwoF6Kt2JUyGRL4JbIEVf21jyo0,5792524687,33.331881,https://www.adzuna.com/land/ad/5792524687?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=953AAF818215441ED75E90ABECEC2652D7D91306,Deliver with Uber on your schedule,22843.69,part_time,2026-07-08T11:16:13Z,22843.69,-89.007845,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Mississippi', 'Oktibbeha County', 'Sturgis']",Adzuna::API::Response::Location,"Sturgis, Oktibbeha County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0NzI1In0.wIHesHVgswCTiMn1tRQqxcy19MCPsDP-56AIRiNkVDs,5792524725,40.076665,https://www.adzuna.com/land/ad/5792524725?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=9504B7938BE950243F42CD7DA7182EB25BA92E3C,Deliver Food with Uber - Flexible Gig,27881.93,part_time,2026-07-08T11:16:13Z,27881.93,-87.148261,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Indiana', 'Fountain County', 'Wallace']",Adzuna::API::Response::Location,"Wallace, Fountain County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDYxNiIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.dHGCao2JlxsDU-wvtIAU9S5snmJlLYLpqXA8msA_0z0,5792524616,39.904996,https://www.adzuna.com/land/ad/5792524616?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=B12FC38BB7383AB3129CCD86E55F5AF5D6F8C75E,Deliver with Uber Eats,23662.54,part_time,2026-07-08T11:16:12Z,23662.54,-85.567457,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Indiana', 'Hancock County', 'Wilkinson']",Adzuna::API::Response::Location,"Wilkinson, Hancock County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0NjcwIn0.ntdawcJ5yZXyntYars6bSDSq-3OxHNg-vMDYSxjvmJE,5792524670,43.32008,https://www.adzuna.com/land/ad/5792524670?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=89278346FB97E6F6765C9BEFA6627021035E5D6A,Food Delivery with Uber Eats,24123.52,part_time,2026-07-08T11:16:12Z,24123.52,-102.382407,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'South Dakota', 'Oglala Lakota County', 'Porcupine']",Adzuna::API::Response::Location,"Porcupine, Oglala Lakota County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0NjU0In0.DTb8bP9i90vbzEooCK7xJTBnRaF4qmCSKCDM8cNnUt8,5792524654,35.89866,https://www.adzuna.com/land/ad/5792524654?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=2EE46456BE38095A371A78AD743A63C35F58FA1A,Deliver Food with Uber - Flexible Gig,30505.34,part_time,2026-07-08T11:16:12Z,30505.34,-77.55822,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'North Carolina', 'Edgecombe County', 'Tarboro']",Adzuna::API::Response::Location,"Tarboro, Edgecombe County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDY0NCIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.u82dkQQ5D4xsAk83-AQFzwC7Wr-zFYBdMupHzR8DNec,5792524644,36.100834,https://www.adzuna.com/land/ad/5792524644?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=0BBBB1B789406ABE339D1415F4DADEBB3EC6056A,Students - Deliver with Uber Eats,27191.92,part_time,2026-07-08T11:16:12Z,27191.92,-110.225961,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Arizona', 'Navajo County', 'Pinon']",Adzuna::API::Response::Location,"Pinon, Navajo County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDU4NiIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.CvNkaciGGGeLto9O6g7a7Z-9_mu4DRLsB14ff1a9vyw,5792524586,41.535062,https://www.adzuna.com/land/ad/5792524586?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=854846F3E0F18F56BAB08CBDBF49FA0F6EEA67A9,Flexible Schedule - Deliver with Uber Eats,25053.65,part_time,2026-07-08T11:16:12Z,25053.65,-81.576146,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Ohio', 'Cuyahoga County', 'East Cleveland']",Adzuna::API::Response::Location,"East Cleveland, Cuyahoga County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDU5NCIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.PhsoZGWGdq1YbGRNqMfiCpz7lbIYkEt-BLHDM6ljNC8,5792524594,28.044671,https://www.adzuna.com/land/ad/5792524594?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=D27893D4EC4C854674141C737FCBA90D11128CB2,Deliver with Uber on your schedule,30717.98,part_time,2026-07-08T11:16:12Z,30717.98,-81.724458,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Florida', 'Polk County', 'Florence Villa']",Adzuna::API::Response::Location,"Florence Villa, Polk County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDYxNSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.s42iDZ00H4V8N5Z-ON6c1EjZy6aM4yZrrSC2Zj-WZyI,5792524615,43.74929,https://www.adzuna.com/land/ad/5792524615?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=A85A1BEA3EAC15430DEE43A159BAF892701E8DEB,Deliver with Uber on your schedule,24862.04,part_time,2026-07-08T11:16:12Z,24862.04,-92.129989,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Minnesota', 'Fillmore County', 'Fountain']",Adzuna::API::Response::Location,"Fountain, Fillmore County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
