title,contract_time,adref,__CLASS__,id,salary_is_predicted,description,latitude,longitude,redirect_url,salary_min,contract_type,salary_max,created,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__
Diagnostic Radiology Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcyMyIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.Ai1TcREPw0DP09IoRshc8fFMBiEB8FcXw-sNToXbfCA,Adzuna::API::Response::Job,5710369723,1,"Job Description & Requirements Diagnostic Radiology Physician StartDate: ASAP Available Shifts: Regular 8 Pay Rate: $2328.00 - $2520.00 This facility is seeking a Diagnostic Radiology Physician for locum tenens support as they look to fill a current need. Details & requirements for this opportunity: Job Setting: Imaging Center Modalities: 50 per day, General plus all fluoroscopy procedures, all arthrograms (RPA does procedures) Shift/Schedule/Hours: Monday - Friday, 8:00 AM - 5:00 PM, No call D…",34.153091,-118.265454,https://www.adzuna.com/land/ad/5710369723?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=C1B72AC662BB747C2A8739A51EAE339C3F79FEE1,135810.45,,135810.45,2026-04-25T09:39:53Z,Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Glendale']","Glendale, Los Angeles County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Mammography Radiology Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxOCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.qu1mAMY6mu-J0oFDhwt22z15gJyDff1WjWEjr3Ww7c8,Adzuna::API::Response::Job,5710369718,1,"Job Description & Requirements Mammography Radiology Physician StartDate: ASAP Available Shifts: Regular 8 Pay Rate: $2716.00 - $2940.00 This facility is seeking a Mammographer Radiology Physician for locum tenens support as they look to fill a current need. Details & requirements for this opportunity: Job Setting: Imaging Center Modalities: General Radiology plus Mammography Shift/Schedule/Hours: : Monday-Friday, 8:00 AM - 5:00 PM, No call Dates Needed: Week of 8/11 Credentialing: 8 days Certi…",34.09914,-117.58128,https://www.adzuna.com/land/ad/5710369718?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=7D1AF266EF55F3266B7F464BABF9B8E1EF796822,172070.62,,172070.62,2026-04-25T09:39:42Z,Adzuna::API::Response::Location,"['US', 'California', 'San Bernardino County', 'Cucamonga']","Cucamonga, San Bernardino County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Cardiothoracic Surgery Nurse Practitioner Needed for Locum Tenens Coverage at OR Facility in Texas,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxNyIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.Ca-_1hZRike93UL-B2ZqC3tAhwY-jlIiYPeSsdlwPdo,Adzuna::API::Response::Job,5710369717,1,This Job at a Glance Job Reference Id: ORD-211784-NP-TX Title: NP Dates Needed: July - December Shift Type: Day Shift Assignment Type: OR Call Required: Yes Board Certification Required: No Job Duration: Locums About the Facility The facility operates as a trauma center providing comprehensive cardiothoracic surgical services with vacancy coverage needs. The hospital maintains modern surgical capabilities and offers travel and lodging coverage for locum tenens clinicians to support continuous p…,31.533789,-99.106177,https://www.adzuna.com/land/ad/5710369717?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=9DF618CED7165117E7B1D533B0A79EDBF44F817F,126369.38,,126369.38,2026-04-25T09:39:39Z,Adzuna::API::Response::Location,"['US', 'Texas', 'Brown County', 'Indian Creek']","Indian Creek, Brown County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Mammographer Radiology Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxNiIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.mAEmbdKDv3PFHho5SVHkdZXUUaxAXdzJAqtk794hviA,Adzuna::API::Response::Job,5710369716,1,"Job Description & Requirements Mammographer Radiology Physician StartDate: ASAP Available Shifts: Regular 8 Pay Rate: $2716.00 - $2940.00 This facility is seeking a Mammography Radiologist for locum tenens support as they look to fill a current need. Details & requirements for this opportunity: Job Setting: Imaging Center Modality: Breast US, Breast Biopsies, Body Fluoroscopy (Barium Enemas, Upper Gastrointestinal ( UGI), small bowel follow through) on Mondays and Tuesdays. Plus, diagnostic rea…",34.14753,-117.256661,https://www.adzuna.com/land/ad/5710369716?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=D2B689AC886E25F8F27ABF2E8876F6AC3C3DDA46,103333.14,,103333.14,2026-04-25T09:39:33Z,Adzuna::API::Response::Location,"['US', 'California', 'San Bernardino County', 'Del Rosa']","Del Rosa, San Bernardino County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
"ENT Needed for Locum Coverage at Facility in Edinburg, Texas",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxNSIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.-bktSmjDfGWP1-_2DSxb4FFva0SUbguuckV2dpPrTls,Adzuna::API::Response::Job,5710369715,1,This Job at a Glance Job Reference Id: ORD-211988-MD-TX Title: MD Dates Needed: ASAP - Ongoing Shift Type: Day Shift Assignment Type: Clinic; OR Call Required: No Board Certification Required: Yes Job Duration: Locums About the Facility The facility operates as a comprehensive medical center providing specialized ENT services through both clinic and operating room capabilities. The institution maintains modern medical equipment and established protocols to support full-scope otolaryngology care…,31.533789,-99.106177,https://www.adzuna.com/land/ad/5710369715?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=8A70175C819FDF1D2BD809A3D39F0EABE4C19C24,163251.3,,163251.3,2026-04-25T09:39:25Z,Adzuna::API::Response::Location,"['US', 'Texas', 'Brown County', 'Indian Creek']","Indian Creek, Brown County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Advanced Heart Failure and Transplant Cardiology Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxNCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.g5X2c7ZrEnP4_itZ8kXKophv9bKGBPkIW5Sy9RGL10Q,Adzuna::API::Response::Job,5710369714,1,"Job Description & Requirements Advanced Heart Failure and Transplant Cardiology Physician StartDate: ASAP Pay Rate: $276.45 - $299.25 This facility is seeking an Advanced Heart Failure and Transplant Cardiology Physician for locum tenens support as they look to fill a current need. Details and requirements for this opportunity: · Schedule: Monday through Friday, 8:00 am to 5:00 pm - one week per month · Practice Setting: inpatient · Type of cases and required procedures: 15 patients a day · Cre…",26.506234,-81.927418,https://www.adzuna.com/land/ad/5710369714?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=DB6F642CA947F95DCB7A96C60C26EEA11A88E7F4,75168.86,,75168.86,2026-04-25T09:39:23Z,Adzuna::API::Response::Location,"['US', 'Florida', 'Lee County', 'Fort Myers Beach']","Fort Myers Beach, Lee County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Diagnostic Radiology Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxMiIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.AjieNvAJehI-55F1cP1ed-cIrEKyye6Fc8cwESRHouY,Adzuna::API::Response::Job,5710369712,1,"Job Description & Requirements Diagnostic Radiology Physician StartDate: ASAP Available Shifts: Regular 8 Pay Rate: $2328.00 - $2520.00 This facility is seeking a Diagnostic Radiology Physician for locum tenens support as they look to fill a current need. Details & requirements for this opportunity: Job Setting: Imaging Center Modalities: General plus all fluoroscopy procedures, all arthrograms, thyroid biopsies and hip injections for pain management Shift/Schedule/Hours: Monday-Friday , 8A-5P …",33.725974,-116.370385,https://www.adzuna.com/land/ad/5710369712?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=EDC54ADC87C5C20E85DCBD4737D66BC4482DABEC,115383.69,,115383.69,2026-04-25T09:39:21Z,Adzuna::API::Response::Location,"['US', 'California', 'Riverside County', 'Indian Wells']","Indian Wells, Riverside County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Family Medicine Nurse Practitioner Needed for Locum Tenens Coverage at Outpatient Facility in California,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcxMSIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.XXLzdrd87hflOHGw91jzbyQNyRWYtUMOh4Lb-PaGD2g,Adzuna::API::Response::Job,5710369711,1,"This Job at a Glance Job Reference Id: ORD-212001-NP-CA Title: NP Dates Needed: 5/29 or 6/2 start for 4 months Shift Type: Day Shift Assignment Type: Outpatient Call Required: No Board Certification Required: Yes Job Duration: Locums About the Facility This Federally Qualified Health Center provides comprehensive primary care services to the community with a focus on accessible healthcare delivery. The facility maintains appropriate medical support staff including physicians, advanced practice …",37.000831,-119.685598,https://www.adzuna.com/land/ad/5710369711?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=FF7315047854ABC140A5DA80494A8B16B3FA418A,97942.14,,97942.14,2026-04-25T09:39:20Z,Adzuna::API::Response::Location,"['US', 'California', 'Fresno County', 'Clovis']","Clovis, Fresno County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
CDL A LOCAL TRUCK DRIVER,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTcwMCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.yLuyQ8eDbm0wvyas0hjiGjNRMUH8eyMYGXbCgJ3AbDw,Adzuna::API::Response::Job,5710369700,0,"CDLA LOCAL TRUCK DRIVER- NEW OPENING! FirstFleet Inc in South Jersey local operation delivers bakery good within 250 mile radius. Drivers are home daily. PAY $1600-$2000 Weekly Average Detention after 1 hour Quarterly Safety & Fuel Bonus program JOB Local operation - Home Daily Driver unload Evening dispatch Off Tuesday and Saturday Late model equipment BENEFITS Medical, Dental, Vision and Hearing 40 hours of PTO after 90 days Short- and Long-term Disability Life Insurance Weekly Pay - Direct D…",39.955624,-75.164753,https://www.adzuna.com/land/ad/5710369700?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=3A656A044AB99D95E04F1AFD5BD9E408371506D4,83200.0,,83200.0,2026-04-25T09:38:14Z,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Philadelphia County', 'Philadelphia']","Philadelphia, Philadelphia County",Adzuna::API::Response::Company,FirstFleet Inc,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Category
CDL A Local Truck Driver,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTY4OCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.48je66COHvVvkafmipGZooWaAiXj8O6lCXXkwGKgGTw,Adzuna::API::Response::Job,5710369688,0,"CDL-A Drivers Birmingham, AL HOME DAILY We have full time positions Open FirstFleet Birmingham, AL has local operation, dedicated transport of bakery goods. PAY Milage plus off load 4 day work week averaging $1,000/week Detention Pay after 1 hour Weekly Fuel Bonus Quarterly Safety Bonus JOB Schedule: Dispatch 4pm Sun, Mon, Wed, Fri 1-2 stops Driver roll off Automatic Day Cabs BENEFITS Medical, Dental, Vision and Hearing 40 hrs PTO time after 90 Days Short- and Long-term Disability Life Insuranc…",33.52,-86.8,https://www.adzuna.com/land/ad/5710369688?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=D3A3E2FE82CE78A8594FB3C4F4943569B7C7A252,52000.0,,52000.0,2026-04-25T09:38:14Z,Adzuna::API::Response::Location,"['US', 'Alabama', 'Jefferson County', 'Birmingham']","Birmingham, Jefferson County",Adzuna::API::Response::Company,FirstFleet Inc,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Category
CDL A Local Truck Driver,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTY3MyIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.p0zLGKgbZo6jdfRrH46N-czvLeuaPSSJTde1kKkKgmQ,Adzuna::API::Response::Job,5710369673,0,"CDL-A LOCAL DRIVER POSITION FirstFleet Inc. Mooresville, NC operation is looking for drivers to deliver ESSENTIAL paper products, NO TOUCH FREIGHT and HOME EVERY DAY Day shift and Night shift available. For more details call Corey @ 704-798-8450 PAY $1100.00 - 1300 Gross Weekly Average Home Daily Scheduled Increases Quarterly Safety & Fuel Bonus program JOB Mostly Drop and Hook No Touch Freight Local - home daily delivering within 200 mile radius Late model Volvo, International & Peterbilt trac…",35.232678,-80.846082,https://www.adzuna.com/land/ad/5710369673?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=A0A7145B726138E06C395D8805AEC6E481924B89,52000.0,,52000.0,2026-04-25T09:38:14Z,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']","Charlotte, Mecklenburg County",Adzuna::API::Response::Company,FirstFleet Inc,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Category
CDL A Driver-Home daily-6k sign on bonus,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzY5NjYwIn0.Zq6T4cm5nNSFJjSLbzqdReFN1TysUShvkgcgdLd-j1E,Adzuna::API::Response::Job,5710369660,0,"CDL A Truck Driver Home Daily- 6K SIGN ON BONUS paid in 5 months FirstFleet Delaware OH dedicated local operation delivers Palletized Roundtrip Loads within a 250-mile radius. Home Daily . Good news, FirstFleet in Delaware Oh is now excepting Newer CDL holders with 6 months experience. You must have graduated from a preferred Road Master School! If you would like to chat about this to see if you qualify call Sheri at 319-465-9135 $1400 Minimum Guarantee for the 1st 60 days PAY Pay Rate based on…",40.298672,-83.067965,https://www.adzuna.com/land/ad/5710369660?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=F83DD57C281D6C65AECAF9956CF82A64ED792565,72800.0,,72800.0,2026-04-25T09:38:14Z,Adzuna::API::Response::Location,"['US', 'Ohio', 'Delaware County', 'Delaware']","Delaware, Delaware County",Adzuna::API::Response::Company,FirstFleet Inc,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Category
