description,__CLASS__,latitude,redirect_url,salary_min,created,salary_max,longitude,adref,salary_is_predicted,id,title,category.label,category.tag,category.__CLASS__,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,contract_time,contract_type
"The main function of senior application security engineer is to plan, coordinate and implement application security practices in each phase of software development life cycle though testing, remediation support, tool evaluation, etc. This role involves in evaluating security vulnerabilities, security tools, implementing security solutions, and leveraging latest solutions to secure code review capabilities. Job Responsibilities: · Perform security assessments and manual penetration testing using…",Adzuna::API::Response::Job,39.084,https://www.adzuna.com/land/ad/5768231235?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=7CF494603AA646F1CC5F748C482A57FF3BB11B98,102375.7,2026-06-18T12:29:19Z,102375.7,-77.1537,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIzNSIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.3VWb0h-CaV5FO8YcMTx2yHVNxzaz-ZYFy7HqJwnL9ho,1,5768231235,Application Security Engineer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Derwood, Montgomery County","['US', 'Maryland', 'Montgomery County', 'Derwood']",Adzuna::API::Response::Company,NGTalentTech Group LLC,,
"NAVA Software solutions is looking for a Project Manager - Infor Syteline Details: Details: Project Manager - Infor Syteline Location: Remote Duration: 6-12 months We are seeking an experienced Project Manager with hands-on expertise in Infor SyteLine (CloudSuite Industrial) ERP implementations to lead end-to-end ERP deployment and transformation initiatives. The ideal candidate will have a proven track record of successfully managing multiple SyteLine implementation projects, coordinating cros…",Adzuna::API::Response::Job,29.6403,https://www.adzuna.com/land/ad/5768231224?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=86E151C88D3FFBD9CF380125444A9AF871BDA872,201776.95,2026-06-18T12:29:18Z,201776.95,-95.4359,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIyNCIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.JMmVl2iNB8N-Vk1yC1inDf4asKomyynyAguzbgwvXwE,1,5768231224,Project Manager - Infor Syteline- Remote,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Trammells, Harris County","['US', 'Texas', 'Harris County', 'Trammells']",Adzuna::API::Response::Company,Nava Software Solutions,,
"Role: Power BI Publisher (On-Site) Location: Athens, GA (In-Person) Job Type: Contract Job Description Under broad supervision, designs, codes, tests, modifies, and debugs computer software. Seeking consulting services to assist with completing a priority project to migrate IBM Cognos reports to Microsoft Power BI along with additional Power BI dashboard development work. Project Responsibilities: The first priority is to migrate all production Cognos reports to Power BI. Currently, there are a…",Adzuna::API::Response::Job,34.004051,https://www.adzuna.com/land/ad/5768231211?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=0E677E6FCC59ADEFC372A7D639BFAF2B9462FC9F,91927.88,2026-06-18T12:29:18Z,91927.88,-83.495083,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIxMSIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.yhP8g1KpQ_Ve5S_1AuIb0qcz-EAIGG1WSWCy8Y1YOrY,1,5768231211,"Power BI Publisher (On-Site) - Location: Athens, GA (In-Person Interview) - 100% Only Locals (GA) With Valid DL Copy.",IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Bogart, Oconee County","['US', 'Georgia', 'Oconee County', 'Bogart']",Adzuna::API::Response::Company,"HSK Technologies, Inc.",,
"Role: Senior VMware Platform Engineer Location: Dallas, TX (Onsite) Position Summary We are seeking a Senior Cloud Platform Engineer to design, build, and maintain our next-generation private cloud infrastructure based on VMware Cloud Foundation (VCF) 9. As a key technical driver within one of the top financial institutions in the United States, you will ensure our virtualized services deliver maximum availability, exceptional performance, and unyielding security. You will be responsible for tr…",Adzuna::API::Response::Job,32.760168,https://www.adzuna.com/land/ad/5768231204?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=20C93E06BFCE7BBE10BC6485426632AFE889052B,101304.16,2026-06-18T12:29:18Z,101304.16,-96.765058,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIwNCIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0._EzWRB4tOc8ajSwNQUZG6noYj1k5EjJLDF_NdPe6Tu4,1,5768231204,Sr VMware Consultant (Onsite TX),IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Highland Park, Dallas","['US', 'Texas', 'Dallas', 'Highland Park']",Adzuna::API::Response::Company,Pacific Consultancy Services,,
"Role: Informatica MDM Support & Data Operations Specialist Location: 6565 Headquarters Drive , Plano , Texas 75024. Duration: 6 months GBAMS ID: 10686340 Role Description: Monitor daily| weekly| and monthly MDM batch jobs for data loading and synchronization| resolving data pipeline failures| and identifying issues. Troubleshoot and fix issues incidents related to data| failed batch jobs| data loading errors| and user-reported bugs. Analysis (RCA) of recurring production incidents and implement…",Adzuna::API::Response::Job,33.0234,https://www.adzuna.com/land/ad/5768231218?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=F9B85BC857B91B55B4CDBB79FFD7BB67F02A51BE,106452.77,2026-06-18T12:29:18Z,106452.77,-96.69858,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIxOCIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.5pe9kGDDtoUxvveJ_CoZwULgosZYe_a9dHgNTGyx_tg,1,5768231218,Informatica MDM Support & Data Operations Specialist,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Plano, Collin County","['US', 'Texas', 'Collin County', 'Plano']",Adzuna::API::Response::Company,"Advent Global Solutions, Inc.",,
"Job Title: ServiceNow Tester Location: Plano, TX We are seeking a ServiceNow Tester with 5 years of experience in testing ServiceNow applications and modules. Perform functional, regression, integration, system, and user acceptance testing for ServiceNow implementations. Validate ServiceNow modules such as ITSM, ITOM, ITAM, HRSD, CSM, Service Catalog, and CMDB. Develop, execute, and maintain detailed test plans, test cases, and test scripts. Collaborate with developers, business analysts, and s…",Adzuna::API::Response::Job,33.0234,https://www.adzuna.com/land/ad/5768231212?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=F9BD7A672346152BE318F5B0D42CF7D232DC1E9C,51794.12,2026-06-18T12:29:18Z,51794.12,-96.69858,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIxMiIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.My0LFqt_Bt8Vs5QXws1Dv0geE-OcOWNtdQOhJIwu3ys,1,5768231212,ServiceNow Tester,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Plano, Collin County","['US', 'Texas', 'Collin County', 'Plano']",Adzuna::API::Response::Company,Virtuous Tech Inc,,
"Job Description Java(Core  Streams  Concurrency), Spring Boot & MVC, Security (JWT  API Security), Database (SQL  Hibernate Optimization), Microservices (Saga  API Gateway), Messaging (SQS/SNS, Others), Cloud (Azure  AWS S3), Performance & Caching, Testing (Code Coverage), DevOps (Git  CI/CD  Deployment).",Adzuna::API::Response::Job,44.872736,https://www.adzuna.com/land/ad/5768231209?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=73282169DCC21ADED36E95A5FEDC1F8C03AC4EE8,134217.08,2026-06-18T12:29:18Z,134217.08,-93.147851,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIwOSIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0._aaOJXw5M4ssmzMl6sN7NxEAvFiMgICGJXkl0ld02g0,1,5768231209,Lead Java Full stack Developer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Eagan, Dakota County","['US', 'Minnesota', 'Dakota County', 'Eagan']",Adzuna::API::Response::Company,Decision Six Inc.,,
"Role Descriptions: Must Have TechnicalFunctional Skills Lead complex assembly validationcalibration Roles & Responsibilities Lead complex assembly validationcalibration mentor juniors process improvement problem solving work under pressure Generic Managerial Skills, If any Strong communication skills, with proficiency in reading, writing, and speaking English. Ability to multitask, understand customer requirements, and respond promptly and accurately. Capability to prioritize and manage multipl…",Adzuna::API::Response::Job,37.34901,https://www.adzuna.com/land/ad/5768231202?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=BC977A433C0375E53A4000BE2F1845262D83DE4A,58398.88,2026-06-18T12:29:18Z,58398.88,-121.93915,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjAyIn0.VnELb1POjZUuQOfn27YorN9yhsqngYWF5JwrJV4zjWw,1,5768231202,"Test Engineer Santa Clara, CA - CA - California",Manufacturing Jobs,manufacturing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Santa Clara, Santa Clara County","['US', 'California', 'Santa Clara County', 'Santa Clara']",Adzuna::API::Response::Company,Sierra Business Solution LLC,,
"Requirements 2 or more years of experience in computer systems analysis and requirements gathering. Proficiency in documenting functional specifications and software development steps. Experience with evaluating technical capabilities and system scheduling limitations. Experience in application testing, installation, and software implementation. Experience with troubleshooting enterprise computer systems and software errors. Experience in conducting cost-benefit studies for alternative technica…",Adzuna::API::Response::Job,30.320233,https://www.adzuna.com/land/ad/5768231187?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=E04630C3DFE70FA6D6CFD2C03DE545E727697AA8,75197.61,2026-06-18T12:29:17Z,75197.61,-97.865683,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMTg3In0.G7oJBt-4AQbfdSdVCqSeEAn_RQ4s3rjujqKpjTO3A7U,1,5768231187,Business Systems Analyst,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Bee Cave, Travis County","['US', 'Texas', 'Travis County', 'Bee Cave']",Adzuna::API::Response::Company,"Resourcesoft, Inc.",,
"Job Details : Job Title: Privacy & Info Security Risk Mgmt Analyst II Location: 100% Remote Duration: 6 Months Contract Notes: Client is looking for someone with a mix of GRC reporting and Remediation, along with Security awareness training. Description : These Principal Accountabilities, Requirements, and Qualifications are not exhaustive, but are merely the most descriptive of the current job. Management reserves the right to revise the job description or require that other tasks be performed…",Adzuna::API::Response::Job,,https://www.adzuna.com/land/ad/5768231197?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=C63DE2FC9CEEB131A1DAB6262E3B2B95CF62B423,119270.56,2026-06-18T12:29:17Z,119270.56,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTE5NyIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.HcYKny6wWW7zVwYVRb_DjJEj84LFxL0o743rhGX2IaI,1,5768231197,Privacy & Info Security Risk Mgmt Analyst II - 100% Remote - 6 Months Contract,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,US,['US'],Adzuna::API::Response::Company,Dexperts Inc,,
"Job Title:- Senior SAP ABAP & Fiori Developer / Lead Location:- Bridgewater, NJ (Hybrid) Duration:- Contract Job Description Overview Client is seeking a Senior SAP ABAP & Fiori Developer/Lead to support and stabilize its SAP landscape while driving ongoing S/4HANA initiatives. This individual will serve as a hands-on technical leader responsible for production support, SAP upgrade activities, custom code remediation, Fiori development, integrations, and modernization efforts utilizing SAP BTP …",Adzuna::API::Response::Job,40.59552,https://www.adzuna.com/land/ad/5768231198?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=F69162EA65F4232C3802C7C46418D043339C29F8,104998.65,2026-06-18T12:29:17Z,104998.65,-74.62314,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTE5OCIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.6CWDPzjsHY0DfZW6JZK5262H4MzshUdhMR23BbDbPAQ,1,5768231198,Senior SAP ABAP & Fiori Developer / Lead (Independent visa candidate only/W2),IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Bridgewater, Somerset County","['US', 'New Jersey', 'Somerset County', 'Bridgewater']",Adzuna::API::Response::Company,SumasEdge Corporation,,
"The client is looking for a Senior UKG Integrations Developer who can lead, design, and support complex UKG integrations across enterprise HR systems. This is a hands-on technical lead role requiring both functional HR knowledge and deep integration expertise. What the client is looking for: 10 years of experience with UKG/Kronos (UKG Pro, UKG Dimensions, or Workforce Central). Expert in Dell Boomi (AtomSphere) with a Boomi Professional Developer Certification (mandatory) . Strong experience bu…",Adzuna::API::Response::Job,,https://www.adzuna.com/land/ad/5768231188?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=8B1AF52C12F017EA856D2CF86F718C035BB9E7C4,97656.55,2026-06-18T12:29:17Z,97656.55,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMTg4In0.un_OU7-xF7Tnek0r1ZvIM5M-KtuF04MuEK2qwR-370Y,1,5768231188,Senior UKG Developer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,US,['US'],Adzuna::API::Response::Company,R Cube Creative Consulting Inc,,
"Required Qualifications Bachelor’s degree in Computer Science, Information Technology, Software Engineering, or a related field preferred. Minimum of 5 years of hands-on experience with: Oracle Fusion Middleware technologies, including Oracle SOA Suite and Oracle Service Bus (OSB) Java application development PL/SQL programming and Oracle Database development Oracle development tools such as TOAD and SQL Developer Linux and Windows operating systems Experience developing and supporting enterpri…",Adzuna::API::Response::Job,29.6403,https://www.adzuna.com/land/ad/5768231193?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=021FAD8B51E1A0A964221A13447DBBAE5BF348B5,117016.88,2026-06-18T12:29:17Z,117016.88,-95.4359,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMTkzIn0.Oe3oZ_h2HMQdB0pBl1qyy57DlzVnA_mx9ZcWN9ULd-Q,1,5768231193,Sr Middleware Developer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Trammells, Harris County","['US', 'Texas', 'Harris County', 'Trammells']",Adzuna::API::Response::Company,National Computer Systems,,
"Title: Business System Analyst with Healthcare - Hybrid - Locals to TX Location: Austin,TX Length :Long term Restriction: w2 or c2c Description: Mode of Interview :-Webcam interview  Very Long term project LinkedIn MustHybrid(3Days per week Onsite) at Dallas-TX  Only Local to TX Candidates  Job Description:- Understands business objectives and problems, identifies alternative solutions, performs studies and cost/benefit analysis of alternatives. Analyzes user requirements, procedures, and probl…",Adzuna::API::Response::Job,30.320233,https://www.adzuna.com/land/ad/5768231181?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=00157BC37E5CBE7362A77FD92DC823F851540458,62352.43,2026-06-18T12:29:14Z,62352.43,-97.865683,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMTgxIn0.WVfeDMuXQRhbdociKjqfsDZ0VQjsSgn5xJmPirtYhbw,1,5768231181,Business System Analyst with Healthcare - Hybrid - Locals to TX,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Bee Cave, Travis County","['US', 'Texas', 'Travis County', 'Bee Cave']",Adzuna::API::Response::Company,MSYS Inc.,,
