__CLASS__,latitude,created,longitude,salary_max,id,salary_min,salary_is_predicted,adref,redirect_url,title,description,category.label,category.__CLASS__,category.tag,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,contract_time
Adzuna::API::Response::Job,,2026-05-26T12:45:45Z,,118778.95,5741325001,118778.95,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNTAwMSIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.8r2sqTf2VQtiHKQc-eS90FL_DyW5TluGA9GoJVKb1lM,https://www.adzuna.com/land/ad/5741325001?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=5C069CD9FCD88EA250E2F89B5B84A0BFC1C35FE4,SAP Fico RTR Lead Consultant(Must need 15 years of Experience),"SAP Fico RTR Lead Consultant This role will require 30-40% international travel. Job Details: Must need 15  years of Experience Key Responsibilities: Lead design and implementation of SAP S/4 HANA capabilities supporting Finance functions in General ledger, Accounts Receivables, Accounts Payables, Fixed Assets, and Cost Center Accounting, Work with business to map the business process and identify the GAPs. Actively engage with business, SAP COE leader, cross-functional teams, external consulta…",IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],3S Business Corporation Inc.,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,32.962767,2026-05-26T12:45:45Z,-96.74487,92089.06,5741325010,92089.06,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI1MDEwIn0.lfWk_srFu6ozVfCTLGcCi_LAZmkpa_ske8rY1SMQk64,https://www.adzuna.com/land/ad/5741325010?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=2AEEF9EB8BB5A9D6AFEF7D1ED794D6786A509BC8,UKG Consultant,"Top Skill(s): 1. Knowledge of Timekeeper 2. Knowledge of Accruals 3. Knowledge of Advanced Scheduler and/or Forecaster Job Description/ Responsibilities: We are seeking an experienced Oracle Cloud HCM Talent Management Functional Consultant with strong hands-on expertise in Succession Planning and Oracle Dynamic Skills. The ideal candidate will have 2–3 end-to-end Oracle Talent Management implementation experience and will play a key role in designing, configuring, and delivering skills driven …",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Richardson, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Richardson']",TechDigital Corporation,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,40.75284,2026-05-26T12:45:45Z,-73.97528,154186.92,5741324997,154186.92,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDk5NyIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.bhN1BEJ-SbOptV0xr4vmWSQmiKyxFNMqmya3efd1V-k,https://www.adzuna.com/land/ad/5741324997?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=ACCECF8BDEF6882EF36A822E0E4066CA4D75CE08,Senior C#/.NET Developer with Workday,"Job Title :- Senior C#/.NET Developer Location:- NYC,NY HYBRID Duration:- 6-12 months, possible extension Visa:- , (need strong communication) Job Description-: I need someone strong C#, must have strong Financial Exp. I''m looking for a senior C# developer with strong communication and problem-solving skills, ideally with finance experience and exposure to event-driven processing (Kafka) and/or containers. Previous submissions have been weak on C#, so please prioritize strong C# expertise. Let…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Grand Central, Manhattan",Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",SumasEdge Corporation,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,34.98056,2026-05-26T12:45:44Z,-106.055686,53188.55,5741324978,53188.55,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTc4In0.sAdERiFERvvc0IxpWZGzIBGQEvPSvMC67MK_lUBtHNM,https://www.adzuna.com/land/ad/5741324978?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=05C5AF981D678D5371714597A927AC3E85ACEEBF,RN - INPATIENT SUPERVISOR,"Sign-On Bonus Available Relocation Assistance Available Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials Minimum Offer $37.07/hr. Maximum Offer $54.50/hr. Compensation Disclaimer Compensation for this role is based on a number of factors, including but not limited to experience, education, and other business and organizational considerations. Department: Surgical Specialty Unit (4-S) FTE: 1.00 Full Time Shift: Days Position Summary: Work under the general n…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Moriarty, Torrance County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Torrance County', 'Moriarty']",University of New Mexico - Hospitals,Adzuna::API::Response::Company,full_time
Adzuna::API::Response::Job,35.316474,2026-05-26T12:45:44Z,-106.463281,50035.31,5741324976,50035.31,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDk3NiIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.1dkPila2paLTWTNo-I-9OTDvdnZge3R1pjTwcwXDeyY,https://www.adzuna.com/land/ad/5741324976?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=AA190FB7567FD0F8076547438AB463E74C77086C,RN PER DIEM III,"Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials Minimum Offer $ 51.49/hr. Maximum Offer $ 51.49/hr. Compensation Disclaimer Compensation for this role is based on a number of factors, including but not limited to experience, education, and other business and organizational considerations. Department: PACU - CCT FTE: 0.05 PRN Shift: Rotating Position Summary: Work within the nursing process to provide direct nursing care to assigned patients consistent with…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Placitas, Sandoval County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Sandoval County', 'Placitas']",University of New Mexico - Hospitals,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,35.316474,2026-05-26T12:45:41Z,-106.463281,20305.24,5741324965,20305.24,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDk2NSIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.KyL44qvcRgr1mAuywxdbDuRMpFpYEF9WzIKOeydSbdM,https://www.adzuna.com/land/ad/5741324965?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=8E4048E042BDBF716E6A18C235FEF6EDD32DCE72,RN - OUTPATIENT PSYCH,"Sign-On Bonus Available Relocation Assistance Available Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials Minimum Offer $32.22/hr. Maximum Offer $47.33/hr. Compensation Disclaimer Compensation for this role is based on a number of factors, including but not limited to experience, education, and other business and organizational considerations. Department: Admitting - ASAP FTE: 0.50 Part Time Shift: Days Position Summary: Provide professional nursing care for…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Placitas, Sandoval County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Sandoval County', 'Placitas']",University of New Mexico - Hospitals,Adzuna::API::Response::Company,part_time
Adzuna::API::Response::Job,35.2749,2026-05-26T12:45:40Z,-106.38792,26145.1,5741324960,26145.1,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDk2MCIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.FuvtgO5D3fiYrj-S_8vYQCMlBXrdH-9dzqQhh-XD7bQ,https://www.adzuna.com/land/ad/5741324960?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=338A3A01E62C562A8A5050F3E5F062F8D34EC8CF,RN PER DIEM PSYCH,"Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials Compensation Disclaimer Compensation for this role is based on a number of factors, including but not limited to experience, education, and other business and organizational considerations. Department: Behavioral Svcs at MATS Center FTE: 0.05 PRN Shift: Days Position Summary: Work within the nursing process to provide direct nursing care to assigned patients in a Hospitals area. Adult Hospital: Two of three s…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Placitas, Sandoval County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Sandoval County', 'Placitas']",University of New Mexico - Hospitals,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,35.2749,2026-05-26T12:45:39Z,-106.38792,42447.53,5741324951,42447.53,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTUxIn0.tD3oJXljTPT2wHTIvtAS_1grR4tf3F-JPcFy_33_peY,https://www.adzuna.com/land/ad/5741324951?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=3BCBDEF94EC7D38FF956F625BB12AB4F91D0FE3C,RN Sign On Bonus,"Sign-On Bonus Available Relocation Assistance Available Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials Minimum Offer $ 34.84/hr. Maximum Offer $ 47.33/hr. Compensation Disclaimer Compensation for this role is based on a number of factors, including but not limited to experience, education, and other business and organizational considerations. Department: UPC Inpatient/Geriatrics FTE: 0.90 Full Time Shift: Nights Position Summary: Provide professional nurs…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Placitas, Sandoval County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Sandoval County', 'Placitas']",University of New Mexico - Hospitals,Adzuna::API::Response::Company,full_time
Adzuna::API::Response::Job,38.883702,2026-05-26T12:45:29Z,-77.428438,125432.25,5741324918,125432.25,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDkxOCIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.GHi-z38ymGZGHZu6A0IQhfbY97tfiuOd9Ezv0pi-hU0,https://www.adzuna.com/land/ad/5741324918?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=F1FECD8CBA8E5F48163C5685E81166990A34793C,Senior Cloud Engineer with Security Clearance,"The Principal Cloud Engineer will leverage their strong technical background and knowledge to design, implement, and manage secure cloud infrastructures in support of mission-critical operations, with a strong focus on security monitoring and threat detection. This role supports complex cloud environments by leveraging modern DevOps tools and practices, collaborating across teams to solve technical challenges. Responsibilities include but are not limited to: • Supporting AWS, Azure, Oracle, and…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Chantilly, Fairfax County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Fairfax County', 'Chantilly']",Dexian Signature Federal,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,,2026-05-26T12:45:28Z,,140111.52,5741324897,140111.52,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDg5NyIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.uPT-5KEciEKh6WIDSQS0gexHRJXuhn-9p7Brrl9OqSI,https://www.adzuna.com/land/ad/5741324897?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=12620B8FB43079C3B661E44DAE1CEBDF4976A6BE,"*Senior Fullstack Engineer (Nodejs, Javascript, AWS exp.) - W2 role","Kellton Tech is a full-service software development company, offering end-to-end IT solutions, strategic technology consulting and product development services in Web, SMAC (Social, Mobile, Analytics, Cloud), ERP-BPM, and IoT space Our methodology of inventing infinite possibilities with technology helps us develop best in-class and cost effective solutions for our clients. Currently Kellton Tech is looking for talented resources for one of our listed client. Below are the position details Posi…",IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],Kellton,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,30.438056,2026-05-26T12:45:28Z,-84.280833,89384.75,5741324896,89384.75,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0ODk2In0.CSpcDiW0SPO68OQHo69Gh6TZifwTwXh0ftmUYsJZOMI,https://www.adzuna.com/land/ad/5741324896?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=DAB191E1E0CB67ED9E9EAF12DCBD11BE39E4AD58,Senior Systems Analyst,"Requirements 15 or more years of systems analysis experience across all phases of the Software Development Life Cycle (SDLC). Proficiency in relational database design utilizing SQL Server and Oracle environments. Experience with data integration, data migration, and configuring advanced ETL pipelines. Experience with Florida Medicaid (FMMIS) data exchanges, specifically concerning eligibility, provider data, and service authorizations. Experience in engineering custom reports leveraging SSRS, …",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Tallahassee, Leon County",Adzuna::API::Response::Location,"['US', 'Florida', 'Leon County', 'Tallahassee']","Resourcesoft, Inc.",Adzuna::API::Response::Company,
Adzuna::API::Response::Job,40.68828,2026-05-26T12:45:28Z,-75.2211,158542.92,5741324895,158542.92,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDg5NSIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.CIY-F2GNcNaC74yznkbfE2JiXbYvIPIyeElnAMctH-M,https://www.adzuna.com/land/ad/5741324895?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=E2EFDE859FD6509FF0B9752C1B0A88D7ADD68051,Devops Architect,"Immediate need for a talented Devops Architect . This is a Fulltime opportunity with long-term potential and is located in Easton, PA (Hybrid) . Please review the job description below and contact me ASAP if you are interested. Job ID:26-16217 Pay Range: $125000 - $130000/annum  10% bonus  7% bonus Role Summary . Employee benefits include, but are not limited to, health insurance (medical, dental, vision), 401(k) plan, and paid sick leave (depending on work location). Key Responsibilities: Prov…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Palmer, Northampton County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Northampton County', 'Palmer']","Pyramid Consulting, Inc.",Adzuna::API::Response::Company,
Adzuna::API::Response::Job,,2026-05-26T12:45:28Z,,104106.95,5741324893,104106.95,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDg5MyIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.WruGbJxDbbMudHUEYSoJ4i0O68NsSzZtyAf9gcU8XMw,https://www.adzuna.com/land/ad/5741324893?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=608709DC80F13440C041CDE4A5F40B8A7798F39D,Oracle EBS Functional Consultant (Vertex  EBS),"Job Description Role: Oracle EBS Functional Consultant – Finance / Tax (Vertex  O2C) Location: US (Preference: Minneapolis, MN) FULLTIME Remote We are seeking an experienced Oracle EBS Functional Consultant with strong expertise in Oracle Finance modules and taxation processes. The ideal candidate should possess hands-on functional knowledge of Oracle ERP, a strong understanding of Order-to-Cash business processes, and experience supporting finance and tax-related configurations. The consultant…",IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],Estuate Inc.,Adzuna::API::Response::Company,
