salary_max,adref,salary_min,__CLASS__,title,description,salary_is_predicted,redirect_url,latitude,id,longitude,created,location.display_name,location.area,location.__CLASS__,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,contract_type,contract_time
78237.52,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzU1In0.VrABUJZc_JuwNkcIrvEvqqgPXONgEr00K1y_R_IareE,78237.52,Adzuna::API::Response::Job,Informatica Developer,"Overview The Worker will serve as a senior master data management (MDM) administrator/developer, and a critical liaison between technical IT and non-technical program staff mastering complex member and provider data sources across the departments and agencies. This role empowers staff to effectively determine client and provider identity crosswalks across application sources, for developing integrated agency analytical reporting and strategic decision-making. The ideal candidate has strong MDM …",1,https://www.adzuna.com/land/ad/5760113755?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=BD077AADF8065B87AB559032E90B88C5D6F12186,30.320233,5760113755,-97.865683,2026-06-11T12:57:16Z,"Bee Cave, Travis County","['US', 'Texas', 'Travis County', 'Bee Cave']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Infojini,Adzuna::API::Response::Company,,
87079.48,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc1MiIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.geBwhpdBobiMQmasXT72WoN7Vy7fDj4ZDGKtntH9AaU,87079.48,Adzuna::API::Response::Job,"Sr. Infrastructure Technical Writer | Alpharetta, GA /Phoenix, AZ/Omaha, NE - onsite | Fulltime","Job Title: Sr. Infrastructure Technical Writer Location: Alpharetta, GA – High preference /Phoenix, AZ/Omaha, NE (5 days a week onsite) Duration: long term Type: Fulltime Department – IT Infrastructure, Data Center, Network Tools – MS Visio, Cloud Documentation Position Summary: Ensure accurate, concise, and successful delivery of infrastructure technical documentation. The Senior Infrastructure Technical Writer is required for production of internal support documentation of Enterprise-class in…",1,https://www.adzuna.com/land/ad/5760113752?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=F42A7F8516835F4EDD57E17A096C51DB50D1AF78,34.132163,5760113752,-84.300666,2026-06-11T12:57:16Z,"Milton, Fulton County","['US', 'Georgia', 'Fulton County', 'Milton']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Next Gen Software Solutions LLC,Adzuna::API::Response::Company,,
103066.03,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc1NCIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.je5wUO7BvbpL7I7tVo-0YJtQMvSboWmcMqaLFp4k2aw,103066.03,Adzuna::API::Response::Job,IAM with SailPoint developer - Remote,"Job Title: SailPoint Developer Location: Remote Long Term Contact Can do Only W2, No C2C Job Summary: We are seeking a skilled SailPoint Developer / Analyst to support enterprise Identity and Access Management (IAM) operations through the development, configuration, integration, and maintenance of SailPoint IdentityIQ (IIQ) and SailPoint IdentityNow solutions. The ideal candidate will possess strong experience in identity lifecycle management, application onboarding, connector development, work…",1,https://www.adzuna.com/land/ad/5760113754?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=BB5F9A72AB4D2E6B072CD303C9DF21C3D2ED485C,,5760113754,,2026-06-11T12:57:16Z,US,['US'],Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,"TechniPros, LLC",Adzuna::API::Response::Company,,
147884.4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzQzIn0.3ml4-1NT_2QTBFvTKw_vQvIK0EJdlITTnxfpyh4_Yl0,147884.4,Adzuna::API::Response::Job,AI Engineer / Developer,"Job Title AI Engineer / Developer Role Overview We are looking for an AI Data Engineer / Developer to design, build, and maintain scalable data pipelines and AI-ready data systems that power machine learning and generative AI applications. This role sits at the intersection of data engineering, software development, and AI, ensuring high-quality, reliable data flows from source to model deployment. You will work closely with data scientists, ML engineers, and product teams to transform raw data…",1,https://www.adzuna.com/land/ad/5760113743?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=7C8095AD99B8BE1A909EDC8C9080B0518B08C32D,37.34901,5760113743,-121.93915,2026-06-11T12:57:16Z,"Santa Clara, Santa Clara County","['US', 'California', 'Santa Clara County', 'Santa Clara']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Aptino,Adzuna::API::Response::Company,,
103413.48,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzczMCIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.Rc9RBRS5KbvUt2aJN6PTtRM5Dlcr-nCze76kciPFoUc,103413.48,Adzuna::API::Response::Job,Window System Engineer (Texas ONLY),"Job Title: Jr. Window System Engineer (Only local to Texas) Working Location: 1530 FM973 Taylor, TX 76574 Duration: 1 year Work Hours: 9:00~18:00 CST Required Degree: Associate Degree, or higher Required Experience: 3 years as Windows Systems Engineer Requirements: • 2 Experiences as a Windows Systems Engineer. • Advanced skills in PowerShell Script is a must • Strong experience Windows clustering, AD and Windows Server Update Services and support • Strong technical aptitude and ability to rese…",1,https://www.adzuna.com/land/ad/5760113730?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=994B95AE34913F1DB47F0ED93DD50BB5603A78F6,30.575936,5760113730,-97.416677,2026-06-11T12:57:15Z,"Rices Crossing, Williamson County","['US', 'Texas', 'Williamson County', 'Rices Crossing']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Geopaq Logic,Adzuna::API::Response::Company,,
94799.13,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzczNSIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.0DVM_VutI3aRM2u5bsUPn3qmQN8HR9uqEBageBjjftg,94799.13,Adzuna::API::Response::Job,SOC Analyst,"Job Description for SOC Analyst (L3 Admin) HCL CSFC provides a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture. HCL CSFC is looking for an experienced SOC Analyst professional to join its team. Candidate Persona Ability to work with very large and complex network. Self-motivated individual and creative thinker who will take ownersh…",1,https://www.adzuna.com/land/ad/5760113735?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=3355D8EA21A4E9C0192CE2B941A90F2D3698A7F5,32.760168,5760113735,-96.765058,2026-06-11T12:57:15Z,"Highland Park, Dallas","['US', 'Texas', 'Dallas', 'Highland Park']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Sharpedge Solutions,Adzuna::API::Response::Company,,
190311.39,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzE4In0.3Oi5lGgHUHwHmzmjBJhjXlBQGw-cVE6GIP_1y6414LY,190311.39,Adzuna::API::Response::Job,Travel Cath Lab Tech (Cardiac Tech),"Epic Travel Staffing is hiring a Travel - Cath Lab/IR Tech Shift : Days/ 7a-5:30p, 10x4, 40hrs per week, M-F Length : 13 Weeks One day off during the week. May have to stay late occasionally to finish cases Weekend Requirements: Only when on-call every 3rd or 4th weekend On-Call Requirements: 1 - 2 shifts during the week from 5:30pm - 7am | Weekend on-call is every 3rd or 4th weekend Holiday Requirements: Based on unit needs Requirements: KS license Minimum 1 year of Cath Lab and IR experience …",1,https://www.adzuna.com/details/5760113718?utm_medium=api&utm_source=abfa41a4,38.88222,5760113718,-94.81782,2026-06-11T12:57:15Z,"Olathe, Johnson County","['US', 'Kansas', 'Johnson County', 'Olathe']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Epic Travel Staffing,Adzuna::API::Response::Company,permanent,full_time
71771.38,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzIxIn0.U8ICiARB9ncBIMvKj5OGJsCZ7cbafC9TqgPu_oY1EGg,71771.38,Adzuna::API::Response::Job,Clinical QA Analyst-(Onsite Interview),"Role: Clinical QA Analyst-(Onsite Interview) Location: Newtown Square, PA (Onsite) Duration: 12 Months Contract Mandatory: Onsite Interview Required Skills: Must have experience with HEDIS . Solid SQL experience. Must be able yo test and validate HEDIS documents( for example ccd format). FHIR is highly preferred. Payer experience is required. About Company: We represent Logisoft Technologies, Inc. with pride; We present ourselves as a premiere Technology, Consulting, Product Development, and So…",1,https://www.adzuna.com/land/ad/5760113721?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=FED6E579D11E4594D9B4DC531AE7E130CFACE960,39.983484,5760113721,-75.414006,2026-06-11T12:57:15Z,"Newtown Square, Delaware County","['US', 'Pennsylvania', 'Delaware County', 'Newtown Square']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Logisoft Technologies Inc,Adzuna::API::Response::Company,,
91676.61,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzM3In0.X-rTgBY5BnsGHXD4r2MztZ3SVZFxkCu3TnQP9MbeVQ4,91676.61,Adzuna::API::Response::Job,Sr. Level Windows Systems Engineer w/SQL Server,"In addition to general Windows server OS, AD, File Server, and PKI knowledge, we need someone with SQL experience Description: We are seeking a Windows Server Administrator with hands-on experience deploying, configuring, managing, and decommissioning Microsoft Windows Server environments and Microsoft SQL Server instances. This role will be responsible for building and maintaining both physical and virtual servers, supporting day-to-day infrastructure operations, and ensuring server and databa…",1,https://www.adzuna.com/land/ad/5760113737?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=49B37DA7695A206244B986D07639F018428D4209,29.6403,5760113737,-95.4359,2026-06-11T12:57:15Z,"Trammells, Harris County","['US', 'Texas', 'Harris County', 'Trammells']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,S Linx LLC,Adzuna::API::Response::Company,,
162847.95,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzcxMSIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.QxS_L-H-I2Qxochft1NsTHcvnaryTN9PW-xCIx_0iPE,162847.95,Adzuna::API::Response::Job,"Direct Hire - Java FSD with Data Engineer - Reston, VA","Who we are? At Hexaware Technologies, we are a leading global IT Services company, dedicated to driving digital transformation and innovation for businesses around the world. Founded in 1990, Hexaware has grown into a global trusted partner for enterprises, offering comprehensive AI empowered services including IT Consulting, Application Development, Infrastructure and Cloud Management and Business Process services. At Hexaware we are a community of creative, diverse, and open-minded Hexawarian…",1,https://www.adzuna.com/land/ad/5760113711?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=217A703D4C326A09D11C911799543E5CB630AFED,38.964,5760113711,-77.338,2026-06-11T12:57:14Z,"Reston, Fairfax County","['US', 'Virginia', 'Fairfax County', 'Reston']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,"Hexaware Technologies, Inc",Adzuna::API::Response::Company,,
183275.16,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzAyIn0.c1vQQsGKjVCijyM3OvpaSYrdHx6wIHKdb_g0NakaTHg,183275.16,Adzuna::API::Response::Job,Clinical Director,"Job Description Job Description The Clinical Director leads a medium-sized clinical team (10-30 members) specializing in hospice and home health services. This role emphasizes streamlining operations and expanding clinical services within the first year. Minimal interaction with external regulatory bodies is expected, focusing primarily on clinical oversight, team leadership, and quality assurance to ensure excellent patient care management. Responsibilities Provide clinical oversight for hospi…",1,https://www.adzuna.com/land/ad/5760113702?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=038402C7AABEF1251992524A940F0F732C19A1F4,43.528871,5760113702,-111.866415,2026-06-11T12:57:14Z,"Idaho Falls, Bonneville County","['US', 'Idaho', 'Bonneville County', 'Idaho Falls']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Salmon Valley Hospice,Adzuna::API::Response::Company,,
164119.08,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzcwOCIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.HoDw56DH6FaZXvfjs_vXN0Or2Y_Y_nsdCVEqlPU9_sA,164119.08,Adzuna::API::Response::Job,Director Engineering,"Job Description Job Description Position Summary SunEnergy1 is seeking an experienced Director of Engineering to lead all engineering activities supporting the development, design, construction, and operation of utility-scale solar, battery energy storage (BESS), and related energy infrastructure projects. This role will oversee internal engineering resources and external consultants, ensuring projects are designed safely, efficiently, and in compliance with all applicable codes, standards, and…",1,https://www.adzuna.com/land/ad/5760113708?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=D8DDA325B82B2C5642FDD8A469E0F541260E4B64,33.228176,5760113708,-91.797629,2026-06-11T12:57:14Z,"Hamburg, Ashley County","['US', 'Arkansas', 'Ashley County', 'Hamburg']",Adzuna::API::Response::Location,"Energy, Oil & Gas Jobs",energy-oil-gas-jobs,Adzuna::API::Response::Category,SunEnergy1LLC,Adzuna::API::Response::Company,,
104941.78,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzEwIn0.SrmWpfsQK3khHUcVaig8boNSfLPzRN_IGsNRnzhgf-M,104941.78,Adzuna::API::Response::Job,PMO Analyst / Senior Project Manager,"PMO Analyst / Senior Project Manager : to evolve a recently implemented, basic project management process (PMO) into a high-performing, scalable framework. Lead the transition from basic, manual tracking tools to a modern, automated project management platform as appropriate. Move the PMO beyond its current compliance-focused governance, building out actionable execution steps and workflows that drive project delivery. Responsibilities : Assess existing PMO functions, define organizational need…",1,https://www.adzuna.com/land/ad/5760113710?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=8EDDE9312EE0B8429612CAFA00A70C3D299E1C5B,,5760113710,,2026-06-11T12:57:14Z,US,['US'],Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Proactive Staffing,Adzuna::API::Response::Company,,
158127.67,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzcwMyIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.KoZmlGXYjGLhT_S9FQwO1LgXwyJn4JEib9hJxBqlxYo,158127.67,Adzuna::API::Response::Job,General Practitioner,"Job Description Job Description Benefits/Perks Competitive Compensation Great Work Environment Career Advancement Opportunities Job Summary We are seeking an experienced General Practitioner to join our team! As a General Practitioner, you will be managing a changing caseload of patients every day who suffer from a variety of illnesses and injuries. You will be assessing their needs, ordering or performing tests, interpreting results, and offering diagnoses, prescriptions, and referrals, as nee…",1,https://www.adzuna.com/land/ad/5760113703?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=144D634B415AF64CAA47AD5398EA4E6EBC817B61,34.203909,5760113703,-118.293589,2026-06-11T12:57:14Z,"Burbank, Los Angeles County","['US', 'California', 'Los Angeles County', 'Burbank']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Shahab Mahboubian Do Inc,Adzuna::API::Response::Company,,
