title,salary_max,id,salary_is_predicted,adref,created,latitude,description,longitude,__CLASS__,salary_min,redirect_url,contract_time,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_type
"J.P. Morgan Wealth Management - Private Client Investment Associate - Fort Wayne, IN",50491.11,5718634751,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzUxIn0.elLgbKlPSdwkvblUaAUwkwMSECXt9FrR7THqFSrFtqA,2026-05-04T11:06:13Z,41.064475,"At J.P. Morgan Chase, we have an enthusiasm for helping our clients, taking care of our employees, building relationships, and delivering extraordinary customer service while maintaining a strong commitment to diversity and inclusion. Using a broad investment product and thought leadership platform along with cutting edge digital technology, you will be front and center representing our brand and interacting with our clients to offer the best investment solutions to meet their financial needs. …",-85.173858,Adzuna::API::Response::Job,50491.11,https://www.adzuna.com/details/5718634751?utm_medium=api&utm_source=abfa41a4,,"['US', 'Indiana', 'Allen County', 'Fort Wayne']",Adzuna::API::Response::Location,"Fort Wayne, Allen County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Part Time (20 Hours) Associate Banker, Park City Branch, Park City, UT",34638.65,5718634750,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDc1MCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.pakXAsEz3VxnF7xL2GTb93n6a48Cc1cEGaC1g8xb-rM,2026-05-04T11:06:12Z,40.646062,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As an Associate Banker within Chase, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service. Your r…",-111.497973,Adzuna::API::Response::Job,34638.65,https://www.adzuna.com/details/5718634750?utm_medium=api&utm_source=abfa41a4,,"['US', 'Utah', 'Summit County', 'Park City']",Adzuna::API::Response::Location,"Park City, Summit County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Part Time (30 Hours) Associate Banker, East Hillsboro Branch, Deerfield Beach, FL",34401.79,5718634742,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzQyIn0.ADPSBZ34aV8a2Mvx0DEM58YH2AsXSgpuRSREsCymI7E,2026-05-04T11:05:56Z,26.305881,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As an Associate Banker within Chase, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service. Your r…",-80.092601,Adzuna::API::Response::Job,34401.79,https://www.adzuna.com/details/5718634742?utm_medium=api&utm_source=abfa41a4,,"['US', 'Florida', 'Broward County', 'Deerfield Beach']",Adzuna::API::Response::Location,"Deerfield Beach, Broward County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Part Time (30 Hours) Associate Banker, US RTE 66 and Coors Blvd NW Branch, Albuquerque, NM",52956.04,5718634739,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzM5In0.AwKPow2iFCEwehBt9pZazZ6dfvNEzB8sXUC0GzUbIBw,2026-05-04T11:05:37Z,35.0846,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As an Associate Banker within Chase, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service. Your r…",-106.6516,Adzuna::API::Response::Job,52956.04,https://www.adzuna.com/details/5718634739?utm_medium=api&utm_source=abfa41a4,,"['US', 'New Mexico', 'Bernalillo County', 'Albuquerque']",Adzuna::API::Response::Location,"Albuquerque, Bernalillo County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Part Time (20 Hours) Associate Banker, St Louis Park, St Louis Park, MN",36652.93,5718634734,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDczNCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.fBXQ9F-VbAqf_9aJoudSD5P5K8ZxMXeHlYKamOQRrtU,2026-05-04T11:05:22Z,44.946519,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As an Associate Banker within Chase, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service. Your r…",-93.343929,Adzuna::API::Response::Job,36652.93,https://www.adzuna.com/details/5718634734?utm_medium=api&utm_source=abfa41a4,,"['US', 'Minnesota', 'Hennepin County', 'Saint Louis Park']",Adzuna::API::Response::Location,"Saint Louis Park, Hennepin County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Senior Home Lending Advisor - Dover NJ,39457.87,5718634733,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzMzIn0.SgN09yfDWp1fLl86bfYbvOO8XxAHFY7aYrOk51bxTjQ,2026-05-04T11:05:21Z,40.934342,"Join our fun, high-energy team as a Senior Home Lending Advisor in Chase Home Lending and put your exceptional knowledge and understanding of home lending products to good use by serving as your customersâ chief point of contact throughout the life of the loan while the Home Lending team supports you by sharing demonstrated knowledge in this area of specialization. You will adhere to all regulatory requirements while marketing and promoting the financial products offered by Chase. You will ha…",-74.541784,Adzuna::API::Response::Job,39457.87,https://www.adzuna.com/details/5718634733?utm_medium=api&utm_source=abfa41a4,,"['US', 'New Jersey', 'Morris County', 'Dover']",Adzuna::API::Response::Location,"Dover, Morris County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Owner Operators / CDL-A / $190K - $202K Yearly,100098.24,5718634729,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDcyOSIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.n5a0_LyJvawkCRp0usBLl1bgGynUAsGlGW-gow7P8pg,2026-05-04T11:05:20Z,46.780632,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-89.097564,Adzuna::API::Response::Job,100098.24,https://www.adzuna.com/land/ad/5718634729?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=C41833804FA9FAAE2677DDD4F37B2E4ED923FFCD,,"['US', 'Michigan', 'Ontonagon County', 'Ontonagon']",Adzuna::API::Response::Location,"Ontonagon, Ontonagon County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
Owner Operators / CDL-A / $190K - $202K Yearly,98818.62,5718634730,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDczMCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.O158JMUVjwdLSEunkgRgBwquTP61EzDztXM6sTFrnWw,2026-05-04T11:05:20Z,40.993339,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-79.169896,Adzuna::API::Response::Job,98818.62,https://www.adzuna.com/land/ad/5718634730?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=6D33173DA83A77F8B49BEF0321305A7D1A04E6A0,,"['US', 'Pennsylvania', 'Jefferson County', 'Timblin']",Adzuna::API::Response::Location,"Timblin, Jefferson County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
Senior Home Lending Advisor - Flushing NY,30188.03,5718634731,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzMxIn0.mrxB-p74JQMJyi-wx87fzreBXbU8FRCoWye9Fk1NF4w,2026-05-04T11:05:20Z,40.7553,"Join our fun, high-energy team as a Senior Home Lending Advisor in Chase Home Lending and put your exceptional knowledge and understanding of home lending products to good use by serving as your customersâ chief point of contact throughout the life of the loan while the Home Lending team supports you by sharing demonstrated knowledge in this area of specialization. You will adhere to all regulatory requirements while marketing and promoting the financial products offered by Chase. You will ha…",-73.8268,Adzuna::API::Response::Job,30188.03,https://www.adzuna.com/details/5718634731?utm_medium=api&utm_source=abfa41a4,,"['US', 'New York', 'New York City', 'Queens', 'Flushing']",Adzuna::API::Response::Location,"Flushing, Queens",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Owner Operators / CDL-A / $190K - $202K Yearly,95868.77,5718634728,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzI4In0.c_wJD7duiaQMuUp3wZImtBBKJB7tyi5RDKd2J0RJY24,2026-05-04T11:05:19Z,45.495027,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-87.606759,Adzuna::API::Response::Job,95868.77,https://www.adzuna.com/land/ad/5718634728?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=326D3C38FAAEB35161EDF30C9CAAD88348948D34,,"['US', 'Michigan', 'Menominee County', 'Stephenson']",Adzuna::API::Response::Location,"Stephenson, Menominee County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
"Part Time (30 Hours) Associate Banker, Bedford I St Branch, Bedford, IN",33736.49,5718634714,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDcxNCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.u64uGI1neug7ozMExeZo0O1dfro1_nsU1ukzu3nQSIM,2026-05-04T11:05:09Z,38.861162,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As an Associate Banker within Chase, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service. Your r…",-86.487215,Adzuna::API::Response::Job,33736.49,https://www.adzuna.com/details/5718634714?utm_medium=api&utm_source=abfa41a4,,"['US', 'Indiana', 'Lawrence County', 'Bedford']",Adzuna::API::Response::Location,"Bedford, Lawrence County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Owner Operators / CDL-A / $190K - $202K Yearly,98283.38,5718634712,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzEyIn0.Zk3XIGrdlyY3Fyoqb4iKmWjYBT_ol1aCso-eZSx7-VU,2026-05-04T11:05:07Z,37.725001,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-76.692033,Adzuna::API::Response::Job,98283.38,https://www.adzuna.com/land/ad/5718634712?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=F75140584ADCCE262CB1E8B97ABEFD70839C75CF,,"['US', 'Virginia', 'Essex County', 'Butylo']",Adzuna::API::Response::Location,"Butylo, Essex County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
Owner Operators / CDL-A / $190K - $202K Yearly,91299.6,5718634710,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDcxMCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.j21Pjc50ning4ybQTX42qK9gyT7K8Ubq4T148WGLvms,2026-05-04T11:05:06Z,37.056663,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-103.836125,Adzuna::API::Response::Job,91299.6,https://www.adzuna.com/land/ad/5718634710?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=ED02405725D05473EA48AE427DD29AD5DAD11DDD,,"['US', 'New Mexico', 'Union County', 'Folsom']",Adzuna::API::Response::Location,"Folsom, Union County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
"Relationship Banker - Paseo Padre - Fremont, CA",58190.18,5718634696,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDY5NiIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.KTA4MPznoQbMm-olWiZFZ0Bk4QAPVZh3hz90GYYl-rk,2026-05-04T11:04:59Z,37.564143,"At Chase, we are passionate about creating memorable experiences for our clients and employees, making them feel welcomed, valued, and understood. We build lasting relationships by doing the right thing, exceeding expectations, and embracing diversity and inclusion. As a Relationship Banker in a Chase Branch, you will represent our brand and culture with the utmost hospitality, using the latest banking solutions and cutting-edge financial technology combined with friendly and attentive service.…",-122.004179,Adzuna::API::Response::Job,58190.18,https://www.adzuna.com/details/5718634696?utm_medium=api&utm_source=abfa41a4,,"['US', 'California', 'Alameda County', 'Fremont']",Adzuna::API::Response::Location,"Fremont, Alameda County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Owner Operators / CDL-A / $190K - $202K Yearly,92340.31,5718634693,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NjkzIn0.S3hosMONVneiLsI_t0BZXhOWGJ5SiE_cSO6GtgGjxCw,2026-05-04T11:04:58Z,40.141572,"Better Discounts with J.B. HuntYou can enjoy some of the best rates and discounts in the industry when you contract with J.B. Hunt! Benefits:Earn $190,000 - $202,000 a year.Up to $0.80 per gallon off the diesel fuel pump priceUp to 100% fuel surcharge pass downUp to 35% discount on Goodyear tiresDiscounts on maintenance and roadside assistance through RoadsideMASTERS.comCompetitive Weekly SettlementsRelationships That MatterVoluntary Third-Party Health ProgramsDriver Referral OpportunitiesReduc…",-79.333894,Adzuna::API::Response::Job,92340.31,https://www.adzuna.com/land/ad/5718634693?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=A702CB493309EA901CB026C7E0F54D9E8386EB8D,,"['US', 'Pennsylvania', 'Westmoreland County', 'Donegal']",Adzuna::API::Response::Location,"Donegal, Westmoreland County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,"J.B. Hunt Transport, Inc.",
