title,adref,salary_min,latitude,id,contract_time,description,__CLASS__,redirect_url,longitude,created,salary_is_predicted,salary_max,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,category.tag,category.label,category.__CLASS__,contract_type
Tire Service Technician - Davie,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAyMjYxIn0.s3aHQKm8kiTCmz7qnNX3y6jX3RIXeIprnNoVOpEEF08,20000.81,26.06658,5890802261,part_time,": Part-Time Tire Technician At Discount Tire, we change more than tires. We make dreams come true. As a Part-Time Tire Technician, you are the backbone of our success, keeping customers safe while building a career and life you love. We are a people-first team who cares for each other, serves customers the right way, and wins together in a promote-from-within culture. We’re proud to be recognized as a Glassdoor Best Places to Work 2026 and named one of Forbes’ America’s Best Large Employers for…",Adzuna::API::Response::Job,https://www.adzuna.com/details/5890802261?utm_medium=api&utm_source=abfa41a4,-80.2728,2026-09-19T12:17:17Z,1,20000.81,Discount Tire,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Cooper City, Broward County","['US', 'Florida', 'Broward County', 'Cooper City']",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
Local Truck Driver - Grad Training - Reefer - $90.48k per year,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxNjUwIn0.xHK0HD5NDYjcAbul-BnBLu1dvKX854nGzyfldZdhYvw,0.0,41.62218,5890801650,,"Job Description Job Description CDL A Truck Drivers – No Touch Freight – Earn up to $90,480 Annually! $7,500 Sign-On Bonus* Pay & Benefits: Earn $72,800-$90,480 Annually $7,500 Sign-On Bonus for Experienced Drivers, paid over 10 months* $1,400 Minimum Weekly Guarantee Annual Mileage Pay Increases until maxed* Unlimited Referral Bonuses ($2,000-$3,000 per referral) Safety & Service Award Programs Paid time off after 1 year, plus 6 paid holidays after 90 days Medical, Dental, Vision, Life Insuran…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801650?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=E27CCBB9DBAD802AB20CF50F8B5FB4B051BF8EA8,-80.30952,2026-09-19T12:16:44Z,0,90480.0,Hogan Transports,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Conneaut Lake Park, Crawford County","['US', 'Pennsylvania', 'Crawford County', 'Conneaut Lake Park']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
SAS in Walmart - Retail Specialist - Seasonal,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxNDg4In0.iYEIKDCwQVapDBDol5SkYAtXSj67Sd-lnkEKQuynPy4,47000.91,46.724248,5890801488,part_time,"We want you to help us shape the future of shopping experiences and deliver on our purpose of connecting people with the products and experiences that enrich their lives. Joining SAS Retail Services, an Advantage Solutions company, means joining a network of 65,000 teammates serving 4,000 brands and retail customers across 40 countries. All the while, being provided the opportunities, support, and enrichment you need to grow your career. We’re a retail team seeking sharp, creative individuals w…",Adzuna::API::Response::Job,https://www.adzuna.com/details/5890801488?utm_medium=api&utm_source=abfa41a4,-92.471154,2026-09-19T12:16:35Z,1,47000.91,SAS Retail Services,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Knife Falls, Carlton County","['US', 'Minnesota', 'Carlton County', 'Knife Falls']",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
Regional CDL-A Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTMzOCIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.yPCPRbo-nCT6JOqQqzu27AYmsb9DkFy8BRqM-BXHUXc,59214.3,40.605071,5890801338,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801338?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=0F22D49360CDF184F6BF84F935F93B42ED5A4F68,-77.72555,2026-09-19T12:16:27Z,1,59214.3,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Belleville, Mifflin County","['US', 'Pennsylvania', 'Mifflin County', 'Belleville']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Regional CDL-A Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTMyMSIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.TlQy8pTj5hTv03LDHoGAAjP4nsxjiW7c7iSbY5sYlDM,61081.38,39.277616,5890801321,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801321?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=7D1A586D6A9175A14C3CD0290855A4AD971CD75B,-74.5746,2026-09-19T12:16:27Z,1,61081.38,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Ocean City, Cape May County","['US', 'New Jersey', 'Cape May County', 'Ocean City']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Class A CDL Truck Driver(Need Drivers ASAP),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxMzM0In0.qFpYlPcB6hk-eAePwpc7QcxR1jiW23nmXwgLTXqhu_c,59383.22,42.319556,5890801334,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801334?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=F944FB1256BFC70170FCD5A69AF3314DBFB55F7F,-71.6412,2026-09-19T12:16:27Z,1,59383.22,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Northborough, Worcester County","['US', 'Massachusetts', 'Worcester County', 'Northborough']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
CDL Class A Truck Driver Support Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTM0NSIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.pZgCZBBRzDCmIptS_fwunMpuXF7r6eGW13tZ4v_r2xY,56101.11,41.2798,5890801345,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801345?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=D6B1DED17D5404C6A9E0BA7AF92379C92B736EA8,-76.71301,2026-09-19T12:16:27Z,1,56101.11,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Picture Rocks, Lycoming County","['US', 'Pennsylvania', 'Lycoming County', 'Picture Rocks']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
CDL Class A Truck Driver Support Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTM0MyIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.beQV9Rk_8maBOF602Si_NOroA56JMB3uppugNBQ-lTw,58089.09,40.942595,5890801343,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801343?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=0998E87AC45E1CDE02FA33CF4D6DFB671A4E596E,-74.657609,2026-09-19T12:16:27Z,1,58089.09,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Hopatcong, Sussex County","['US', 'New Jersey', 'Sussex County', 'Hopatcong']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Class A CDL Truck Driver(Need Drivers ASAP),eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTM0NyIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.dDFNasp_XwC_m-1zQ6_ZuDhH3sNIDtV7aYeO2buXGY4,56001.52,40.731296,5890801347,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801347?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=6C5FB5F703A29B492AF0143DBC49302F942BE715,-74.270751,2026-09-19T12:16:27Z,1,56001.52,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Maplewood, Essex County","['US', 'New Jersey', 'Essex County', 'Maplewood']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
CDL Class A Truck Driver Support Driver,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxMzMwIn0.ynoqeiDJBsYtazHFOBHZaZ6aNVtZGEmkATdigXseHUM,61430.84,42.319556,5890801330,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801330?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=22F3B3C8E15ADF1E875F895081FBE4A17E45E7A3,-71.6412,2026-09-19T12:16:27Z,1,61430.84,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Northborough, Worcester County","['US', 'Massachusetts', 'Worcester County', 'Northborough']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Regional CDL-A Driver,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxMzQwIn0.4KUOs8X44nwvRoK3-7BiJImCrEOuhsVG5R2FAsdUoqI,56505.16,41.5076,5890801340,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801340?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=E1819B89A6115E2B9549F6FEB741BF15312FE7C0,-71.716178,2026-09-19T12:16:27Z,1,56505.16,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Hope Valley, Washington County","['US', 'Rhode Island', 'Washington County', 'Hope Valley']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Regional CDL-A Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDgwMTMzOSIsInMiOiJoR1RRV0VhMDhSR1pjYjVOU3NFSzhRIn0.TiDnKSK32BE8U_rOVsmPY2OlKGK8jvenL_8m2PCi-xA,58680.41,42.083431,5890801339,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801339?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=2208B61B5D3AD7133FC66F1DA006C3DEEE99EA1F,-71.396725,2026-09-19T12:16:27Z,1,58680.41,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Franklin, Norfolk County","['US', 'Massachusetts', 'Norfolk County', 'Franklin']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Regional CDL-A Driver,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEdUUVdFYTA4UkdaY2I1TlNzRUs4USIsImkiOiI1ODkwODAxMzI4In0.u0QOQlMztDpzJo4atT6gk0Ftrm--sfK78OcL3lWrFnU,56775.24,44.583,5890801328,,"PAM Transport is hiring Regional CDL-A Drivers to haul general commodities across assigned U.S. lanes. In this safety-first, performance-driven role, you’ll operate late-model dry van equipment, run consistent regional routes, and ensure on-time, damage-free deliveries. Responsibilities include safe vehicle operation, hours-of-service compliance, pre/post-trip inspections, and accurate log and paperwork completion. You’ll communicate regularly with dispatch, follow company safety policies, and …",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890801328?se=hGTQWEa08RGZcb5NSsEK8Q&utm_medium=api&utm_source=abfa41a4&v=687CD43971113A77525B612B57B4B0EFD8CBED9A,-67.715,2026-09-19T12:16:27Z,1,56775.24,PAM Transport,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Addison, Washington County","['US', 'Maine', 'Washington County', 'Addison']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
