adref,description,redirect_url,salary_min,salary_is_predicted,salary_max,title,created,id,longitude,latitude,__CLASS__,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS3ZuRVVVS3A4Ukd3emZ4SWlsQ2tkUSIsImkiOiI1ODcyMTIxMDY1In0.yM3kyEpOffFVIwlU_3hJlXdm9bk3sQO0PZ8urM_VXRg,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Somerset, KY Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Somerset, KY. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in complianc…",https://www.adzuna.com/land/ad/5872121065?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=21C703315484DB89718CCFB947D7413293E6F79F,43285.1,1,43285.1,Travel Med Surg RN,2026-09-05T11:51:02Z,5872121065,-84.618544,37.090422,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"West Somerset, Pulaski County","['US', 'Kentucky', 'Pulaski County', 'West Somerset']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDg4MiIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.HEJy_ZTP49DzNQJGB-RB73BF2AivVd5_yTkQ86feLl0,"Travel Med Surg/Tele RN Company: Fusion Medical Staffing Location: Facility in Lancaster, SC Job Details Fusion Medical Staffing is seeking a Med Surg/Tele RN for a 13-week travel assignment in Lancaster, SC. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg/Tele RN experience Valid RN lic…",https://www.adzuna.com/land/ad/5872120882?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=BF750782FBB490CD301AB4E25B36E9BE88247337,29958.93,1,29958.93,Travel Med Surg/Telemetry RN,2026-09-05T11:50:59Z,5872120882,-80.746121,34.724015,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Lancaster, Lancaster County","['US', 'South Carolina', 'Lancaster County', 'Lancaster']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDg3NyIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.eioeF4UnW72GADsZWzmrRWF5KhF559jZ9SmBqLEaB8U,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in White Salmon, WA Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 4-week travel assignment in White Salmon, WA. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in co…",https://www.adzuna.com/land/ad/5872120877?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=39CA89046DB9E90910EAC7906F39CD3BEC412FC9,60180.98,1,60180.98,Travel Med Surg RN,2026-09-05T11:50:58Z,5872120877,-121.484609,45.76039,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"White Salmon, Klickitat County","['US', 'Washington', 'Klickitat County', 'White Salmon']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS3ZuRVVVS3A4Ukd3emZ4SWlsQ2tkUSIsImkiOiI1ODcyMTIwODc4In0.B7gsz352l830wkzzQX-jRLxztdqBdG672yocdWZOY1k,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Aberdeen, WA Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Aberdeen, WA. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in complianc…",https://www.adzuna.com/land/ad/5872120878?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=695E3F33056BF06E5DE7EE272BEC5F388D6939A3,42444.73,1,42444.73,Travel Med Surg RN,2026-09-05T11:50:58Z,5872120878,-123.821153,46.969107,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Bench Drive, Grays Harbor County","['US', 'Washington', 'Grays Harbor County', 'Bench Drive']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDc5MyIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0._E5WRK2QtZGDYec-GCEP930J7MU5C6n_mUGG33KjFq4,"Become a part of our caring community As a CenterWell Home Health nurse, reporting to the Clinical Manager, you will provide personalized, one-on-one care that helps patients regain independence in the comfort of their homes. Working with a dedicated team of physicians and clinicians, you'll manage care plans that support recovery and help patients get back to the life they love. As a Home Health LPN , you will: Provide skilled nursing care to patients, working onsite in their homes, under the …",https://www.adzuna.com/land/ad/5872120793?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=B852EA68DC8EE9988D40CAFE9FE965ED7399F4A6,110772.98,1,110772.98,Home Health Licensed Practical Nurse,2026-09-05T11:50:57Z,5872120793,-71.0186,42.0833,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Brockton, Plymouth County","['US', 'Massachusetts', 'Plymouth County', 'Brockton']",Adzuna::API::Response::Company,CenterWell Home Health,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDc5OSIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.i12TKYN0NeGcv_F3cryZhUEjgwJjeIA-uylUMzgPdik,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Wenatchee, WA Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 12-week travel assignment in Wenatchee, WA. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in complia…",https://www.adzuna.com/land/ad/5872120799?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=F58AD2294106D9E9521EB1938F4DB2C3438ACFB9,42149.62,1,42149.62,Travel Med Surg RN,2026-09-05T11:50:57Z,5872120799,-120.32922,47.43378,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Mission Square, Chelan County","['US', 'Washington', 'Chelan County', 'Mission Square']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDgwMCIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.d9xhcgLtc2iaPn3yZ_IsXyiypEKCoyvEd_rPPcFhUp0,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Fremont, NE Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Fremont, NE. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in compliance …",https://www.adzuna.com/land/ad/5872120800?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=5BFE0DA8D8D94D946E06DF2713016F79E9B7AB96,35113.84,1,35113.84,Travel Med Surg RN,2026-09-05T11:50:57Z,5872120800,-96.52716,41.43978,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Fremont, Dodge County","['US', 'Nebraska', 'Dodge County', 'Fremont']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS3ZuRVVVS3A4Ukd3emZ4SWlsQ2tkUSIsImkiOiI1ODcyMTIwNjAxIn0.BszshZSxguXYA_j8AkwV2Delps5hJry310tSrzKftDI,"Travel Med Surg/Tele RN Company: Fusion Medical Staffing Location: Facility in Matthews, NC Job Details Fusion Medical Staffing is seeking a Med Surg/Tele RN for a 20-week travel assignment in Matthews, NC. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg/Tele RN experience Valid RN licen…",https://www.adzuna.com/land/ad/5872120601?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=983AF7DD623A509470B2B1D10216B3A317D230FD,25873.15,1,25873.15,Travel Med Surg/Telemetry RN,2026-09-05T11:50:54Z,5872120601,-80.69394,35.11434,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Stallings, Union County","['US', 'North Carolina', 'Union County', 'Stallings']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDUxNiIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.2Ak2S_8zbHcARNZKm5IOaCklh3zmbjkNfyYQ4nxIgL8,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Idaho Falls, ID Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Idaho Falls, ID. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in com…",https://www.adzuna.com/land/ad/5872120516?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=8BE5F3FA9081E54442D4A6B2BAB6C23A3519733D,33419.57,1,33419.57,Travel Med Surg RN,2026-09-05T11:50:53Z,5872120516,-112.013368,43.472983,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Hillview, Bonneville County","['US', 'Idaho', 'Bonneville County', 'Hillview']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDUxMyIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.c_oQ98BlKx6nTLaGLWfJ9QIu0AIruAfFH18B8y6wGYM,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Johnson, AR Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 12-week travel assignment in Johnson, AR. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in compliance …",https://www.adzuna.com/land/ad/5872120513?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=EB0AC8240352F76198BDD9802E1DF24C23F3643D,36208.85,1,36208.85,Travel Med Surg RN,2026-09-05T11:50:52Z,5872120513,-94.16395,36.13065,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Johnson, Washington County","['US', 'Arkansas', 'Washington County', 'Johnson']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDUxNCIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.cl7R-PAIlTIZShh1LZxjHkw91T4n1_fbBwDxflcMlps,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Oak Bluffs, MA Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Oak Bluffs, MA. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in compl…",https://www.adzuna.com/land/ad/5872120514?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=0923E8B224F16FDEB790E18BBB85777480E21A87,41611.32,1,41611.32,Travel Med Surg RN,2026-09-05T11:50:52Z,5872120514,-70.577975,41.444567,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Vineyard Haven, Dukes County","['US', 'Massachusetts', 'Dukes County', 'Vineyard Haven']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MjEyMDM5NyIsInMiOiJLdm5FVVVLcDhSR3d6ZnhJaWxDa2RRIn0.uyVVIP9u0EqH3phlvU1urnNtj7GAcibIzv6-V80nHQA,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Lafayette, IN Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Lafayette, IN. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in complia…",https://www.adzuna.com/land/ad/5872120397?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=1221E5B0FA6CE389D267132B24D8BDAF5068AB1B,35854.92,1,35854.92,Travel Med Surg RN,2026-09-05T11:50:50Z,5872120397,-86.829017,40.416829,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Lafayette, Tippecanoe County","['US', 'Indiana', 'Tippecanoe County', 'Lafayette']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS3ZuRVVVS3A4Ukd3emZ4SWlsQ2tkUSIsImkiOiI1ODcyMTIwMzk1In0.Tyj1fhVJF_cdgStTff26kdDgperVaqHz1TzcfRR0fUE,"Travel Med Surg RN Company: Fusion Medical Staffing Location: Facility in Lewiston, ID Job Details Fusion Medical Staffing is seeking a Med Surg RN for a 13-week travel assignment in Lewiston, ID. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent Med Surg RN experience Valid RN license in complianc…",https://www.adzuna.com/land/ad/5872120395?se=KvnEUUKp8RGwzfxIilCkdQ&utm_medium=api&utm_source=abfa41a4&v=CC09DF1B1C53010AB8C19F9ECD0B937B921873B5,44054.46,1,44054.46,Travel Med Surg RN,2026-09-05T11:50:50Z,5872120395,-116.98701,46.391549,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"Lewiston, Nez Perce County","['US', 'Idaho', 'Nez Perce County', 'Lewiston']",Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
