description,title,salary_is_predicted,__CLASS__,id,created,salary_min,adref,salary_max,redirect_url,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,longitude,latitude,contract_time,contract_type
"DivIHN (pronounced “divine”) is a CMMI ML3-certified Technology and Talent solutions firm. Driven by a unique Purpose, Culture, and Value Delivery Model, we enable meaningful connections between talented professionals and forward-thinking organizations. Since our formation in 2002, organizations across commercial and public sectors have been trusting us to help build their teams with exceptional temporary and permanent talent. Visit us at to learn more and view our open positions. Please apply …",Senior Network Automation Engineer (Hybrid),1,Adzuna::API::Response::Job,5684169776,2026-03-31T10:37:57Z,153267.42,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5Nzc2In0.HjFs3wofu6Syp2GN7w559-Qzy4D1wGc_5pduh_hui0Y,153267.42,https://www.adzuna.com/land/ad/5684169776?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=43D7249FE5C63FED65E701318FD6BD4385306951,Adzuna::API::Response::Category,IT Jobs,it-jobs,DivIHN Integration Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Charlotte, Mecklenburg County","['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",-80.8432,35.2268,,
"We need following candidate: Title: Project Manager / Senior Business Analyst Duration: 6 Months Location: Coppell, TX - Hybrid 3 days in a week from office  LOCAL CANDIDATES ONLY  Senior Business Analyst who has worked in CIO office supporting IT leadership with executive reporting, strategy execution, dashboards, and vendor governance. Senior Business Analyst with 14 years total experience Must have worked closely with CIO / IT leadership / OCIO Experience acting as: Executive support to CIO …",Senior Project Manager,1,Adzuna::API::Response::Job,5684169766,2026-03-31T10:37:57Z,165947.44,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzY2In0.V2dPp-XtDXK2Nv-P5Efx-Je1bGzLqpj24qAypvn3J3I,165947.44,https://www.adzuna.com/land/ad/5684169766?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=357DF33851AEFFECCBB1E0BEBC1D4D557E129B1E,Adzuna::API::Response::Category,IT Jobs,it-jobs,Infinite Dimensions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Coppell, Dallas","['US', 'Texas', 'Dallas', 'Coppell']",-96.9864,32.9659,,
"Hiring : W2 Candidates Only Visa : Open to any visa type with valid work authorization in the USA Summary A UX/UI Designer is responsible for creating intuitive, engaging, and accessible user experiences and interfaces across web and mobile applications. This role focuses on understanding user needs, designing interactive interfaces, and collaborating with cross-functional teams to deliver seamless digital experiences that align with business goals and brand identity. Key Responsibilities Condu…",UX/UI Designer,1,Adzuna::API::Response::Job,5684169757,2026-03-31T10:37:57Z,125209.95,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzU3In0.giv8T73If1P_w43n7aZsFeU_rov6lv4tcb0emDnbI0c,125209.95,https://www.adzuna.com/land/ad/5684169757?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=58D36BBD49132AE3490C0C4AEA41F0C8560ED764,Adzuna::API::Response::Category,IT Jobs,it-jobs,INNOVIT USA INC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"West End, Dauphin County","['US', 'Pennsylvania', 'Dauphin County', 'West End']",-76.880632,40.264598,,
"Description: THIS REQUISITION IS MANAGED BY MOVIN SHARMA. PLEASE SHARE ALL YOUR SUBMISSION EMAILS ON BASIC DETAILS: Basic Details: Title: Solution/Application Architect Location: Plano, TX Remote/On-site/Hybrid: On-Site from day 1 Local or non-local: Local candidate Backfill/New Headcount: Backfill requisition Working hours: Standard (8/9 am to 5/6 pm CST) Duration: 12 months with the possibility of extension Maximum bill rate: $125.00 Overtime: As per business need Travel: No Experience level:…",Solution/Application Architect,1,Adzuna::API::Response::Job,5684169780,2026-03-31T10:37:57Z,193436.16,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzgwIn0.6arqcm4Nws6Svo9nuRXAibJl6abXisdm0-8qgRjeqAs,193436.16,https://www.adzuna.com/land/ad/5684169780?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=DFD7FDDF02CC27B3DF75D5BA7E2655770ACB0F4A,Adzuna::API::Response::Category,IT Jobs,it-jobs,"Russell, Tobin & Associates",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Plano, Collin County","['US', 'Texas', 'Collin County', 'Plano']",-96.69858,33.0234,,
"Job Title: Sr. Technical Business Analyst Location: Quincy, MA (Boston Area) -Onsite Key Responsibilities Lead business and technical requirements gathering , analysis, and documentation across multiple systems Perform data discovery, profiling, and SQL-based analysis to support integration initiatives Develop and maintain Source-to-Target Mapping (STTM) documents Ensure data quality, integrity, and compliance within regulated environments Collaborate with developers, QA teams, and business sta…",Technical Business Analyst  Onsite  W2 Profiles Only,1,Adzuna::API::Response::Job,5684169770,2026-03-31T10:37:57Z,88774.11,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc3MCIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.Cu8KuIXmqUOefKIUmsBCMqkYOlfFnGAsvQyZYLDVfN8,88774.11,https://www.adzuna.com/land/ad/5684169770?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=EA924F703CCFC124F5452C5BE1E2A899F574AC9F,Adzuna::API::Response::Category,IT Jobs,it-jobs,Trebecon LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Norfolk Downs, Norfolk County","['US', 'Massachusetts', 'Norfolk County', 'Norfolk Downs']",-71.026731,42.281819,,
"Role name: Project Manager Work site: Dallas, TX (Onsite) Duration: Long Term Key Responsibilities Lead overall program planning, execution, and governance for technology enablement supporting London store openings. Manage cross functional workstreams, ensuring alignment between engineering, infrastructure, digital products, POS, kiosks, payments, networking, and third party vendors. Coordinate technology readiness across all domains including hardware, software, integrations, networking, and s…",Project Manager,1,Adzuna::API::Response::Job,5684169773,2026-03-31T10:37:57Z,129781.59,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc3MyIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.UJUGNm2gTa2WZlsVjw9b-dKuMuzrl9nfHoO_q0hlCP8,129781.59,https://www.adzuna.com/land/ad/5684169773?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=4E64742211830E7E28101917674224283CDB673B,Adzuna::API::Response::Category,IT Jobs,it-jobs,Sita Corp,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Highland Park, Dallas","['US', 'Texas', 'Dallas', 'Highland Park']",-96.765058,32.760168,,
"If you thrive on designing resilient networks, optimizing wireless performance, and securing environments with Fortinet solutions, this Senior Network Engineer role is built for you. CONTRACT TO HIRE Hybrid in MA $115-120K Network Engineer, Routers, Switches, Networking Protocols, LAN, WAN We’re looking for a skilled Network Engineer to support and enhance a dynamic IT infrastructure environment. This role is ideal for someone who enjoys working across networking, virtualization, and data prote…",Senior Network Engineer,1,Adzuna::API::Response::Job,5684169764,2026-03-31T10:37:57Z,125931.34,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzY0In0.woh6SE9ed7Oev4NULnHA-PP58W7Ko6PmoQlgEK37XSI,125931.34,https://www.adzuna.com/land/ad/5684169764?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=B391C673E3437BC022D9FC91998E16BBB7722C2D,Adzuna::API::Response::Category,IT Jobs,it-jobs,Top Prospect Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,US,['US'],,,,
"Need Java Architect (Spring Boot  React.js) Hybrid ( Only ON W2/1099 ) Location: Phoenix, AZ (Hybrid 3 Days Onsite per Week) Job Summary We are seeking a highly experienced Java Architect with strong expertise in Spring Boot microservices and React.js to lead the design and development of scalable, high-performance enterprise applications. The ideal candidate will play a key role in defining architecture standards, guiding development teams, and ensuring best practices in modern full-stack appl…","Need Java Architect (Spring Boot  React.js) - Hybrid - Phoenix, AZ",1,Adzuna::API::Response::Job,5684169742,2026-03-31T10:37:56Z,48668.51,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc0MiIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.VpgonME03mgvsea3R8ToukRdEGXL0pRTgfVRE1xoAJ8,48668.51,https://www.adzuna.com/land/ad/5684169742?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=87216A321A05C92B7F520B6450B3C8DB1E2D26DD,Adzuna::API::Response::Category,IT Jobs,it-jobs,Infinity Tech Group Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Phoenix, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Phoenix']",-112.0772,33.449188,,
"Position: Retail Merchandising & Space Planning Specialist Location: Katy, TX, On-site This role is ideal for someone who has worked in retail merchandising and space planning , knows RMS , and can use SQL to analyze data. The candidate should be comfortable creating floor plans and planograms , coordinating with offshore teams, and working directly with client stakeholders at the store/business level. Merchandising & Space Planning Understand store layout, merchandising requirements, and busin…",Retail Merchandising & Space Planning Specialist,1,Adzuna::API::Response::Job,5684169727,2026-03-31T10:37:56Z,34583.3,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzI3In0.kwvB5Ux3RrejWxCsvS3ELC-MeqyyU11m47XNKkBMvLs,34583.3,https://www.adzuna.com/land/ad/5684169727?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=A1553775FA8ECA5F8E5E88CF8263B9DE14D96D97,Adzuna::API::Response::Category,Retail Jobs,retail-jobs,Georgia IT,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Katy, Harris County","['US', 'Texas', 'Harris County', 'Katy']",-95.802207,29.735999,,
"Title: BIM Modeling Engineer Location: Austin, TX Duration: 6-12 Mos CTH Position Overview: We are seeking a detail-oriented BIM Modeler with 2 5 years of experience in drafting and modeling telecommunications or electrical systems. This role focuses on hands-on drafting and modeling and is not a BIM Coordinator position . Key Responsibilities: Develop and maintain Building Information Modeling (BIM) models for project deliverables. Prepare detailed drawings for one or more of the following sys…",BIM Modeler,1,Adzuna::API::Response::Job,5684169748,2026-03-31T10:37:56Z,58031.18,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzQ4In0.JM9GvKUni6wK7IAZC1d9e7Wpoh59SOOCJ5shaMIY5F4,58031.18,https://www.adzuna.com/land/ad/5684169748?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=10EBCDE4CC0E156B57F3C142D5C361EB039448AE,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,ARROWCORE GROUP,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Bee Cave, Travis County","['US', 'Texas', 'Travis County', 'Bee Cave']",-97.865683,30.320233,,
"Position: Senior Business Data Architect (Both Functional & Technical) Location: Sunnyvale, CA (Hybrid 3 days On-Site and 2 days Remote) Duration: 12 Months Job Description Key Qualifications: Strong proficiency in databases, data visualization and reporting tools such as Oracle, MySQL, SQL Server, Snowflake, Tableau, Business Objects, ThoughtSpot and others. Hands-on experience with querying of data and creating data sources to provide analysis and present data to the customers. Experienced in…","Hiring for Senior Business Data Architect (Both Functional & Technical) in Sunnyvale, CA (Hybrid 3 days On-Site and 2 days Remote)",1,Adzuna::API::Response::Job,5684169722,2026-03-31T10:37:56Z,98914.52,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTcyMiIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.TiBtPlXYq0X4ZSZDnN6j_Fx6rdC5kVknGFoOmPPILnY,98914.52,https://www.adzuna.com/land/ad/5684169722?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=A94FE75BB4FAD45D6E79FF21F380D2F27EBDEB48,Adzuna::API::Response::Category,IT Jobs,it-jobs,TechAffinity Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Cupertino, Santa Clara County","['US', 'California', 'Santa Clara County', 'Cupertino']",-122.032489,37.350211,,
"URGENT REQ: Role: Windows Server System Administrator Location: Greensboro, NC JD: Performs hands-on vulnerability remediation, patch deployment, and secure configuration hardening for Windows Server environments. Ensures remediation is executed within formal change control, validated through Qualys Vulnerability Management, and reported against service level agreement metrics. Essential Functions: Review Qualys Vulnerability Management findings for Windows servers and define remediation plans …",Windows Server System Administrator,1,Adzuna::API::Response::Job,5684169735,2026-03-31T10:37:56Z,101280.97,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzM1In0.Tu0CgA1j651_nqyCECRGAjf-MWnvrjElvmZ-IlA7hmo,101280.97,https://www.adzuna.com/land/ad/5684169735?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=7ECF82F2E79039E556C66A212AE75647D65D2B53,Adzuna::API::Response::Category,IT Jobs,it-jobs,Compugra Systems,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Country Park Acres, Guilford County","['US', 'North Carolina', 'Guilford County', 'Country Park Acres']",-79.87471,36.075981,,
"Zscalar Lead / Architect Job Description: Should have deep networking skills with ZIA, ZPA skills - Architect (> 12~13 yrs experience) SWAN knowledge required.  Zscaler Branch Connector skills will help. Key Responsibilities: Solution Design & Architecture Develop end-to-end architecture for Zscaler Branch Connector deployments in gateway and non-gateway modes. Define network segmentation, routing, and policy enforcement strategies aligned with Zero Trust principles. Implementation & Integratio…",Zscalar Lead/Architect,1,Adzuna::API::Response::Job,5684169725,2026-03-31T10:37:56Z,89596.74,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzI1In0.jBYp6k2LlrfqNi43Px7xNZj4-aio4B8TGerQlPwetA4,89596.74,https://www.adzuna.com/land/ad/5684169725?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=21F4CB336FBFA2167E26DDBEE8A4B49A198CA04F,Adzuna::API::Response::Category,IT Jobs,it-jobs,Arnex Solutions LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,US,['US'],,,,
"Job Title: Operational Procurement Manager (IT) Location: Harrisburg, PA Employment Type: Long-term Contract Job Summary We are seeking an experienced Operational Procurement Manager to lead and coordinate procurement, contract management, and implementation efforts for IT initiatives. This role will serve as a key liaison between program teams, procurement stakeholders, and vendors to ensure successful execution of procurement activities and technology implementations. Key Responsibilities Ope…",IT Operational Procurement Manager,1,Adzuna::API::Response::Job,5684169739,2026-03-31T10:37:56Z,101480.05,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTczOSIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.U71IzIw3ujYdW570TVKvLXFIYDRPZA4K0EiszUYdCYc,101480.05,https://www.adzuna.com/land/ad/5684169739?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=6F24343B11A37DC6C7FD3F63E26D9D7B16AF349E,Adzuna::API::Response::Category,IT Jobs,it-jobs,Comtech Global,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"West End, Dauphin County","['US', 'Pennsylvania', 'Dauphin County', 'West End']",-76.880632,40.264598,,
