salary_max,title,id,adref,longitude,salary_min,salary_is_predicted,redirect_url,__CLASS__,latitude,created,description,category.__CLASS__,category.tag,category.label,company.__CLASS__,company.display_name,location.__CLASS__,location.display_name,location.area,contract_time,contract_type
98419.66,Construction Project Manager with Security Clearance,5795676750,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3Njc1MCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.poI7StC-ESz6YY2L68pq16UPLv9-q6awJqU0Yr4-sW4,-86.686621,98419.66,1,https://www.adzuna.com/land/ad/5795676750?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=4DDD5D0880866E5D99BC5995C6F5005160968CC1,Adzuna::API::Response::Job,34.761179,2026-07-10T11:23:18Z,"What You Will Do: The Construction Program Manager shall support the Federal Client's related projects, to include but not limited to: construction, design/build, architecture and engineering, space management, facilities management, real estate, and leasing of large and complex construction projects. The general responsibilities of the Construction Project Manager are as follows, to include but not limited to: • As required, provides on-site construction management oversight during mobilizatio…",Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Company,Anonymous Employer,Adzuna::API::Response::Location,"Madison, Madison County","['US', 'Alabama', 'Madison County', 'Madison']",,
112417.87,Technical Project Manager,5795674600,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NDYwMCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.Q2wgpCnAo3YjPpdBk2QhNUlaH8SluSPZkSqg6OblMW8,-112.0772,112417.87,1,https://www.adzuna.com/land/ad/5795674600?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=36F0CDADC3E4CFE1173D43E006F0F3BA8B625D4A,Adzuna::API::Response::Job,33.449188,2026-07-10T11:23:03Z,Role: Technical Project Manager (TPM) Key Responsibilities: Conduct daily stand-up meetings with development teams to track progress and remove roadblocks. Collaborate with stakeholders to gather feedback and align project priorities. Analyze project performance metrics and optimize project plans. Prioritize and manage the product backlog based on business needs and user feedback. Required Skills: Experience in the Banking/Payments domain. Strong understanding of software development processes …,Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Purple Drive Technologies LLC,Adzuna::API::Response::Location,"Phoenix, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Phoenix']",,
80291.95,SAP MDG Consultant,5795674631,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0NjMxIn0.hzZEDs8xeochfCuNLQQJQh54P91f_Zkt0CxYRVB3iqg,-94.923592,80291.95,1,https://www.adzuna.com/land/ad/5795674631?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=D9E59C0344F3F4786A7D865BF6D08AAC121B218F,Adzuna::API::Response::Job,29.395255,2026-07-10T11:23:03Z,"Job Title: SAP MDG Consultant Work Location & Reporting Address: Texas City, TX 77590 (Hybrid) Can also work from any of the client s hubs / Delivery centers Contract duration: 8 months Interview Process: Video interview, but the selected candidate will need to have physical verification from any of the client s hub / Delivery centers Job Details: Minimum years of experience required: 5-8 years Must Have Skills: SAP MDG Technical SAP ABAP S/4 HANA Detailed Job Description: Overall, 5 8 years of…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,"Epic Systems, Inc,",Adzuna::API::Response::Location,"Texas City, Galveston County","['US', 'Texas', 'Galveston County', 'Texas City']",,
151138.94,Front-End UI Developer / Accessibility Expert - REMOTE,5795674567,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0NTY3In0.KnKRPC4IL3dOWKRtwGMZQ8Yvg-beYZHT49DC_JDYppg,,151138.94,1,https://www.adzuna.com/land/ad/5795674567?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=457CA50CB28FC8A127ABF68EBEDFA7B3C7FD2F7B,Adzuna::API::Response::Job,,2026-07-10T11:23:03Z,"Job Description: Crop to Crop resumes are accepted The Department of Management (DOM) Division of Information Technology (DoIT) is seeking a highly skilled, communication-focused UI Developer / Accessibility Expert to join our digital modernization team. We are looking for a dedicated front-end specialist who will focus entirely on user interfaces and accessibility, rather than a backend or full-stack developer role. In this position, you will closely collaborate with our lead UX Architect and …",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,"Chandra Technologies, Inc.",Adzuna::API::Response::Location,US,['US'],,
143501.08,"Lead Data Engineer (AWS, Snowflake, Python, AI/LLM)",5795674537,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0NTM3In0.GJyHMV0yBvqpYNdBs_UwPVEM6-Oo6h0ZwPu5u4IZVQ4,-87.8849,143501.08,1,https://www.adzuna.com/land/ad/5795674537?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=1421EF0C098D6CB294D1D3A309C06733F877BBCE,Adzuna::API::Response::Job,41.9613,2026-07-10T11:23:03Z,"Lead Data Engineer – AWS | Chicago, IL (Hybrid: Tue–Thu Onsite) Salary: $175K–$200K  Benefits We're hiring a Lead Data Engineer to design and build scalable cloud-based data platforms and AI-powered data solutions. This is a hands-on technical leadership role where you'll drive architecture, mentor engineers, and develop enterprise-grade data pipelines on AWS. Required Skills: 10 years of Data Engineering experience Strong AWS experience (must-have) Expert in Python & SQL Snowflake (Cortex AI i…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Finoit Inc.,Adzuna::API::Response::Location,"Schiller Park, Cook County","['US', 'Illinois', 'Cook County', 'Schiller Park']",,
106251.13,Project Manager,5795674538,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0NTM4In0.Xchn7B_lawx_WiAnnsU5C4klU3EnopUwLVocShoHzIU,-121.9221,106251.13,1,https://www.adzuna.com/land/ad/5795674538?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=B02E91A7846F270AE2E3FA3BA6D821AE06F2A1CF,Adzuna::API::Response::Job,37.3063,2026-07-10T11:23:03Z,"We are looking for Project Manager for our client in San Jose, CA . Job Title: Project Manager Job Location: San Jose, CA Job Type: Contract Job Overview: Pay Range: $60hr - $65hr Requirement/Must Have: 10 years experience in Program Management. 5 years experience in MS Dynamics. 5 years experience in Salesforce CRM. 5 years experience in Marketing & Lead to Opportunity. 10 years experience working with Stakeholders. Responsibilities: Build a project timeline and partner with BCDD Leadership, P…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Cynet Systems,Adzuna::API::Response::Location,"Campbell, Santa Clara County","['US', 'California', 'Santa Clara County', 'Campbell']",,
114300.2,Java AWS Developer,5795674238,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NDIzOCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.upJ_cFodH9rVsPrLhO0X4-K577NTfOsurwklHHAzJFY,-96.69858,114300.2,1,https://www.adzuna.com/land/ad/5795674238?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=696914892E607C496FE5853F799FF110D66E7A74,Adzuna::API::Response::Job,33.0234,2026-07-10T11:23:01Z,"Job Title: Senior Java AWS Developer Location: Plano, TX (Day 1 Onsite) Interview: Client - Face-to-Face (Mandatory) Duration: Long Term Rate: $60 65/hr C2C Job Description We are seeking a Senior Java AWS Developer with strong expertise in Java, Spring Boot, Microservices, and AWS Cloud. The ideal candidate should have hands-on experience designing, developing, deploying, and supporting cloud-native Java applications on AWS. Candidates must be comfortable discussing AWS architecture, deploymen…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,"Alltech Consulting Services, Inc.",Adzuna::API::Response::Location,"Plano, Collin County","['US', 'Texas', 'Collin County', 'Plano']",,
89656.32,Oracle OCI Cloud Engineer,5795674265,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0MjY1In0.w7fPYWiBGOIQ3i5S2F0I0iEI_75vvIQUkHGxVNsJzDU,-77.45,89656.32,1,https://www.adzuna.com/land/ad/5795674265?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=1185A2BBDEAEFB21CA29C1A4BAA21FFA3002E158,Adzuna::API::Response::Job,37.56,2026-07-10T11:23:01Z,"We are looking for Oracle OCI Cloud Engineer for our client in Richmond, VA Job Title: Oracle OCI Cloud Engineer Job Location: Richmond, VA Job Type: Contract Job Overview: Requirement/Must Have: 10 years of hands-on experience with Oracle Cloud Infrastructure (OCI) and related technologies. Oracle Application Express 18 and higher (APEX). Oracle Rest Data Services 22 and higher (ORDS). Oracle WebLogic Server 14 (both fusion middleware and weblogic suite). Oracle Database 19c and 26ai. Containe…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Cynet Systems,Adzuna::API::Response::Location,"Richmond, Richmond County","['US', 'Virginia', 'Richmond County', 'Richmond']",,
58519.74,QA and Automation Analyst,5795674287,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NDI4NyIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.tBeI5mJfLMCo72fDJgwlDP45-OE30FfzNIt6_ZKTdtY,-118.130565,58519.74,1,https://www.adzuna.com/land/ad/5795674287?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=C7A746249B828D7B455470CA4B363850E32D99D4,Adzuna::API::Response::Job,34.046833,2026-07-10T11:23:01Z,"At-a-Glance: Are you ready to build your career by joining a leading global provider of product engineering and semiconductor design services? If so, our client is hiring a QA and Automation Analyst. Position Type: Contract Hybrid - 3 days - specific days in the office are subject to change. Required: Bachelor''s degree. 5 years of experience in software quality assurance or a related field. Strong understanding of QA methodologies, tools, and processes. Experience writing and executing test ca…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,"Hired by Matrix, Inc.",Adzuna::API::Response::Location,"Monterey Park, Los Angeles County","['US', 'California', 'Los Angeles County', 'Monterey Park']",,
157996.83,Business Intelligence lead,5795674219,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0MjE5In0.RLtCGzOSsvNwwGSvHGkK2sOY9uf81yAPj_633jF_FSU,-73.80007,157996.83,1,https://www.adzuna.com/land/ad/5795674219?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=773CEFCA31DFC790D8FDDA0FC7A13CAF707942BB,Adzuna::API::Response::Job,42.64469,2026-07-10T11:23:01Z,"Hiring ! Contract to Hire, remote based, Lead BI Engineer to help build a team to support the financial and sales sectors of our client. The candidate will support financial data and reports in PowerBI. (sponsorship is not available - W2 candidates). We are seeking a highly motivated Lead Business Intelligence Engineer to lead the development of enterprise reporting, analytics, and data solutions across a global organization. This role combines technical leadership with hands-on development and…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Vega Consulting Solutions,Adzuna::API::Response::Location,"Elsmere, Albany County","['US', 'New York', 'Albany County', 'Elsmere']",,
121143.6,Solumina L2 Support Engineer,5795674250,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc0MjUwIn0.gyk11F72SB_rlXWnq7cZcd6PJbEe0jiJcLgCeLCdxh0,,121143.6,1,https://www.adzuna.com/land/ad/5795674250?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=0B7F58ECAEFAC0EC7E0522E3815E959ACB5CFEB3,Adzuna::API::Response::Job,,2026-07-10T11:23:01Z,"Role: Solumina L2 Support Engineer Location: Cincinnati, Ohio (Remote) Note: Mandatory skills are Solumina MES iSeries (i090 to i120), MES and SQM. Role Overview: The Solumina L2 Support Specialist will focus on operational support and system sustainment activities for existing Solumina implementations. This role ensures system stability, manages upgrades, and resolves operational issues to maintain high availability and performance. Unlike implementation-focused roles, this position emphasizes…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Adbakx LLC,Adzuna::API::Response::Location,US,['US'],,
142469.64,"Need JET Identity Engineer (IAM Engineer) - Tampa, FL -/ OPT / L2s - W2 / 1099",5795674260,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NDI2MCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.MdszdbfAO4JQfd2XQynF1fJpXgIUeosu-vmgHxP_brw,-82.36277,142469.64,1,https://www.adzuna.com/land/ad/5795674260?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=691E62C41E8BDCE8EA0FDE4272CC469C88566E08,Adzuna::API::Response::Job,28.1164,2026-07-10T11:23:01Z,"Job Title: JET Identity Engineer (IAM Engineer) Function: JET Identity Primary Skillset: Google Cloud Platform, Java full Stack Secondary Skillset: IAM, ADFS, SSO, Service Integration Job Summary We are looking for a JET Identity professional with strong experience in Google Cloud Platform and Java Full Stack development to support identity, access, and application integration initiatives. This role will focus on designing and developing secure identity-enabled applications and services, integr…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Radiantze,Adzuna::API::Response::Location,"Tampa Palms, Hillsborough County","['US', 'Florida', 'Hillsborough County', 'Tampa Palms']",,
148224.98,"Access Management (Entra ID, Plain ID)",5795674303,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NDMwMyIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.l0AekUREFcSnxkXhy9M1RV0QAgIbRYgYDFRzvam89yg,-76.990882,148224.98,1,https://www.adzuna.com/land/ad/5795674303?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=2D07874C58CBAD0330B969C6061F063B8F8BCAB7,Adzuna::API::Response::Job,38.903862,2026-07-10T11:23:01Z,"Access Management (EntraID, PlainID) Washington DC- Onsite CITDE (Data & Engineering) is looking for a Cloud Architect to perform, but not limited to, the following detailed scope of work. · Architect and design enterprise access management and data privacy solutions. · Develop and maintain architectural documentation, reference diagrams, process models, and runbooks. · Design and implement Policy-Based Access Control frameworks such as PBAC, ABAC and RBAC using technologies like PlainID and En…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Arnex Solutions LLC,Adzuna::API::Response::Location,"Mount Rainier, Prince George's County","['US', 'Maryland', ""Prince George's County"", 'Mount Rainier']",,
