salary_max,id,latitude,adref,salary_min,longitude,description,title,__CLASS__,salary_is_predicted,redirect_url,created,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time,contract_type
34926.94,5733258818,38.731474,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4ODE4In0.xrHO7IfCd31CnVDy47ZfViZaY8jKqLtL2Q5i939HigY,34926.94,-88.080588,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258818?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=096496FC9210E2F8DA55C0EEF1CD2DE7D74763BE,2026-05-18T12:26:02Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Olney, Richland County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Richland County', 'Olney']",,
39692.39,5733258792,39.7391,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODc5MiIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.v5XdngP-wyXKq1sM3uebiT4G0qDVej4mNFDqrJmLO3k,39692.39,-84.655364,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258792?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=6D63B9C83CB1B433F0517B43C98642F96DD8D141,2026-05-18T12:26:01Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Eaton, Preble County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Preble County', 'Eaton']",,
37460.35,5733258752,42.48195,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODc1MiIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.wSLihpVtqZmaFyfe5JSYPiyuwPyKBFPFka8OObauNA4,37460.35,-83.167397,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258752?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=FBB61DA61C385C3E190615E303C99D569E6CC5EC,2026-05-18T12:26:01Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Huntington Woods, Oakland County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Oakland County', 'Huntington Woods']",,
43801.77,5733258719,41.639654,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4NzE5In0.R3VGbXfBB4ZY-KdGg06WfOG0MT0zgXyAr3-lbL_A0iw,43801.77,-88.632034,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258719?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=F7BD4FBE2010382C3350FB16821D8FB5002D637F,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Sandwich, DeKalb County",Adzuna::API::Response::Location,"['US', 'Illinois', 'DeKalb County', 'Sandwich']",,
37967.15,5733258707,41.534549,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODcwNyIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.b1iyVoQiNf7fHyhuSA8qPKJUOvlpU9LfmULvmxDITJM,37967.15,-81.341435,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258707?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=14B9C25279CC5E8AE111D711D90F8F779A598454,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Chesterland, Geauga County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Geauga County', 'Chesterland']",,
36252.01,5733258711,40.340927,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4NzExIn0.jRDQCg19v5VBDH86dBSRBBTzGEbOJcMGUsMUd9dXC20,36252.01,-83.413146,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258711?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=D89770E59FEDF7E358BF4C67735C897CB9BB94A8,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Broadway, Union County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Union County', 'Broadway']",,
40305.0,5733258701,40.034196,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4NzAxIn0.9Ur6oKLTbzx3BUmo97zUCCpJnc08VmyFRj340tQ_zD4,40305.0,-88.571326,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258701?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=3603BE1503D8D0CCBF8AA9F31E253843DE159AA3,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Monticello, Piatt County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Piatt County', 'Monticello']",,
36313.7,5733258703,41.607241,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODcwMyIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.97A-y0dCcZtW5QlwKPXAeexDpJDMEoEG8SBbby0NZH4,36313.7,-75.11044,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258703?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=C1ACFBD5C9F27341F4EB591E30EFDB0AF1E707DA,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Beach Lake, Wayne County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Wayne County', 'Beach Lake']",,
41809.61,5733258735,38.421921,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODczNSIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.mpw42pZupNpxkKQvwuaCqc9WKVtZk0OoTVFOC4CfY0s,41809.61,-87.787837,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258735?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=2601B76A8252D56DC8CB523B3E2AFA9CEECBADC5,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Mount Carmel, Wabash County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Wabash County', 'Mount Carmel']",,
43520.12,5733258730,38.629091,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODczMCIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.-CNEVdcpLRfPjNul3jAG8Gxkpf6Y9x_DsTDtpZ-RzfQ,43520.12,-88.946642,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258730?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=676AE57DD3002F7FBE6EC57FC138A8180B647D52,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Salem, Marion County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Marion County', 'Salem']",,
39375.06,5733258715,42.27036,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4NzE1In0.FvdRTBwTJTpRdYm7-daE2OPOw1pf62a-T1mci187j9U,39375.06,-83.13852,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258715?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=FFA72690A8B4D4FDD56894CEDE0ACFFC08A15ACF,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"River Rouge, Wayne County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Wayne County', 'River Rouge']",,
51766.17,5733258718,38.03196,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODcxOCIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.aDRZwAb0Z7xtx6FeMq6Xb6i1HEtc2qVolON1wmzO9lo,51766.17,-88.95876,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258718?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=6E15B9D5E241472A729CDFD176C5C5801A39D2A4,2026-05-18T12:26:00Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Rend, Franklin County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Franklin County', 'Rend']",,
38509.51,5733258670,42.591212,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODY3MCIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.9IDH44bGNZqdTmLTFj3kBLfuJUfjvsVHuaKLA5wPxSg,38509.51,-83.662147,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258670?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=1622867C40A7CC060833E9C03A81448A7D08901B,2026-05-18T12:25:59Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Milford, Oakland County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Oakland County', 'Milford']",,
