salary_is_predicted,redirect_url,id,salary_min,adref,longitude,description,__CLASS__,title,created,salary_max,latitude,contract_time,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,contract_type
1,https://www.adzuna.com/land/ad/5695703138?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=FBC53313E5D2140D3E737A4955AA462A52D6A403,5695703138,50323.1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzEzOCIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.xkWiA0JbrVmy-x6P4YvVt1QA10Ossw4xo5QVmK01VuU,-83.722687,"Earn at least $1940 driving with Uber when you complete your first 139 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 139 trips with Ub…",Adzuna::API::Response::Job,"Flexible $: Earn At Least $1940 For Your First 139 Trips, Guaranteed.",2026-04-10T10:14:00Z,50323.1,33.784374,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Monroe, Walton County","['US', 'Georgia', 'Walton County', 'Monroe']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703094?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=F003FFED518AA779286C019818761845C26DB556,5695703094,55891.61,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMDk0In0.f96LA1HJCj0pszyaatdWTXTYfCgGRJjIuwpghbsgTg0,-84.177957,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Driver - Cash out with Instant Pay,2026-04-10T10:13:49Z,55891.61,33.760154,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Stone Mountain, DeKalb County","['US', 'Georgia', 'DeKalb County', 'Stone Mountain']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/details/5695701958?utm_medium=api&utm_source=abfa41a4,5695701958,128340.68,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMTk1OCIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.pMO5KHVm1qEhnoLm33xpY1iE9frr_rehK0FmYgJoGgg,-104.238604,"What Role You Will Play On Our Team The construction or field engineer is a field or above field assignment and is primarily an individual contributor within the Project Management Job Family. Primary contributions include in depth evaluations for construction problem solving as well as an integration role between the construction superintendent/foreman and the construction leadership as well as engineering, quality, materials management, and system completion disciplines. What You Will Do Deve…",Adzuna::API::Response::Job,Construction Engineer,2026-04-10T10:12:15Z,128340.68,32.409341,,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,Adzuna::API::Response::Location,"Carlsbad, Eddy County","['US', 'New Mexico', 'Eddy County', 'Carlsbad']",Adzuna::API::Response::Company,Exxon Mobil,
1,https://www.adzuna.com/details/5695701956?utm_medium=api&utm_source=abfa41a4,5695701956,66911.3,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMTk1NiIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.yGISloY0chjoqt2K3vomaMYTf_92pR9C9MrPlFQqHlQ,-94.974427,"About us At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for. The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our stra…",Adzuna::API::Response::Job,Sr. Customer & Application Development Engineer - Reaction Injection Molding (RIM),2026-04-10T10:12:05Z,66911.3,29.739126,,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,Adzuna::API::Response::Location,"Garth, Harris County","['US', 'Texas', 'Harris County', 'Garth']",Adzuna::API::Response::Company,Exxon Mobil,
1,https://www.adzuna.com/details/5695700920?utm_medium=api&utm_source=abfa41a4,5695700920,97493.89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMDkyMCIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.EA2MxX8mll6wQfFy-vyQnYd7YVRMZAHdwNeYlMiLNUw,,"About us At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for. The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our stra…",Adzuna::API::Response::Job,"GenAI Data Scientist, Commercial, Supply Chain & Trading",2026-04-10T10:08:57Z,97493.89,,,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"Houston, Harris County","['US', 'Texas', 'Harris County', 'Houston']",Adzuna::API::Response::Company,Exxon Mobil,
1,https://www.adzuna.com/land/ad/5695700753?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=858F6E55C52018DF6E152452E6FA84773B17C658,5695700753,67646.13,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMDc1MyIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.LCHKKmPEW_1eN9_ZKIEgnpAkqR0-Y5xdaKBCUVB-Pz8,-73.1208,"Position Summary The School Bus Driver is responsible for safely operating a school bus according to an assigned daily schedule while ensuring the vehicle is maintained in proper operating condition at all times. This role includes the safe pickup and drop-off of students, maintaining order and security on the bus, and complying with all applicable laws, regulations, and company policies. Free CDL training is available for qualified candidates. Salary Range: $28.20 – $33.39 per hour Schedule: F…",Adzuna::API::Response::Job,School Bus Driver (Ronkonkoma),2026-04-10T10:01:38Z,67646.13,40.81812,part_time,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,Adzuna::API::Response::Location,"Lake Ronkonkoma Heights, Suffolk County","['US', 'New York', 'Suffolk County', 'Lake Ronkonkoma Heights']",Adzuna::API::Response::Company,"Suffolk Transportation Service, Inc.",
1,https://www.adzuna.com/land/ad/5695700749?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=BC8C1D351B007ABA61685404E0A3BA315842F05C,5695700749,191723.38,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAwNzQ5In0.l2NapND0asokGl_TLtKWShOp7cHMBtFlX0VcW1NfmUs,-75.16362,"Licensed Marriage and Family Therapist LMFT  Requires Active License in New Jersey Are you passionate about working with an underserved and rewarding population? Looking for a clinical role without the administrative burden, and one that offers real work-life balance? If so, read on and apply today! Senior Care Therapy is seeking full-time or part-time Licensed Marriage and Family Therapists to join our mission of providing in-person psychotherapy services to the geriatric population. We curren…",Adzuna::API::Response::Job,Licensed Marriage and Family Therapist Licensed in NJ (East Stroudsburg),2026-04-10T10:01:38Z,191723.38,41.06598,part_time,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Analomink, Monroe County","['US', 'Pennsylvania', 'Monroe County', 'Analomink']",Adzuna::API::Response::Company,SENIOR CARE THERAPY,
1,https://www.adzuna.com/land/ad/5695700763?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=E0039DD4E50E0C1C8FBF0565AED897359E05BC2A,5695700763,32750.55,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAwNzYzIn0._1etLbCbdOj4HAWJRpU0runsdOYW_zGJrco3APjo0io,-83.981955,"Counselor (HS/Equivalent or Bachelor's) Knox, Blount, & Anderson Now Hiring: Counselors, Advocates, Peer Support Specialists, and Residential Counselors Location: Knox, Blount, & Anderson Counties, Tennessee Start Your Career with Purpose – Join the McNabb Center Today! Are you ready to make a real difference? The McNabb Center is actively hiring passionate and dedicated professionals to join our mission of “Improving the lives of the people we serve.” With multiple positions available across E…",Adzuna::API::Response::Job,"Counselor (HS/Equivalent or Bachelor's) Knox, Blount, & Anderson (Knoxville)",2026-04-10T10:01:38Z,32750.55,36.006301,part_time,Social work Jobs,Adzuna::API::Response::Category,social-work-jobs,Adzuna::API::Response::Location,"Lonsdale, Knox County","['US', 'Tennessee', 'Knox County', 'Lonsdale']",Adzuna::API::Response::Company,Helen Ross McNabb Center,
1,https://www.adzuna.com/land/ad/5695700764?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=7DD637D80CC81C530F0A9134BD705D5381942D26,5695700764,54389.11,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMDc2NCIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.eLR-crdBjnmvOiF1HDAH0YvRu4uzhklw7qEYaHYljOI,-119.742822,"Position Title: Automotive Car Wash / Detail Technician Location: Santa Barbara, CA 93105 Description Santa Barbara Auto Group represents eight luxury automotive franchises in Santa Barbara. We are currently seeking a motivated individual to join our Car Wash & Detail Department , ensuring customer vehicles are cleaned and maintained to the highest professional standards in a timely manner. Qualifications Bilingual in English and Spanish Ability to multi-task in a fast-paced environment Comfort…",Adzuna::API::Response::Job,Automotive Car Wash / Detail Technician (Santa Barbara),2026-04-10T10:01:38Z,54389.11,34.446925,part_time,Other/General Jobs,Adzuna::API::Response::Category,other-general-jobs,Adzuna::API::Response::Location,"Santa Barbara, Santa Barbara County","['US', 'California', 'Santa Barbara County', 'Santa Barbara']",Adzuna::API::Response::Company,Santa Barbara Auto Group,
1,https://www.adzuna.com/land/ad/5695700751?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=0EB4A477E615E1C5FE769914A239BD20FFD80BDD,5695700751,29906.87,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAwNzUxIn0.w-Z_GbvyDCRTfGCbvU56vWPFGNz3hbonS3c81QY69TU,-95.937756,"Description: JOB SUMMARY: Responsible to serve as a support person to all individuals receiving services by Home of Hope Inc. This support is given in a variety of areas; daily living skills, leisure activities, personal hygiene skills, vocational skills, individual rights and responsibility training, social skills, human relations, transportation, etc. ESSENTIAL JOB FUNCTIONS: Train, guide or assist in personal hygiene, clothing care, mobility, taking medications, managing money, meal planning…",Adzuna::API::Response::Job,HTS/Direct Support Professional FLOATER (Tulsa),2026-04-10T10:01:38Z,29906.87,36.060489,part_time,Social work Jobs,Adzuna::API::Response::Category,social-work-jobs,Adzuna::API::Response::Location,"Jenks, Tulsa County","['US', 'Oklahoma', 'Tulsa County', 'Jenks']",Adzuna::API::Response::Company,HOME OF HOPE,
1,https://www.adzuna.com/land/ad/5695700756?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=92266AF3E8343837BF93A004B1857344A48FF548,5695700756,71308.33,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAwNzU2In0.3AdWx4IPiPfJZHxXZMDY2k4X0HH9SUXGNu_fflhDVTo,-104.7774,"Occupational Therapist Assistant OTA – Home Health Aveanna’s highly skilled pediatric therapy team provides our patients a full range of care to help them make the most of their care or recovery. We offer our industry-leading pediatric therapy for kids of all ages in multiple settings. We match our therapists to their patients based on medical condition, age, location, and acuity level. Our local office is looking for a compassionate OTA in the following area who would like to make a positive a…",Adzuna::API::Response::Job,Occupational Therapy Assistant (OTA) (Hiring Immediately),2026-04-10T10:01:38Z,71308.33,40.39176,full_time,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Evans, Weld County","['US', 'Colorado', 'Weld County', 'Evans']",Adzuna::API::Response::Company,Aveanna Healthcare,
1,https://www.adzuna.com/land/ad/5695700761?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=8D6DAD3D4EF5C9D91A11F19296C826CB7513481E,5695700761,50152.73,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMDc2MSIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.lJALclnkUsDMK7urhYVCbe3EGpPaTJTSsX11pvytML8,-81.171876,"Dedicated truck driver - Target Average pay: $960-$1,170 weekly Home time: Multiple Times Per Week Experience: All CDL holders Overview Hauling retail freight on dry van trailers. 100% no-touch and 92% drop-and-hook freight. 3-5 loads per week. Drive within GA, MD, NC, TN and VA. Pay and bonus potential Mileage pay, plus hourly pay while on duty, not driving. Weekly performance pay. $4,000 sign-on bonus paid over 12 monthly payments in your first year for experienced drivers. $2,000 sign-on bon…",Adzuna::API::Response::Job,CDL-A - Dedicated truck driver - Target (Wilkesboro),2026-04-10T10:01:38Z,50152.73,36.136942,part_time,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,Adzuna::API::Response::Location,"Goshen, Wilkes County","['US', 'North Carolina', 'Wilkes County', 'Goshen']",Adzuna::API::Response::Company,Schneider,
1,https://www.adzuna.com/land/ad/5695700755?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=BA3F4D2D666FD9A5E8882E043B034167A4FA2346,5695700755,63575.18,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMDc1NSIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.ZNoXCaTUqKvOgJ3hHZjQDZKA7mpm7a-TzV3IeDfrONM,-81.223436,"Join a Company That Puts People First! Licensed Practical / Vocational Nurse – LPN/LVN Schedule: Monday-Thursday 9:00am-5:00pm Location/Setting: Rincon Age Range: PreTeen Acuity: Low, Gtube Award-Winning Culture Indeed’s Work Wellbeing Top 100 Company in 2024 Best Company for Work-Life Balance, Happiest Employees and Culture and Best CEO in 2024, as ranked by Comparably Why Join Us? Health, Dental, Vision and Company-Paid Life Insurance Paid Time Off Available Flexible scheduling- full-time, pa…",Adzuna::API::Response::Job,In Home Nursing LPN - PreTeen Gtube (Hiring Immediately),2026-04-10T10:01:38Z,63575.18,32.285746,part_time,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Rincon, Effingham County","['US', 'Georgia', 'Effingham County', 'Rincon']",Adzuna::API::Response::Company,Aveanna Healthcare,
1,https://www.adzuna.com/land/ad/5695700758?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=F0B9B0140FD48A3C7C9A93F5969DD6F5451E5048,5695700758,111344.91,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAwNzU4In0.irQhHbdoHJpF7ZdeCtr_sRYCftTqEy1GlRNk8BLzWCw,-92.586,Department: LR-Home Health Shift: Weekend Option Working Hours: Weekends Summary: Provides care for assigned patients under the direction of a RN. Functions as a resource to other staff Other Information: LPN with current Arkansas License. One year of clinical experience ( Cannot hire new graduate ). Current CPR certification. This job will be authorized 48.00 hours bi-weekly.,Adzuna::API::Response::Job,LPN - Outpatient Clinic (Hiring Immediately),2026-04-10T10:01:38Z,111344.91,34.782,part_time,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Northpoint, Pulaski County","['US', 'Arkansas', 'Pulaski County', 'Northpoint']",Adzuna::API::Response::Company,Baptist Health,
