title,description,salary_is_predicted,redirect_url,created,id,longitude,salary_max,latitude,salary_min,adref,__CLASS__,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
Desktop Support Technician,"Description The Desktop Support Technician is responsible for the physical deployment, installation, configuration, and documentation of IT equipment and end-user technology across healthcare facilities and new construction projects. This role serves as the hands-on resource that receives, stages, installs, activates, and supports technology devices while coordinating with project teams, engineering staff, warehouse personnel, and operational stakeholders to ensure successful technology deploym…",1,https://www.adzuna.com/land/ad/5819884500?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=EE5129BD2EF1499B81932ED4833EF9C4D6D37E31,2026-07-29T11:29:02Z,5819884500,-86.158056,72248.25,39.768333,72248.25,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUwMCIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.NTf5CoHeS5zRWwBQtMKaD4S13ykVfWTkcGA-6Lt-1aY,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Indiana', 'Marion County', 'West Indianapolis']","West Indianapolis, Marion County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Network Administrator,"Description Seize your opportunity to make a personal impact as a Network Administrator supporting the network infrastructure for LAN/WAN services at the National Institutes of Health (NIH) on behalf of the Center for Information Technology (CIT). GDIT is your place to make meaningful contributions to challenging projects and grow a rewarding career. At GDIT, people are our differentiator. As a Network Administrator you will help ensure today is safe and tomorrow is smarter. Our work depends on…",1,https://www.adzuna.com/land/ad/5819884494?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=DB1A5F6FA0A2023D51BBDA0BEE30EB47D2454061,2026-07-29T11:29:02Z,5819884494,-77.1,114171.31,38.98,114171.31,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NDk0In0.FCBn7TPPv8Z0MF9aRQTMDJT9w2UmoerCWZhhdfLxrAs,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Maryland', 'Montgomery County', 'West Bethesda']","West Bethesda, Montgomery County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
REMOTE - GIS Application Support Specialist,"Our client is searching for an Application Support Specialist that has experience supporting GIS for a remote position. All candidates must have some experience with GIS and any experience with Esri is highly desired. Description Provides Help Desk support to end users helping users to navigate and troubleshoot software issues, new/unfamiliar processes, and tools. Facilitates the interaction between clients and technology providers (internal and external), working closely with technical resourc…",1,https://www.adzuna.com/land/ad/5819884513?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=52C406A4AD265E705AAD59A61C4941B6C32A3FB0,2026-07-29T11:29:02Z,5819884513,-96.765058,86180.05,32.760168,86180.05,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUxMyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.hDyzfpGig2BeAo7ySVcPVIsiQlTwQ12QvxlsZfA3AJw,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Highland Park']","Highland Park, Dallas",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Mortgage Assistant (Funder),"Mortgage Loan Funder This is an entry level opportunity to get your foot in the door with a Fortune 100 Financial Institution! Job Description: You'll be the last set of eyes before funds are released. That means reviewing documents, verifying details, and making sure everything is accurate so loans can close smoothly and on time. Review closing packages and catch missing or incorrect details Verify wire instructions and help protect against fraud Process funding for purchase and refinance loan…",1,https://www.adzuna.com/land/ad/5819884499?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=FECC5CCA505E07424E01359750CEBC9800EFCC4C,2026-07-29T11:29:02Z,5819884499,-87.226997,44717.16,30.423724,44717.16,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NDk5In0.p1SduDnW8dM0srDqEmmAEKaUUQQ8ha43-_DtaucEBz0,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Florida', 'Escambia County', 'Pensacola']","Pensacola, Escambia County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Oracle Cloud Solution Architect - Finance,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you'd like, where you'll be supported and inspired by a collaborative community of colleagues around the world, and where you'll be able to reimagine what's possible. Join us and help the world's leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Job Description The Oracle Cloud Financials Functional Lead provides end-to-end solutions that…",1,https://www.adzuna.com/land/ad/5819884509?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=7DFD30854110C7433D32CCE59C54CBBEACE7EE2B,2026-07-29T11:29:02Z,5819884509,-89.15483,114769.23,39.863792,114769.23,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUwOSIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.AkyRmfKP3G3BxKD6_5550G9nNY5BbQyX6o1KB79yRKA,Adzuna::API::Response::Job,"Capgemini America, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois']","Illinois, US",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
IT Service Desk Analyst,"Overview We are seeking an IT Service Desk Analyst to provide first-level technical support for end users across a global organization. This role serves as the primary point of contact for employees experiencing IT-related issues and is responsible for delivering exceptional customer service via phone, email, and chat. This position is an excellent opportunity for an entry-level IT professional to gain hands-on experience supporting enterprise technologies within a large, global environment. Ca…",1,https://www.adzuna.com/land/ad/5819884506?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=C86EB8F3C8ACA28AB96466361302264A1E10AFA6,2026-07-29T11:29:02Z,5819884506,-88.538798,54749.81,44.038979,54749.81,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NTA2In0.vNfEJzv_AGDO9qE8GdKeJ1JQXzIZtgw-fj8bvVISUM0,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Winnebago County', 'Oshkosh']","Oshkosh, Winnebago County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Customer Experience (CX) Practice Lead - Google Cloud (Gemini Enterprise),"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you'd like, where you'll be supported and inspired by a collaborative community of colleagues around the world, and where you'll be able to reimagine what's possible. Join us and help the world's leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Location This is a hybrid role based in one of the preferred locations - Atlanta, GA / New Yor…",1,https://www.adzuna.com/land/ad/5819884493?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=4D197E670A19C3972F93F2747638F7ECFBDE82E5,2026-07-29T11:29:02Z,5819884493,-89.15483,112952.83,39.863792,112952.83,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ5MyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0._dmeRciOyI1yH_dhPCZsWGS5TAWUCdmQFoJLmSUuaH8,Adzuna::API::Response::Job,"Capgemini America, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois']","Illinois, US",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Machine Learning Engineer,"TEKsystems is seeking a Machine Learning Engineer to support one of our major customers that sits in Chicago. THIS IS 100% REMOTE and LONG TERM. Top 3-5 Skills - Strong engineering foundation. - Ability to understand the problem. - Ability to approach problems systematically. - Ability to learn new technologies on the job. - Some experience with ML technologies, particularly from an engineering perspective. - Will be using existing models to create software services, not writing research papers…",1,https://www.adzuna.com/land/ad/5819884473?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=A48E7E9CA0FE0C8A15ECEC45546A002280D5C04B,2026-07-29T11:29:01Z,5819884473,-87.8849,117565.09,41.9613,117565.09,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ3MyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.fzPLSB2hsfJ8cCKTNDiqTifCUYW1KK7qGDM-8jc5F14,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']","Schiller Park, Cook County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Manufacturing Engineer - CNC (Edwards Vacuum) 1,"Location & Compensation Buffalo, NY * Be part of an exciting journey as we prepare for production at our new facility in the Western New York Science & Technology Advanced Manufacturing Park (STAMP). Edwards Genesee location address: 6685 Crosby Rd Basom, NY 14013 Salary Range : $60,000 - 87,000 Compensation may vary outside of this range depending on several factors, including a candidate's qualifications, skills, competencies, experience, and location. Your role The Manufacturing Engineer - C…",1,https://www.adzuna.com/land/ad/5819884488?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=55C496FC09A7706FA20390BCB392F9B8E18FB145,2026-07-29T11:29:01Z,5819884488,-78.8264,55881.21,42.8849,55881.21,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ4OCIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.SNuPLTGD9DEp8alCBt-CFejFCAGWTt8RNmO7I3S9stQ,Adzuna::API::Response::Job,Atlas Copco Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New York', 'Erie County', 'Cheektowaga']","Cheektowaga, Erie County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,,
Health Data Services Operations & Strategy Director,"Role: Health Data Services Operations & Strategy Director Location: San Francisco, CA (Hybrid – Minimum 6 days/month onsite) Duration: 6 Months Summary: The Client is seeking a Health Data Services Operations & Strategy Director to lead enterprise healthcare analytics, digital health initiatives, and data-driven transformation. The Director will oversee analytics strategy, enterprise reporting, dashboards, data governance, EHR integration, and digital health programs while managing a multidisci…",1,https://www.adzuna.com/land/ad/5819884471?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=53A9694ACE1F765AA4D806021E47C96BC6CD7C15,2026-07-29T11:29:01Z,5819884471,-122.4183,134500.64,37.775,134500.64,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ3MSIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.WAQfj_hg46zM1Vp6XVD8StJeOE0DJyODp_Ts6ULm04M,Adzuna::API::Response::Job,Triune Infomatics Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'San Francisco', 'Hayes Valley']","Hayes Valley, San Francisco",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
Cable Technician Trainee,"We are hiring ! DIRECTIONAL BORING OPERATORS CABLE TECHNICIAN TRAINEEs GENERAL LABORERS Trenching Directional Drilling Horizontal Drilling General Labor Installation Pipe Cabling Low Voltage Electric Copper Fiber Construction Indoor/Outdoor PAY RANGES $20 - $30/hr General Labor Helpers: $18 - $22/hr Cable Technicians: $20-24/hr Driller Operators: $25 - $30/hr JOB SUMMARY Directional Boring Operators, Cable Technicians and General Laborer's will work together to install underground utilities and…",1,https://www.adzuna.com/land/ad/5819884487?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=E76412CFC71C88EDE0E99B3286DBC8854370EDF7,2026-07-29T11:29:01Z,5819884487,-93.642525,61341.73,42.022675,61341.73,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ4NyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.kraUrmOn5nqJSf0AeAGeIRvNTCZukLelW8eA1L_xbdA,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Iowa', 'Story County', 'Ames']","Ames, Story County",Adzuna::API::Response::Category,Trade & Construction Jobs,trade-construction-jobs,,
Senior Technology Analyst,"Description A TEKsystems client is looking to hire a skilled technical analyst. This position has dual responsibility for the functional and data integrity of HR systems, and for utilizing statistical, reporting and data modeling software and techniques to develop insightful reports, presentations and analyses, develop predictive HR analytics and provide credible recommendations for leadership. Skills HCM, data manipulation, data modeling Top Skills Details HCM,data manipulation,data modeling A…",1,https://www.adzuna.com/land/ad/5819884491?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=39B69BC935794F2778E5BE10467EF07E79FDC6EC,2026-07-29T11:29:01Z,5819884491,-89.95656,111801.39,35.07032,111801.39,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NDkxIn0.wcarYTEqYwqfemPSgyeS6KaWyuzdYDEj4toWgY6aX0Y,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Shelby County', 'Cloverdale']","Cloverdale, Shelby County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Oracle Symphony - Integration Developer,"Oracle Symphony - Integration Developer Location: Bethesda, MD Work Environment: Hybrid - 4 days onsite, 1 day remote Experience Level: Expert Level Employment Type: Contract Position Overview We are seeking an experienced Integration Developer with hands-on experience in Oracle MICROS Simphony STS Gen 2 to build and maintain RESTful API integrations between digital ordering platforms and a cloud-based POS system. This role will support a large-scale POS modernization initiative focused on enab…",1,https://www.adzuna.com/land/ad/5819884478?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=72164185B4D453E7997C17345B66D75604F032B3,2026-07-29T11:29:01Z,5819884478,-77.1,102945.89,38.98,102945.89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ3OCIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.sykG0uAA_bo8h0CavfZhunG1-5hoP_zqpZcIpv8GlrI,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Maryland', 'Montgomery County', 'West Bethesda']","West Bethesda, Montgomery County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Software Engineer,"Description We are seeking Intermediate and Sr. Software Engineers to support a mission-critical national security program focused on advanced ground, space, and defense systems. This role offers the opportunity to contribute to technologies that support missile tracking, space domain awareness, intelligence operations, and strategic defense initiatives. As a member of a highly specialized engineering team, you will develop and maintain software that directly supports operational missions and d…",1,https://www.adzuna.com/land/ad/5819884480?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=6508E4FD422BA28787411C336D6A777C5CE258DB,2026-07-29T11:29:01Z,5819884480,-118.373359,147056.89,33.870212,147056.89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDQ4MCIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.zeANIdqFJxen8CqVyaPDyuEm2WsYhzdrkD5ZdiV3weY,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Lawndale']","Lawndale, Los Angeles County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
