contract_time,adref,id,salary_is_predicted,description,longitude,redirect_url,title,latitude,__CLASS__,created,salary_min,salary_max,location.__CLASS__,location.area,location.display_name,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,contract_type
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDE0In0.eOGUvHZk-ZYelR2SFOaxOw2e7c3na9xhwxYlSTV_uxc,5675215014,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-78.973703,https://www.adzuna.com/land/ad/5675215014?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=8F68E2A8A6071251E1F326DCBB08BC5C8222C783,Restaurant Delivery,34.811809,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,54249.91,54249.91,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Robeson County', 'Saint Pauls']","Saint Pauls, Robeson County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDE4In0.znj-OnSkYpHz7STOOABOebMysHFZOcQoDrvI4hU5Y-A,5675215018,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-111.749542,https://www.adzuna.com/land/ad/5675215018?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=7FB21FB9B95DA0BB5C30242B41D3B39316BA1ECD,Delivery Driver,32.936805,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,51992.77,51992.77,Adzuna::API::Response::Location,"['US', 'Arizona', 'Pinal County', 'Casa Grande']","Casa Grande, Pinal County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDI5In0.jO3wrG6_CJAybdYRoWsPpio5VP1WogGNqsniJPXDxT0,5675215029,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-89.798977,https://www.adzuna.com/land/ad/5675215029?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=F46E184F317E2CF25AE41D4852BA8F7FF79BBE7A,Drive with DoorDash - Flexible Schedule,35.209186,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,44369.09,44369.09,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Shelby County', 'Bartlett']","Bartlett, Shelby County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTAyMiIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.jYjijJKC9-ZekFkKJNbHIcyYnuRbPOCXXe5Z8_w6we4,5675215022,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-81.454844,https://www.adzuna.com/land/ad/5675215022?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=FAF7163F4B4777C928070532912DCC9CB14305F9,Drive with DoorDash - Be Your Own Boss,39.415352,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,47229.03,47229.03,Adzuna::API::Response::Location,"['US', 'Ohio', 'Washington County', 'Marietta']","Marietta, Washington County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTAwOSIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.YhrQyAkstjdgsR-EzaRIVcuQM5sPPCQD7zGgnSNmkKQ,5675215009,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-90.132031,https://www.adzuna.com/land/ad/5675215009?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=AA79FCED68FFD23A08570795A07006CF4B470139,Drive with DoorDash - Receive 100% of Customer Tips,32.274591,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,55104.91,55104.91,Adzuna::API::Response::Location,"['US', 'Mississippi', 'Rankin County', 'Pearl']","Pearl, Rankin County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE0OTU4In0.EcOUKbPwVIDXjxM1x4shAmicQ_dA2uuW5e1Aa4ampVw,5675214958,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-84.457722,https://www.adzuna.com/land/ad/5675214958?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=D0161EBA7C1A6C581C5C41A29558DDDF6C7DD1DD,Delivery Driver - Onboarding / Onboard,39.480891,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,59796.99,59796.99,Adzuna::API::Response::Location,"['US', 'Ohio', 'Butler County', 'Trenton']","Trenton, Butler County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE0OTk3In0.dixvDXV5q9d273kKxnJyVrDPDWzqStP1fygF-H9M8IQ,5675214997,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-71.066163,https://www.adzuna.com/land/ad/5675214997?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=03A0731E8FE07232DBB6A3143DB4AAED671A141E,Delivery Driver - Earn Extra Cash,42.458429,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,62470.69,62470.69,Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Middlesex County', 'Melrose']","Melrose, Middlesex County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTAwMSIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.GkDvkytmvjPxmqU9pO3Hn0cHKjLJu80A9BZ0E45wg7w,5675215001,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-97.363907,https://www.adzuna.com/land/ad/5675215001?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=7E16D36936D6CBBD46D5C00078E1ADABC09028DB,Driver - Pick-up and Deliver,32.860128,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,44010.04,44010.04,Adzuna::API::Response::Location,"['US', 'Texas', 'Tarrant County', 'Saginaw']","Saginaw, Tarrant County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNDk4NSIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.I5PQ1ztW_cinrkmDs2QxMEiEwie68b5UGKP6I1rb340,5675214985,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-91.77153,https://www.adzuna.com/land/ad/5675214985?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=88875746914DBC5A9BCDC42200BB5C03ADD128B5,DoorDash Shopper - Shop on Your Time,37.948544,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,52107.39,52107.39,Adzuna::API::Response::Location,"['US', 'Missouri', 'Phelps County', 'Rolla']","Rolla, Phelps County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNDk2MCIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.jkjd8vcoRwqD0qZeHrPlgHJ6y6gRWvxPUQM92NmjRfg,5675214960,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-83.005442,https://www.adzuna.com/land/ad/5675214960?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=DE5DED45BB2CFFE5A75C6CA30E4C126765EDE64A,DoorDash: Restaurant Delivery (Lead),36.407317,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,59219.27,59219.27,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Hawkins County', 'Rogersville']","Rogersville, Hawkins County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNDk5MyIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.T3WudccDwyBsiG3MXD6Jk-VD49QJEli1ES9mbaiZe_o,5675214993,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-82.233214,https://www.adzuna.com/land/ad/5675214993?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=3B524788DDE33FEB357EE232B99C2B2B5A174072,Drive with DoorDash - Flexible Onboarding,40.635338,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,44679.27,44679.27,Adzuna::API::Response::Location,"['US', 'Ohio', 'Ashland County', 'Loudonville']","Loudonville, Ashland County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE0OTg0In0.yZhPl7dFx73YjSKzWMt_2-FFdwzDtivWh1r8evliGqE,5675214984,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-96.548599,https://www.adzuna.com/land/ad/5675214984?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=81D2E236A0A80FBACD720C943CED24D806E4E21C,Drive with DoorDash,33.349001,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,46642.88,46642.88,Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Anna']","Anna, Collin County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDA1In0.7S8PXqt0myTaeib1hTbGjtpO21J0qGX7qGEF2pUlyRA,5675215005,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-116.213296,https://www.adzuna.com/land/ad/5675215005?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=E86FD388FDADD982F248355EED5187E3DDFB219F,Restaurant Delivery,43.727779,Adzuna::API::Response::Job,2026-03-22T09:44:10Z,54269.37,54269.37,Adzuna::API::Response::Location,"['US', 'Idaho', 'Ada County', 'Garden City']","Garden City, Ada County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
