title,longitude,id,created,latitude,adref,redirect_url,contract_time,salary_min,description,salary_max,__CLASS__,salary_is_predicted,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,location.display_name,location.__CLASS__,location.area,contract_type
Home Care Medical Biller Full-Time In Office,-82.504721,5757409017,2026-06-09T11:58:03Z,39.173472,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDE3In0.DiSQYe88olngGkj8V20Bt1vQ-GwMmhMs4hx9C_PVdzw,https://www.adzuna.com/land/ad/5757409017?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=D53091BE8E5DD861375B0D585DC645EA86B55ABE,full_time,49318.1,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",49318.1,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Hamden, Vinton County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Vinton County', 'Hamden']",
Home Care Medical Biller Full-Time In Office,-83.694264,5757409015,2026-06-09T11:58:03Z,39.317791,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDE1In0.r9I3d2Ur84e4ykwVdwaIjErAYnViIlRd7D81537Egsg,https://www.adzuna.com/land/ad/5757409015?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=946873EF1B78966BE449B71EEA3D76FED06C00B1,full_time,45221.46,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45221.46,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"New Vienna, Clinton County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Clinton County', 'New Vienna']",
Home Care Medical Biller Full-Time In Office,-83.723415,5757409019,2026-06-09T11:58:03Z,39.580276,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDE5In0.sWUh1OK9PFwwMf9AxHmd7EPgzadp6dZFum4oGaIbQgc,https://www.adzuna.com/land/ad/5757409019?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=86384712F825F8D5A24B3A01B7D1E77D2558400F,full_time,45313.45,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45313.45,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Bowersville, Greene County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Greene County', 'Bowersville']",
Customer Support Representative ($20 PH starting),-83.04552,5757409030,2026-06-09T11:58:03Z,40.0116,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDMwIn0.X3lPC3jP_0KNVf7EIwSdZeI6FjrpNrWk4gspBbBmhbk,https://www.adzuna.com/land/ad/5757409030?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=E38A7D9377F839252BF4729C883206997AE68248,,41600.0,"This role requires the ability to work lawfully in the U.S. without employment-based immigration sponsorship, now or in the future. Are you positive and proactive with a passion for helping people? Do you enjoy active listening and solving problems? Are you tech-savvy and love to multi-task? Then you’ll thrive as a professional Customer Service Representative at Spectrum. Customer Service Representatives are vital to our mission, taking inbound calls and providing support that strengthens conne…",41600.0,Adzuna::API::Response::Job,0,Adzuna::API::Response::Company,SPECTRUM,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"Grandview, Franklin County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Franklin County', 'Grandview']",
Licensed Clinical Psychologist (LCP),-77.097739,5757409007,2026-06-09T11:58:02Z,38.886306,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwOTAwNyIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.mA9Og3pLKTkUmzHRn27308cPfxpqcvLulYUPlKsMkWc,https://www.adzuna.com/land/ad/5757409007?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=41EEB9F53F522C70A6DA0E2EF3BD5C4E9F7D2A79,,107877.73,""" "" Licensed Clinical Psychologist Wage: Up to $185/hour Licensed Clinical Psychologists — Are you ready to launch or expand your private practice? Headway is here to help you start accepting insurance with ease, increase your earnings with higher rates, and start taking covered clients sooner. It’s all on one free-to-use platform, no commitment required. About you ● You’re a fully-licensed Clinical Psychologist at a Master’s level or above with PSY, PSYP, or PsyD licensure (accepted on a state…",107877.73,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Headway,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"State Farm, Arlington County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Arlington County', 'State Farm']",
Home Care Medical Biller Full-Time In Office,-82.888508,5757409011,2026-06-09T11:58:02Z,39.865036,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDExIn0.aye2-N_SJ2-7hYHcNgUSp3mjO9RvbX84NWHk5W34Llk,https://www.adzuna.com/land/ad/5757409011?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=56F9A5849C8EF84C0F14B1DA6712A6B1853E3C5B,full_time,57250.22,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",57250.22,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Groveport, Franklin County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Franklin County', 'Groveport']",
Licensed Clinical Psychologist (LCP),-76.092103,5757409008,2026-06-09T11:58:02Z,36.846097,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDA4In0.jTjwauOKK76rsRg_jnYudBeMcdsOeesiXjCv7XjkAk4,https://www.adzuna.com/land/ad/5757409008?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=472911F1C766E355F3C881D21132B31ACFFBAE96,,93315.17,""" "" Licensed Clinical Psychologist Wage: Up to $185/hour Licensed Clinical Psychologists — Are you ready to launch or expand your private practice? Headway is here to help you start accepting insurance with ease, increase your earnings with higher rates, and start taking covered clients sooner. It’s all on one free-to-use platform, no commitment required. About you ● You’re a fully-licensed Clinical Psychologist at a Master’s level or above with PSY, PSYP, or PsyD licensure (accepted on a state…",93315.17,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Headway,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Virginia Beach, Virginia Beach City",Adzuna::API::Response::Location,"['US', 'Virginia', 'Virginia Beach City', 'Virginia Beach']",
Home Care Medical Biller Full-Time In Office,-83.796567,5757408963,2026-06-09T11:57:42Z,39.316607,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA4OTYzIn0.AbAtiE9cd4wWD0xyNp5UFpSvnTeaSbpCD1wRuz2U01s,https://www.adzuna.com/land/ad/5757408963?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=73711596D0E271C2200AFCAF3F84EAE8FA2B6D99,full_time,45881.41,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45881.41,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Lynchburg, Highland County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Highland County', 'Lynchburg']",
Warehouse Order Picker Full Time 2nd Shift,-71.394301,5757408976,2026-06-09T11:57:42Z,41.888089,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwODk3NiIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.cEW3tVufF-nTaEXanZg44UbWFUPBqkJb5rMI4f2Cvoc,https://www.adzuna.com/land/ad/5757408976?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=B95D4A108854B2A8CFA11F13785708E19EC191E9,part_time,46623.81,"2:30pm-10:45pm/Monday-Friday Join our Staples World Class Supply Chain Team and deliver essential products to our customers. What you'll be doing: As a warehouse associate you may work in one of the following four areas: Order Picker: You will pick and prepare customer orders accurately and timely to meet daily production goals. At times you will be picking above ground level while adhering to safety procedures. Restocker: You will scan labels, cut boxes, and restock shelves to prep your work a…",46623.81,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,"Staples, Inc.",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,"Central Falls, Providence County",Adzuna::API::Response::Location,"['US', 'Rhode Island', 'Providence County', 'Central Falls']",
Home Care Medical Biller Full-Time In Office,-82.99249,5757408962,2026-06-09T11:57:42Z,39.337182,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwODk2MiIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.HV1k4laJM83DlNuspRAkaE-HNJPp6D4PzR8oFMnbhG0,https://www.adzuna.com/land/ad/5757408962?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=4E892348075B34981667C03AAAA92533A14D6D31,full_time,57565.14,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",57565.14,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Chillicothe, Ross County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Ross County', 'Chillicothe']",
Home Care Medical Biller Full-Time In Office,-83.565973,5757408957,2026-06-09T11:57:42Z,39.73866,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA4OTU3In0.PGsXY08ZM1mR2KDM5VX5jdNYthYvG9NQeR3Ovu6lusE,https://www.adzuna.com/land/ad/5757408957?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=DF2BF74D907F99E53D5735676ED0596B02100692,full_time,45926.54,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45926.54,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"South Solon, Madison County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Madison County', 'South Solon']",
Home Care Medical Biller Full-Time In Office,-83.013037,5757408960,2026-06-09T11:57:42Z,39.131783,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA4OTYwIn0.WLbqjy-EW4FJr8tyqApX2sbQYqtaci76kmWRyuWIBso,https://www.adzuna.com/land/ad/5757408960?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=96C5A9C1E00450A21CADC9D2C931CE5836142759,full_time,51218.44,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",51218.44,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Waverly, Pike County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Pike County', 'Waverly']",
Home Care Medical Biller Full-Time In Office,-82.3466,5757408969,2026-06-09T11:57:42Z,39.136243,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA4OTY5In0.eL8lswadMTyQ_Htm4N5BZMWKZ9kmBNkB0fUWSvWxnEk,https://www.adzuna.com/land/ad/5757408969?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=20928BEBAD3B491DFC1E344939951106DD4CF54F,full_time,45783.23,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45783.23,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Radcliff, Vinton County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Vinton County', 'Radcliff']",
