longitude,title,salary_max,salary_is_predicted,created,description,latitude,id,__CLASS__,salary_min,redirect_url,adref,category.__CLASS__,category.tag,category.label,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,contract_time,contract_type
-88.03791,HR Generalist - Milwaukee Campuses,54774.61,1,2026-05-06T11:16:09Z,"Who We Are Lad Lake is a COA-accredited, nonprofit, independent organization serving youth and families across Wisconsin. Our trauma-informed programs impact over 1,200 youth and their families, and we are dedicated to fostering growth and promoting diversity, equity, and inclusion every step of the way. Our mission is to guide young people toward their potential and help them live responsibly. We do this by building a team of compassionate, skilled professionals committed to empowering our sta…",43.083,5720613750,Adzuna::API::Response::Job,54774.61,https://www.adzuna.com/details/5720613750?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc1MCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.96Z0sr4gG52FZ_We98i8BFIHUaWfNWgUPlaYbqkS4Ik,Adzuna::API::Response::Category,hr-jobs,HR & Recruitment Jobs,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Waukesha County', 'Butler']","Butler, Waukesha County",Adzuna::API::Response::Company,Lad Lake Inc,,
-80.880082,Pest Control Service Technician,47840.0,0,2026-05-06T11:16:09Z,"PEST CONTROL SERVICE TECHNICIAN Pest control is our passion. We love what we do, so we do it with care and a commitment to excellence. If you are seeking ""just a job,"" we're not for you - however, if you want to enjoy coming to work every day and loving what you do, keep reading. Our Pest Control Service Technicians are experts in pest management. We supply great training on a regular basis, including time with leading industry experts in pest control. Our Pest Control Service Technicians also …",35.834089,5720613741,Adzuna::API::Response::Job,39520.0,https://www.adzuna.com/details/5720613741?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzQxIn0.MSTuYU4aJo4RH6mCPV-9UCEIBqw3ty5pe8JTaZV772c,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Iredell County', 'Statesville']","Statesville, Iredell County",Adzuna::API::Response::Company,"A-1 Termite and Pest Control, Inc.",full_time,
-112.0772,Lead Security Systems Technician,106656.51,1,2026-05-06T11:16:09Z,"Description: About Us: Active Security designs, develops, implements, and sustains advanced C5ISR and security solutions to enhance defense and mission capabilities, addressing threats across physical, electronic, cyber, and communications security for commercial and U.S. Government clients. Our Electronics Technicians are essential in installing, programming, maintaining, and repairing these complex systems in high-security environments, ensuring compliance with codes, client specifications, a…",33.449188,5720613754,Adzuna::API::Response::Job,106656.51,https://www.adzuna.com/details/5720613754?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc1NCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.n_oYig79fC7GV9AZphGoSr_ZGTSRzNpdWhCv2wvoEuo,Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']","Phoenix, Maricopa County",Adzuna::API::Response::Company,Active Security Consulting LLC,,
-122.439543,Operational Staff Accountant,90000.0,0,2026-05-06T11:16:09Z,"Description: Do you love clean numbers, smart systems, and work that actually makes an impact? At Sprague, accounting isn’t just about closing the books—it’s about supporting people, operations, and growth across the entire organization. We’re looking for an Operational Staff Accountant who enjoys digging into the details, partnering with others, and taking real ownership of their work. If you’re someone who takes pride in accuracy, enjoys improving processes, and believes great work can also b…",47.248429,5720613762,Adzuna::API::Response::Job,82000.0,https://www.adzuna.com/details/5720613762?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzYyIn0.L3ZL1KtqBs4rCJtAebw3TjW9UKDnDTK3QP7UJ4LgyiE,Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Location,"['US', 'Washington', 'Pierce County', 'University Place']","University Place, Pierce County",Adzuna::API::Response::Company,Sprague Pest Solutions,,
-72.62134,CNC Machinist - Milling- Level II - 1st or 2nd Shift,38727.84,1,2026-05-06T11:16:09Z,"Sets-up and operates CNC Milling Machines to produce highly precision component parts that meet all quality standards. This role is for 1st or 2nd shift. 1st shift is 7am-3:30. 2nd shift is 3:00 - 11:30pm This role is 100% in office at our plant in East Hartford, CT. 2nd Shift has a 10% shift differential At HORST we offer a variety of benefits including but not limited to: Competitive PTO PackagePaid Company Holidays401K Match ProgramMedical, Dental, Vision BenefitsTuition Reimbursement/Assist…",41.77351,5720613738,Adzuna::API::Response::Job,38727.84,https://www.adzuna.com/details/5720613738?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzczOCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.6F5tGezUyd36WArBM7sawhWV5VPmjnI470VMoRmtFfw,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Hartford County', 'East Hartford']","East Hartford, Hartford County",Adzuna::API::Response::Company,HORST ENGINEERING & MANUFACTURING CO,,
-79.63194,Assistant Property Manager,43680.0,0,2026-05-06T11:16:09Z,"Description: Assistant Property Manager Location: Export, PA Pay: $21.00 per hour (based on experience) Join a regional leader! Arbors Management is seeking a professional Assistant Property Manager for our Export area operations. We are looking for a detail-oriented team player dedicated to the ""Gold Standard"" of property management. Why Join Arbors? Full Benefits: Medical, Dental, Vision, & Life Insurance. Retirement: 401(k) with company match. Balance: Paid Time Off (PTO) and Paid Holidays. …",40.42818,5720613771,Adzuna::API::Response::Job,43680.0,https://www.adzuna.com/details/5720613771?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzcxIn0.ixg2NTB8Ns33wo6kkJ-axkpel-7FjCUR8UcGtqcA5yQ,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Westmoreland County', 'Export']","Export, Westmoreland County",Adzuna::API::Response::Company,Arbors Management Inc.,,
-85.702933,Lifeguard,41912.0,0,2026-05-06T11:16:09Z,"Description: We offer in-house, American Red Cross, lifeguard training and certification sessions, with upcoming courses available. POSITION SUMMARY: The Lifeguard is responsible for guarding the aquatic facility and/or aquatic activities to secure the safety of pool occupants and program participants. The Lifeguard will ensure a safe, fun area for children and adults to interact and enjoy. Must be available for weekday shifts, between 4:45 AM AM and 4 PM. Our pools are open seven days a week, …",42.978674,5720613759,Adzuna::API::Response::Job,33529.0,https://www.adzuna.com/details/5720613759?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc1OSIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.NkM5lhPPB5Ql1BLzCk6YdXFVQ53L-ER0k-PVCfwWock,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Michigan', 'Kent County', 'Grand Rapids']","Grand Rapids, Kent County",Adzuna::API::Response::Company,YMCA of Greater Grand Rapids,part_time,
-72.62134,CNC Machinist - Grinding O.D / Centerless - 1st or 2nd Shift,45661.27,1,2026-05-06T11:16:09Z,"This Grinding Set-Up Operator/Machinist will primarily set-up and operate CNC cylindrical (O.D) grinders (e.g. Kellenberger, Studer, etc.) to produce high precision parts made from a variety of materials. In this role, you will ensure that all manufactured parts are in full compliance with quality standards and customer specifications. This role is for 1st or 2nd shift. 1st shift is 7am-3:30. 2nd shift is 3:00 - 11:30pm This role is 100% in office at our plant in East Hartford, CT. 2nd Shift ha…",41.77351,5720613749,Adzuna::API::Response::Job,45661.27,https://www.adzuna.com/details/5720613749?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzQ5In0.DjCobmBgzktgF6mPGLhooGWa3IaKxyPGXE0NGAI1x8U,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Hartford County', 'East Hartford']","East Hartford, Hartford County",Adzuna::API::Response::Company,HORST ENGINEERING & MANUFACTURING CO,,
-74.207151,Bilingual Licensed Clinical Social Worker - Spanish Speaking,85000.0,0,2026-05-06T11:16:09Z,"Bilingual Licensed Clinical Social Worker LCSW - Spanish Speaking Are you passionate about working with an underserved and rewarding population? Looking for a clinical role without the administrative burden, and one that offers real work-life balance? If so, read on and apply today! Senior Care Therapy is seeking full-time or part-time Licensed Clinical Social Workers to join our mission of providing in-person psychotherapy services to the geriatric population. We currently serve over 300 Skill…",40.77162,5720613770,Adzuna::API::Response::Job,56000.0,https://www.adzuna.com/details/5720613770?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc3MCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.2z_sVB8OBcPpfGiqyBPPOOTceE5QkDlINAW9R2ou_pI,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'East Orange']","East Orange, Essex County",Adzuna::API::Response::Company,SENIOR CARE THERAPY,part_time,
-75.15852,Apartment Maintenance HVAC Technician,56355.76,1,2026-05-06T11:16:09Z,"Description: Real Estate Development and Property Management company is seeking a talented, reliable Apartment Maintenance Technician (HVAC Certified) for our multifamily apartment community. The main function of the Apartment Maintenance Technician is to organize, prioritize, and complete resident work orders and turnovers. The ideal candidate will have prior apartment maintenance experience and well-rounded skills such as HVAC, electrical, plumbing, and carpentry. Requirements: - Ensure work …",39.9513,5720613772,Adzuna::API::Response::Job,56355.76,https://www.adzuna.com/details/5720613772?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzcyIn0.IJpIV_QB7WNa4BEh-F3lOrubZoAp5nYjUdxxarouEVU,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Philadelphia County', 'William Penn Annex West']","William Penn Annex West, Philadelphia County",Adzuna::API::Response::Company,Odin Properties,,
-98.378963,Drafter - (Residential Homes) - Full-time,49920.0,0,2026-05-06T11:16:09Z,"About the Role: As a Drafter specializing in residential homes, you will play a critical role in transforming architectural concepts and client requirements into detailed technical drawings and plans. Your work will directly contribute to the successful design and construction of residential properties by providing precise and clear documentation for clients, contractors, designers and contractor sales. You will collaborate closely with contractors and contractor sales to ensure that all drawin…",40.925358,5720613735,Adzuna::API::Response::Job,37440.0,https://www.adzuna.com/details/5720613735?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzM1In0.cDtNTfuPUDMs2yq8G9XXiX0DOYw9-mzCQ1Gco3viwKc,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Location,"['US', 'Nebraska', 'Hall County', 'Grand Island']","Grand Island, Hall County",Adzuna::API::Response::Company,Builders Warehouse,full_time,
-151.080557,"Dialysis Registered Nurse - SIGN ON BONUS UP TO $15,000",109642.41,1,2026-05-06T11:16:09Z,"We are seeking an energetic, dedicated person to fill a Registered Nurse position at our dialysis clinic in Soldotna, Alaska. The primary responsibilities of this position are: Responsible for the direct and indirect nursing care provided for a primarily adult/geriatric ESRD patient population. Utilizes nursing process to assess individual patient needs, determine and implement a plan of care, evaluate and revise plan according to changing patient care needs. Initiates and provides on-going pat…",60.492333,5720613748,Adzuna::API::Response::Job,109642.41,https://www.adzuna.com/details/5720613748?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc0OCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.35P9oxIpCBt_zcuzpQCYn110Xx0h9Qa8quKo48BMplY,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Alaska', 'Kenai Peninsula', 'Soldotna']","Soldotna, Kenai Peninsula",Adzuna::API::Response::Company,Alaska Dialysis,,
-81.82692,Sales Consultant - SIGN ON BONUS,56040.73,1,2026-05-06T11:16:09Z,"Description: HONDA CARS OF AIKEN *We are offering a generous sign on bonus of up to $10,000 for qualified applicants if hired! Do you enjoy talking with people and want to pursue a career where you have unlimited earning potential starting with a sign on bonus of up to $10,000*? Honda Cars of Aiken is the premier Honda Dealership in the CSRA and earning the President's Award for 5 years. Our dealership is well known in the Aiken, North Augusta and surrounding communities as the best Honda Deale…",33.51936,5720613744,Adzuna::API::Response::Job,56040.73,https://www.adzuna.com/details/5720613744?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzQ0In0.oLUcNWxBhEn9mbuaqtdGivHkZIKJF41W8vaLK_1_bdE,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Aiken County', 'Mixville']","Mixville, Aiken County",Adzuna::API::Response::Company,Honda Cars of Aiken,,
