adref,longitude,title,__CLASS__,contract_time,salary_is_predicted,latitude,created,salary_min,description,salary_max,redirect_url,id,company.__CLASS__,company.display_name,location.display_name,location.__CLASS__,location.area,category.__CLASS__,category.tag,category.label,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM5MyIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.eaB4omToEpEsfx0F-bGrX6aoU_p8FXlxxEP7iy1I5ek,-86.721219,First Assistant Certified - Main OR - Full Time,Adzuna::API::Response::Job,full_time,1,36.067523,2026-08-11T10:14:04Z,100208.09,"Plans, implements, and evaluates surgical patient care in a timely and accurate manner. Position Requirements High school graduate. Must respond to hospital within thirty minutes for ""on call"" requirements. Previous First Assist experience or one year scrub tech experience Perioperative Care The ability to work well under pressure, to function dependently and independently and to be flexible in applying basic nursing knowledge to a variety of setting. Equipment for the following surgical specia…",100208.09,https://www.adzuna.com/land/ad/5836775393?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=8D13815C6DBF6930F32E41D3B31ED903794B823F,5836775393,Adzuna::API::Response::Company,Williamson Health,"Woodbine, Davidson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Davidson County', 'Woodbine']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM4OSIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.SJGstoAg4jcf3dcqmdVYxjcm8BXpTLaZhQbHIiCTX9A,-76.064735,Local CDL-A Driver,Adzuna::API::Response::Job,,0,43.306668,2026-08-11T10:14:03Z,70000.0,"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",90000.0,https://www.adzuna.com/land/ad/5836775389?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=6CF5EFC163F93DA209D4D59B66CAD1908A2D09EC,5836775389,Adzuna::API::Response::Company,System Freight,"West Monroe, Oswego County",Adzuna::API::Response::Location,"['US', 'New York', 'Oswego County', 'West Monroe']",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzgyIn0.5RNQIJInN5Vixkmd3UyfCxhRXjR1k_EdnMKLMimuJ1A,-86.7674,First Assistant Certified - Main OR - Full Time,Adzuna::API::Response::Job,full_time,1,36.1644,2026-08-11T10:14:02Z,89665.04,"Plans, implements, and evaluates surgical patient care in a timely and accurate manner. Position Requirements High school graduate. Must respond to hospital within thirty minutes for ""on call"" requirements. Previous First Assist experience or one year scrub tech experience Perioperative Care The ability to work well under pressure, to function dependently and independently and to be flexible in applying basic nursing knowledge to a variety of setting. Equipment for the following surgical specia…",89665.04,https://www.adzuna.com/land/ad/5836775382?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=01DAB6D89108664D1B3377E553FC5F5D8B6E573D,5836775382,Adzuna::API::Response::Company,Williamson Health,"Nashville, Davidson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzY1In0.PgI146jLHuW6yj2WddX4UnRvrcJ9HqlpoGp8kxjvQg8,-76.30362,Engineering Technician II (848),Adzuna::API::Response::Job,full_time,1,36.93432,2026-08-11T10:13:59Z,55706.37,"Duties/ General Functions/Requirements/ Experience/Skills: Provide support to the Atlantic Targets and Marine Operations Division both on the east and west coast. Responsibilities to include boat operations, maintenance on both mechanical and electrical systems. Shipboard support to include knowledge of launching and recovery of small boats. Applicant must be able to perform said duties with minimal supervision. Position will be a part of an established Marine Operations division that supports …",55706.37,https://www.adzuna.com/details/5836775365?utm_medium=api&utm_source=abfa41a4,5836775365,Adzuna::API::Response::Company,InDyne,"Fort Monroe, Hampton City",Adzuna::API::Response::Location,"['US', 'Virginia', 'Hampton City', 'Fort Monroe']",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzY3In0.h2GmXzuOkSOi_NAz3T8ghIO8Zx8A7pN7zizVy_TFggo,-74.267242,Local CDL-A Driver,Adzuna::API::Response::Job,,0,40.665505,2026-08-11T10:13:59Z,70000.0,"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",90000.0,https://www.adzuna.com/land/ad/5836775367?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=470325C69800497D53906F39714BFA2E069FC6BB,5836775367,Adzuna::API::Response::Company,System Freight,"Roselle Park, Union County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Union County', 'Roselle Park']",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM2MiIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.IgtNZExxwK6dcpZKhAsfiVTIltRggpO2EDyb7s1R234,-86.775514,First Assistant Certified - Main OR - Full Time,Adzuna::API::Response::Job,full_time,1,36.223535,2026-08-11T10:13:58Z,91428.21,"Plans, implements, and evaluates surgical patient care in a timely and accurate manner. Position Requirements High school graduate. Must respond to hospital within thirty minutes for ""on call"" requirements. Previous First Assist experience or one year scrub tech experience Perioperative Care The ability to work well under pressure, to function dependently and independently and to be flexible in applying basic nursing knowledge to a variety of setting. Equipment for the following surgical specia…",91428.21,https://www.adzuna.com/land/ad/5836775362?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=B151FF85EDD661B1470EE24A8BA4A80391364FBE,5836775362,Adzuna::API::Response::Company,Williamson Health,"Northeast, Davidson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Davidson County', 'Northeast']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM1OCIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.bBE8w4MrUkXkwCJXbEbiOwexp2_2dBX_y7u3RVbzGWA,-76.799422,Cyber Range Operations Manager,Adzuna::API::Response::Job,full_time,1,39.13205,2026-08-11T10:13:58Z,159524.2,"By Light Professional IT Services LLC readies warfighters and federal agencies with technology and systems engineered to connect, protect, and prepare individuals and teams for whatever comes next. Headquartered in McLean, VA, By Light supports defense, civilian, and commercial IT customers worldwide. Cole Engineering Services (CESI), a By Light company, is recognized as a premier provider of modeling and simulation (M&S) training solutions to the Federal Government and industry. Since 2004, CE…",159524.2,https://www.adzuna.com/details/5836775358?utm_medium=api&utm_source=abfa41a4,5836775358,Adzuna::API::Response::Company,By Light HQ,"Savage, Anne Arundel County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Anne Arundel County', 'Savage']",Adzuna::API::Response::Category,it-jobs,IT Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzQ0In0.gbEXR7a70oFvenFraG9EAUOwHVzwkUh4PehtmL0n35E,-80.06502,Survey Party Chief,Adzuna::API::Response::Job,full_time,1,26.46258,2026-08-11T10:13:57Z,75027.98,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",75027.98,https://www.adzuna.com/details/5836775344?utm_medium=api&utm_source=abfa41a4,5836775344,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","West Delray Beach, Palm Beach County",Adzuna::API::Response::Location,"['US', 'Florida', 'Palm Beach County', 'West Delray Beach']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM0OCIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.shadfxRuNECwD-QOA8fZCak5G39AsBZcR4ZARGfI550,-76.533695,Survey Project Manager,Adzuna::API::Response::Job,full_time,1,38.982355,2026-08-11T10:13:57Z,58054.37,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",58054.37,https://www.adzuna.com/details/5836775348?utm_medium=api&utm_source=abfa41a4,5836775348,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Annapolis, Anne Arundel County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Anne Arundel County', 'Annapolis']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM1MiIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.vCVLa2aRYIUx74-fVZ4modgaOZU0pRxJ8j1OR2e7nFk,-94.74246,Accounting Controller,Adzuna::API::Response::Job,full_time,1,38.94918,2026-08-11T10:13:57Z,122371.53,"OMNI is honored to partner with Genuen in the search for an experienced Accounting Controller to lead all day-to-day accounting operations and ensure the accuracy, integrity, and efficiency of the financial processes. Genuen is a premier provider of test automation services, test systems and product solutions for global companies in highly regulated industries with an emphasis in military/aerospace, transportation, and commercial avionics. They are an ISO 9001:2015 certified company headquarter…",122371.53,https://www.adzuna.com/details/5836775352?utm_medium=api&utm_source=abfa41a4,5836775352,Adzuna::API::Response::Company,OMNI Human Resource Management,"Quivira, Johnson County",Adzuna::API::Response::Location,"['US', 'Kansas', 'Johnson County', 'Quivira']",Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTM0NyIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.mbRdGgfY3OMWGExq1QQwkbSQYoof9jL0Zd-qFBgHCyk,-74.1735,Project Manager - Traffic Engineering,Adzuna::API::Response::Job,full_time,1,40.7334,2026-08-11T10:13:57Z,127281.34,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",127281.34,https://www.adzuna.com/details/5836775347?utm_medium=api&utm_source=abfa41a4,5836775347,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Newark, Essex County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'Newark']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTMzNyIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.FYU3Co5lZUMzWHoooG5Yo32YaoSB-Yry8Fob0WpvZwE,-74.67774,Geotechnical Engineer,Adzuna::API::Response::Job,full_time,1,40.791278,2026-08-11T10:13:56Z,67536.23,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",67536.23,https://www.adzuna.com/details/5836775337?utm_medium=api&utm_source=abfa41a4,5836775337,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Chester, Morris County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Morris County', 'Chester']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzMxIn0.6hza8bmYBbmGLcLnkLIE-AThDaBIY2XqrTLmNd8CoI4,-74.902662,Project Manager - Traffic Engineering,Adzuna::API::Response::Job,full_time,1,39.882722,2026-08-11T10:13:56Z,118438.93,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",118438.93,https://www.adzuna.com/details/5836775331?utm_medium=api&utm_source=abfa41a4,5836775331,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Evesham, Burlington County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Burlington County', 'Evesham']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1MzI5In0.tuH2tmS91h-p74MF9xsZuj5uDTKIaetRcmzCs3CtXNQ,-74.159522,Survey Project Manager,Adzuna::API::Response::Job,full_time,1,39.985751,2026-08-11T10:13:56Z,59975.93,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",59975.93,https://www.adzuna.com/details/5836775329?utm_medium=api&utm_source=abfa41a4,5836775329,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Toms River, Ocean County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Ocean County', 'Toms River']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTMyMSIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.hySM8MbIi1YcftET953wdqjubt4dNtkiUdo5Jeh9Z7s,-80.06502,Project Manager - Traffic Engineering,Adzuna::API::Response::Job,full_time,1,26.46258,2026-08-11T10:13:56Z,116693.48,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",116693.48,https://www.adzuna.com/details/5836775321?utm_medium=api&utm_source=abfa41a4,5836775321,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","West Delray Beach, Palm Beach County",Adzuna::API::Response::Location,"['US', 'Florida', 'Palm Beach County', 'West Delray Beach']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTMyMCIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.BBqDK5G3h4Y2jS88fxgqQYU1Rj-4xKBZnwhYND57OeU,-76.546985,Project Manager - Traffic Engineering,Adzuna::API::Response::Job,full_time,1,38.99339,2026-08-11T10:13:56Z,109905.49,"Dynamic Engineering is a nationally recognized multidisciplinary consulting firm providing engineering, surveying, environmental, planning, landscape architecture, traffic engineering, and related consulting services throughout the United States. What began as a small engineering firm has grown into a family of companies with more than 400 professionals serving commercial, residential, industrial, institutional, and public-sector clients across a broad geographic footprint. Dynamic combines loc…",109905.49,https://www.adzuna.com/details/5836775320?utm_medium=api&utm_source=abfa41a4,5836775320,Adzuna::API::Response::Company,"Dynamic Engineering Consultants, PC","Annapolis, Anne Arundel County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Anne Arundel County', 'Annapolis']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
