latitude,title,longitude,adref,contract_time,id,description,salary_max,created,__CLASS__,salary_is_predicted,redirect_url,salary_min,location.area,location.display_name,location.__CLASS__,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_type
41.457861,RN - Telemetry,-81.785954,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMTIyIn0.rO-yChxiTKHToU1HkeFdZpVkgJUczm91bco13cDcEFs,part_time,5807211122,"GetMed Staffing is searching for a strong Telemetry RN to assist our traveler-friendly client. A minimum of 1-2 years of experience is required. Traveling with GetMed Staffing offers the unique opportunity to gain diverse experiences, both personally and professionally. Gain experience that matters.",19438.73,2026-07-19T10:06:39Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211122?utm_medium=api&utm_source=abfa41a4,19438.73,"['US', 'Ohio', 'Cuyahoga County', 'Linndale']","Linndale, Cuyahoga County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Legal Jobs,legal-jobs,Adzuna::API::Response::Company,Cleveland OH,
38.438855,Nursing - OR,-122.671853,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMTA3In0.e3owYC6ZEh3x_ouD3lt_6K6kDfSy2qNr3acw7A-Ylxk,part_time,5807211107,"Are you ready to take your Travel career to the next level? See places you have not seen before? Ventura’s MedStaff tenured Recruiters are here to help you find your ideal contract; with over 50 years of combined experience. Markets have changed, but Ventura MedStaff has maintained a leader in the forefront of Therapy, Allied and Nursing opportunities. Our recruiters are here to help answer your questions and provide you with the most up to date information. Contracts run 8-13 weeks, with 36–40…",95616.4,2026-07-19T10:05:12Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211107?utm_medium=api&utm_source=abfa41a4,95616.4,"['US', 'California', 'Sonoma County', 'Roseland']","Roseland, Sonoma County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Providence Santa Rosa Memorial Hospital,
35.66782,Field Technician,-101.397388,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTA5OCIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.8tJNPk-95-KMzJk6hRHH0p4Ku4ZPYhkUjAlfhb5Uv4g,full_time,5807211098,"Job Description: If you have never thought about a career as a Field Technician, it’s time to think again! If you love working in the field, driving vehicles, interacting with customers, and advancing with ongoing learning opportunities Cable One is your next and final stop. This role offers an extensive training program with both one-on-one and group training classes. Nervous about finding your way in a new organization? You will have access to mentors from across the company to ensure you are…",56576.12,2026-07-19T10:04:09Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211098?utm_medium=api&utm_source=abfa41a4,56576.12,"['US', 'Texas', 'Hutchinson County', 'Borger']","Borger, Hutchinson County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Customer Services Jobs,customer-services-jobs,Adzuna::API::Response::Company,Cable One,
43.472446,Dairy Frozen Team Leader,-88.191663,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTA4OSIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.PgjZzr5K9S7tFSJ7UZcLzXOIACThrc_wVyzlq8cw17k,full_time,5807211089,"As a family company, we serve people and communities. When you work at Meijer, you’re provided with career and community opportunities centered around leadership, personal growth and development. Consider joining our family – take care of your career and your community! Meijer Rewards Weekly pay Scheduling flexibility Paid parental leave Paid education assistance Team member discount Development programs for advancement and career growth Please review the job profile below and apply today! Plan…",38773.22,2026-07-19T10:03:12Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211089?utm_medium=api&utm_source=abfa41a4,38773.22,"['US', 'Wisconsin', 'Washington County', 'West Bend']","West Bend, Washington County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Retail Jobs,retail-jobs,Adzuna::API::Response::Company,Meijer,
42.912531,General Merchandise Team Leader,-82.48686,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMDgzIn0.uz2YJ3ptPboN1C2PgMuYkPAqZa7nrlOqEcAfx56U-N8,full_time,5807211083,"As a family company, we serve people and communities. When you work at Meijer, you’re provided with career and community opportunities centered around leadership, personal growth and development. Consider joining our family – take care of your career and your community! Meijer Rewards Weekly pay Scheduling flexibility Paid parental leave Paid education assistance Team member discount Development programs for advancement and career growth Please review the job profile below and apply today! Plan…",43245.2,2026-07-19T10:02:35Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211083?utm_medium=api&utm_source=abfa41a4,43245.2,"['US', 'Michigan', 'Saint Clair County', 'Marysville']","Marysville, Saint Clair County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Retail Jobs,retail-jobs,Adzuna::API::Response::Company,Meijer,
33.457703,Security Assistant P/T,-81.964391,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTA1NCIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.itS57uc7felwu__HjyuJZl7_K9Aoo1lbbiKwDOGiVPI,,5807211054,"Overview Job Description and Responsibilities Tactica Solutions is seeking experienced and qualified individuals for part-time Security Assistant roles at Fort Gordon. The ideal candidates will possess a strong background in security operations, office administration, and access control within secure environments. Typical Job Duties and Tasks: Possess skills/knowledge of performing office automation work that includes word processing, electronic mail, spreadsheets, presentations, and other pers…",81921.34,2026-07-19T10:01:27Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807211054?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=F2CEFDCE7FA41651EB1658BD57B3A31A0EC176DC,81921.34,"['US', 'Georgia', 'Richmond County', 'Augusta']","Augusta, Richmond County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Admin Jobs,admin-jobs,Adzuna::API::Response::Company,Na Oiwi Kane,
38.89174,Forensic Investigations Accountant with Security Clearance,-77.04592,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTA1MyIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.wUfDa4aGK5AKcxilTdrlHAwC_d8TKQ-IWiCgHhHkMiI,,5807211053,"Our Deloitte Regulatory, Risk & Forensic team helps client leaders translate multifaceted risk and an evolving regulatory environment into defensible actions that strengthen, protect, and transform their organization. Join our team and use advanced data, AI, and emerging technologies with industry insights to help clients bring clarity from complexity and accelerate their path to value creation. Work You'll Do As a Project - Consultant, Forensics and Investigations, on the project, you will: * …",110209.24,2026-07-19T10:01:24Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807211053?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=7CC32519F6448D2213280E02A7F95CEAC0825F2E,110209.24,"['US', 'Virginia', 'Arlington County', 'Rosslyn']","Rosslyn, Arlington County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,Deloitte,
19.703213,RN - Medical-Surgical,-155.093768,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjEwNzgyIn0.vWkl1hH1iR4nVgRFe4cVcTFNJHKjOgK4GT3NtmLH2lI,part_time,5807210782,Coast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is featured on Blue Pipes' 2023 Best Travel Agencies and named a 2022 Top Rated Healthcare Staffing Firm & 2023 First Half Top Rated Healthcare Staffing Firm by Great Recruiters. Please note that pay rate may differ for locally based candidates. Please apply here or contact a recruiter directly to learn mor…,36784.46,2026-07-19T09:57:13Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807210782?utm_medium=api&utm_source=abfa41a4,36784.46,"['US', 'Hawaii', 'Hawaii', 'Hilo']","Hilo, Hawaii",Adzuna::API::Response::Location,Adzuna::API::Response::Category,HR & Recruitment Jobs,hr-jobs,Adzuna::API::Response::Company,Hilo Medical Center,
45.1188,Design Quality Engineer,-93.48666,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMDc4MSIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.agTV_uRJA7tknYaV32S32oI_0CgRDDVQ-MFyzksd4Fc,,5807210781,"Now Hiring: Design Quality Engineer Location: Maple Grove, MN (Onsite) Pay Rate: Up to $54.00/hour We are seeking a Design Quality Engineer to support a critical Design History File (DHF) remediation project focused on Design Assurance activities within a regulated medical device environment. This role is ideal for an experienced quality engineer with strong design controls, risk management, and Medical Electrical Equipment (MEE)/capital equipment experience . Key Responsibilities Support DHF r…",119874.6,2026-07-19T09:57:07Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807210781?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=5A67565A4E0067D02E5AEF7B91B1F2E1CBC43944,119874.6,"['US', 'Minnesota', 'Hennepin County', 'Maple Grove']","Maple Grove, Hennepin County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Company,Advantage Technical,
42.202683,Senior Java Web Engineer,-72.631112,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjEwNzgwIn0.-Oh-4lLWJyzfkrCfaWnHmac8Z2qWR8OB-RxChLur8fs,,5807210780,"Job Description: Looking for an experienced Senior Java Web Engineer Consultant with strong technical expertise in AWS technologies. The Consultant will play a key role in a high-priority upgrade and conversion project, contributing immediately upon onboarding. The Consultant will work closely with the IT Development team and business stakeholders to ensure seamless execution and delivery. Location: Hybrid - Holyoke, Massachusetts- In-person interview Duration: 12 months  possible extension Onl…",104842.65,2026-07-19T09:57:06Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807210780?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=BD9D6E307D2A5D5AB9766573F5EB1181A64912DB,104842.65,"['US', 'Massachusetts', 'Hampden County', 'Halyoke']","Halyoke, Hampden County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,Pronix Inc,
38.852228,Project- Platform Software Engineer with Security Clearance,-104.711053,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjEwNzc5In0.JIIC94T2rZzVwX2pm_BLCOEQ9lQmv7apgTJYF6IJ6zc,,5807210779,"Our Deloitte Cyber team understands the unique challenges and opportunities businesses face in cybersecurity. Join our team to deliver powerful solutions to help our clients navigate the ever-changing threat landscape. Through powerful solutions and managed services that simplify complexity, we enable our clients to operate with resilience, grow with confidence, and proactively manage to secure success. Recruiting for this role ends on 08/31/2026. Work You'll Do As a PROJECT - Security Engineer…",143547.61,2026-07-19T09:57:05Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807210779?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=DE70217BD773FF0723AF1691388D6D19584B8B5E,143547.61,"['US', 'Colorado', 'El Paso County', 'Cimarron Hills']","Cimarron Hills, El Paso County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,Deloitte,
45.050244,Medical Device Complaint Investigation Technician,-93.156611,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMDAyNCIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.RL-6939H8m9lYE6W0VjLs06u6WeEnonJhVI9PbjNoW4,,5807210024,"Medical Device Complaint Investigation Technician Arden Hills, MN | Onsite | $30/hour | Contract Advantage Technical is hiring a Complaint Investigation Technician for a leading medical device manufacturer in Arden Hills, MN. If you have a keen eye for detail and a background in production or manufacturing, this is a strong fit. You'll be embedded at a Post Market Complaint Investigation Site, leading failure analyses on returned capital equipment - determining root causes, documenting findings…",66711.93,2026-07-19T09:53:01Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807210024?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=5622551BC573E790003C9AD9C46FC4993F70B197,66711.93,"['US', 'Minnesota', 'Ramsey County', 'Arden Hills']","Arden Hills, Ramsey County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Company,Advantage Technical,
35.360316,Speech-Language Pathologist (SLP),-83.214112,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIwOTkyNSIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.qDKaw4BcVNqDKEEBvt2Rqs-3XWs_J6kJoaQ3hvUiVlA,full_time,5807209925,"Schedule: Full Time/ Days/ Rotating Weekends Your experience matters Your experience matters Harris Regional Hospital is part of Lifepoint Health, a diversified healthcare delivery network with facilities coast to coast. We are driven by a profound commitment to prioritize your well-being so you can provide exceptional care to others. As a Speech-Language Pathologist (SLP) joining our team, you're embracing a vital mission dedicated to making communities healthier ®. Join us on this meaningful …",150777.44,2026-07-19T09:52:47Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807209925?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=5B5B01F86554FD815DF3B815F0BA4B9791739FCB,150777.44,"['US', 'North Carolina', 'Jackson County', 'Webster']","Webster, Jackson County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Harris Regional Hospital,
33.50877,Delivery Driver III - CDL/Hazmat,-86.801193,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjA5OTIwIn0.f2O82Etfizaw53W3G64yq6Fd80Fa_OCYhJEUP66H2vA,full_time,5807209920,"This position is responsible for delivering products, including hazardous materials, to customers from Sherwin-Williams stores using box and flat-bed trucks. Drivers ensure deliveries are complete, packed correctly, and safely delivered to the correct customer. Drivers are accountable for customer satisfaction and for transporting items in a safe, timely manner. Job duties involve contact with customers, which may include minors; and access to cash and other payment methods, electronic equipmen…",69075.13,2026-07-19T09:52:46Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807209920?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=52197FCEFC9B44599232FA4DA671AB0D97FCAE44,69075.13,"['US', 'Alabama', 'Jefferson County', 'Birmingham']","Birmingham, Jefferson County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,Sherwin-Williams,
30.4125,Hospice Nurse Practitioner,-86.615,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIwOTkxNyIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.MKI2qnmHmsAXfjCdfflj1lHLi50Lk5nncz-eC76MAy4,part_time,5807209917,"Overview: The Nurse Practitioner will serve in a dual Hospice and Palliative Care role. In this position, they will provide comprehensive, patient-centered care across the continuum of serious illness, supporting patients in both palliative and hospice settings. The role includes a blend of hospice and palliative responsibilities with flexibility based on patient census and program needs. The Nurse Practitioner will deliver advanced clinical care, perform patient management visits and hospice F…",98979.82,2026-07-19T09:52:38Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807209917?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=C460F7C61D742094971AB7AE33ADF317D8425826,98979.82,"['US', 'Florida', 'Okaloosa County', 'West Destin']","West Destin, Okaloosa County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Gentiva Hospice,
