title,salary_min,id,created,salary_max,longitude,__CLASS__,redirect_url,adref,latitude,description,salary_is_predicted,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,contract_time,contract_type
Principal Contract Administrator,147499.75,5687546630,2026-04-02T10:21:54Z,147499.75,-76.533695,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546630?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=FDF359F6ABEDD0145B48250CB903F7FFFD034D2E,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjMwIn0.A5arsavOqW11mKwgiFleoAuktMq4O5Fgr4CwXTy0vbQ,38.982355,"RELOCATION ASSISTANCE: No relocation assistance availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: Top SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across …",1,"['US', 'Maryland', 'Anne Arundel County', 'Annapolis']",Adzuna::API::Response::Location,"Annapolis, Anne Arundel County",Adzuna::API::Response::Category,Admin Jobs,admin-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Engineering Director 1,287704.66,5687546629,2026-04-02T10:21:54Z,287704.66,-118.190982,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546629?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=1FEEC46385F2D5D5BC5C54B655C1B3877A84173A,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjI5In0.j4pe_9VyxXQ-FG5KT-pNYTrpqaNg2JlZyS9II9K5SxA,34.487505,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: SecretTRAVEL: Yes, 25% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across …",1,"['US', 'California', 'Los Angeles County', 'Acton']",Adzuna::API::Response::Location,"Acton, Los Angeles County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Mission Effectiveness / Operations Analysis Engineer,147768.53,5687546624,2026-04-02T10:21:54Z,147768.53,-80.5878,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546624?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=D3C03DF8C04CCAA4F2381958883F4F25214FC7D4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYyNCIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.3vLiWC036l4-hg1mmc5EX5yizZcDAD9GIpKjA3cf3UM,27.99762,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Florida', 'Brevard County', 'Malabar']",Adzuna::API::Response::Location,"Malabar, Brevard County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
DevOps Engineer – Level 3 or 4,189914.88,5687546635,2026-04-02T10:21:54Z,189914.88,-77.41995,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546635?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=FAC521DA86FB32CDA09A6101E5B83D474DF3371F,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjM1In0.LUBc7zMuHGpsmtG8cLCEDJQiu9bwxeo8qn5J6F7zSiw,39.027745,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: SCITRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the…",1,"['US', 'Virginia', 'Loudoun County', 'Dulles Town Center']",Adzuna::API::Response::Location,"Dulles Town Center, Loudoun County",Adzuna::API::Response::Category,IT Jobs,it-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
FPGA Digital Design Engineer 3 (AHT),203492.39,5687546628,2026-04-02T10:21:54Z,203492.39,-118.190982,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546628?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=F94362BB8D0FD04EAF66935B1B1DB44460528EBD,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYyOCIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.5FSO6qN2xoWD0NVh7qjFt_1bOUsIgmsdJ-zl0WlPsxo,34.487505,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across …",1,"['US', 'California', 'Los Angeles County', 'Acton']",Adzuna::API::Response::Location,"Acton, Los Angeles County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Mission Effectiveness / Operations Analysis Engineer,154573.69,5687546622,2026-04-02T10:21:54Z,154573.69,-80.598452,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546622?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=83A00A85171882B7D5DAE67138943B6C7168BF88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYyMiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.iE6mCEhYzCa90Pb_JMe9BzxHYcUQNwvLqr7g5aorx_o,28.173983,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Florida', 'Brevard County', 'Satellite Beach']",Adzuna::API::Response::Location,"Satellite Beach, Brevard County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Mission Effectiveness / Operations Analysis Engineer,147768.53,5687546611,2026-04-02T10:21:53Z,147768.53,-80.51106,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546611?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=E42DBEE0CD87389F24A6C753E8C08EF403EE9154,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjExIn0.fy_R9lRYQFie2MTSm84j6-NV6BOBg4rglUZi--vkmm8,27.97056,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Florida', 'Brevard County', 'Valkaria']",Adzuna::API::Response::Location,"Valkaria, Brevard County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Principal/Senior Principal Electromechanical Design Engineer,128172.01,5687546608,2026-04-02T10:21:53Z,128172.01,-76.718875,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546608?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=9EEDF593B7108E1B6E06D093FE7EA1FE78782CF1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjA4In0.evR7sAly7SzAIcS6PQYt_B4SpSam9r8sMvqPtnwG8lo,39.324369,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Woodlawn']",Adzuna::API::Response::Location,"Woodlawn, Baltimore County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Mission Effectiveness / Operations Analysis Engineer,174859.03,5687546616,2026-04-02T10:21:53Z,174859.03,-80.58294,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546616?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=568A251BA4053D4100820358CC08A6C07278508A,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYxNiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.UicgSN6iTzZxIsT5n6_4L6DTydPawJM3kj1jKdQVGhw,28.11781,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Florida', 'Brevard County', 'Indian Harbour Beach']",Adzuna::API::Response::Location,"Indian Harbour Beach, Brevard County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Principal/Senior Principal Electromechanical Design Engineer,134778.64,5687546601,2026-04-02T10:21:53Z,134778.64,-76.7531,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546601?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=ACD32A73C7DDA76B8D2D63BFAEBFF6EACDF8AB0F,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjAxIn0.NhYlgjgO7wdmOnRN7znY6BPzzjTpr8Ste-LgNKbtk38,39.2031,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Anne Arundel County', 'Hanover']",Adzuna::API::Response::Location,"Hanover, Anne Arundel County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Mission Effectiveness / Operations Analysis Engineer,147768.53,5687546613,2026-04-02T10:21:53Z,147768.53,-80.62912,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546613?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=7C8A37FFD24F4C9B27C09663CB509C0BF6B9FAE9,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjEzIn0.ExbG3-IV7g76D7CO2O9fF-5dWajdscop_Hp-hwqjOak,28.07756,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Florida', 'Brevard County', 'Melbourne']",Adzuna::API::Response::Location,"Melbourne, Brevard County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Principal/Senior Principal Electromechanical Design Engineer,135207.08,5687546589,2026-04-02T10:21:52Z,135207.08,-76.53624,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546589?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=D5A99B58D30681F3DA20244778673964D9CFAC42,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NTg5In0.jVP0Fi5UgHwIANbBwFv4m2GbBEmUohdYs1aZKEg5Pgk,39.33798,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Baltimore', 'Raspeburg']",Adzuna::API::Response::Location,"Raspeburg, Baltimore",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Bilingual Behavior Technician - Afternoon Hours,36272.52,5687546586,2026-04-02T10:21:52Z,36272.52,-117.81618,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546586?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=1189F789FAC884F2A7995F028C149548A094BC44,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NTg2In0.kY57gv9KbonsH2_Z89w0d61nQ8XtAg_wDeqP3Ge9_FM,34.00014,"Immediate positions available to work with children with autism spectrum disorder and their families! At ABS Kids we find our purpose in the wow moments our clients experience each day, learning new skills and reaching new goals. Join us as a Behavior Technician and discover wow for yourself in your career path. WorkInWow Benefits and Compensation: $20.00 - $24.50 / hour Earn an additional $2.00 /hour (premium pay) for weekends and holidays Increase for RBT certification Paid drive time / milea…",1,"['US', 'California', 'Los Angeles County', 'Diamond Bar']",Adzuna::API::Response::Location,"Diamond Bar, Los Angeles County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,ABS Kids,Adzuna::API::Response::Company,,
