created,redirect_url,title,salary_is_predicted,contract_time,salary_min,adref,description,salary_max,id,__CLASS__,company.display_name,company.__CLASS__,location.area,location.display_name,location.__CLASS__,category.label,category.__CLASS__,category.tag,latitude,longitude,contract_type
2026-08-26T09:47:54Z,https://www.adzuna.com/details/5856858639?utm_medium=api&utm_source=abfa41a4,Blood Bank Medical Technologist/MLT - Hopewell - Per Diem - Day,1,part_time,109734.77,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYzOSIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.-7n2wzH0YvpMT-9KvE58PjVxq2nWMj0lwmV23tDhoDc,"Capital Health is the region's leader in providing progressive, quality patient care with significant investments in our exceptional physicians, nurses and staff, as well as advanced technology. Capital Health is a dynamic health care resource accredited by the DNV that includes two hospitals, an outpatient center, satellite ED, and an expansive network of primary and specialty care. Capital Health Medical Group is made up of more than 600 physicians and other providers who offer primary and sp…",109734.77,5856858639,Adzuna::API::Response::Job,Capital Health,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Mercer County', 'Hopewell']","Hopewell, Mercer County",Adzuna::API::Response::Location,Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,40.389273,-74.761828,
2026-08-26T09:47:54Z,https://www.adzuna.com/details/5856858640?utm_medium=api&utm_source=abfa41a4,Title I - Teacher/Family Assistant III - (School Wide) - CIMARRON MEMORIAL HS,1,,49339.04,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjQwIn0.SYZHRP1Z3bQ2sUKoBRlV3lg2I9VxH6LdHOEBaOC9Jf0,"Please ensure that you have read the job description for the position. https://ccsd.net/employees/resources/pdf/desc/support-staff/0188.pdf Education, Training, and Experience 1. High school graduation or other equivalent (General Educational Development [GED], foreign equivalency, etc.). 2. Minimum of 48 credits from an accredited college or university or a passing score on the Educational Testing Service (ETS) ParaPro assessment. 3. Six (6) months’ school/community work experience related to …",49339.04,5856858640,Adzuna::API::Response::Job,Taleo Social Sourcing/Licensed,Adzuna::API::Response::Company,"['US', 'Nevada', 'Clark County', 'Las Vegas']","Las Vegas, Clark County",Adzuna::API::Response::Location,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,35.920884,-115.165201,
2026-08-26T09:47:54Z,https://www.adzuna.com/details/5856858636?utm_medium=api&utm_source=abfa41a4,Store Customer Service Specialist,1,,34752.81,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYzNiIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.vZT7FG-tlAty11GJk-5ysAioTXAjQPaJEXiJq6o-soo,"Description This position is essential to the success of our retail stores. Customer Service Specialists work closely with wholesale and retail customers to determine their needs, answer their questions about Sherwin-Williams products, and recommend the right solutions. Customer Service Specialists are also expected to promptly resolve any customer concerns and ensure maximum client satisfaction as well as stay up-to-date with product features and maintain the high quality and visual standards …",34752.81,5856858636,Adzuna::API::Response::Job,Sherwin-Williams,Adzuna::API::Response::Company,"['US', 'Texas', 'Harris County', 'Houston', 'Kingwood']","Kingwood, Houston",Adzuna::API::Response::Location,Retail Jobs,Adzuna::API::Response::Category,retail-jobs,30.057536,-95.190299,
2026-08-26T09:47:53Z,https://www.adzuna.com/details/5856858632?utm_medium=api&utm_source=abfa41a4,General Cleaner Academy Sport Amarillo,1,,33842.8,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYzMiIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.wrpVW8AIeq3orJpMHLlBdqfd4CpbwV4BABQok2pO_sU,"PRIMARY PURPOSE To perform a variety of cleaning activities in assigned buildings/facilities, keeping in clean, sanitary and orderly condition and to perform other tasks related to the area of assignment. ESSENTIAL RESPONSIBILITIES: High Dusting Using a treated high duster, begin cleaning in a counter clockwise direction around the room - high dust surfaces above shoulder height, i.e., lights above doors, curtain tips, vents and ledges. Cleaning the High Duster: Gently brush in a downward direc…",33842.8,5856858632,Adzuna::API::Response::Job,Bluechip Pros,Adzuna::API::Response::Company,"['US', 'Texas', 'Potter County', 'Amarillo']","Amarillo, Potter County",Adzuna::API::Response::Location,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs,35.20454,-101.840707,
2026-08-26T09:47:51Z,https://www.adzuna.com/details/5856858629?utm_medium=api&utm_source=abfa41a4,Certified: School Counselor,1,full_time,74568.03,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjI5In0.Z_96qnZzi_mAyVG_W5hhy03T8saAAdYmU9Px7rVbKDI,"Position Type: School-Based Support Staff/ School Counselor Date Posted: 8/24/2026 Location: Verrado High School Closing Date: Until Filled Additional Information: Show/Hide JOB DESCRIPTION ï¿½ SCHOOL COUNSELOR TITLE: School Counselor FTE: 1.0 FLSA STATUS: Exempt WORK CALENDAR: 197 days COMPENSATION: Certified School-Based Support Staff Compensation Guide (Starting $55,430) ESSENTIAL DUTIES AND RESPONSIBILITIES Provide a welcoming atmosphere for students, staff, parents and community Adhere to …",74568.03,5856858629,Adzuna::API::Response::Job,Agua Fria High School District,Adzuna::API::Response::Company,['US'],US,Adzuna::API::Response::Location,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,,,
2026-08-26T09:47:49Z,https://www.adzuna.com/details/5856858626?utm_medium=api&utm_source=abfa41a4,Special Education Teacher,1,full_time,62793.84,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjI2In0.RKc53c2Bo5Yj8_fDdn4E9zF8X1POmBS8n3Pd64FceFo,"Reports to: Campus Principal Wage/Hour Status: Exempt Pay Family: Teacher Hiring Schedule Minimum Salary: Teacher Hiring Schedule Duty Days: 187 days per year Primary Purpose: Provides students with appropriate learning activities and experiences designed to fulfill their potential for intellectual, emotional, physical and social growth. Enables students to develop competencies and skills to function successfully in society. Qualifications: Education and Certification Bachelor’s degree required…",62793.84,5856858626,Adzuna::API::Response::Job,Denton Independent School District,Adzuna::API::Response::Company,"['US', 'Texas', 'Denton County', 'Little Elm']","Little Elm, Denton County",Adzuna::API::Response::Location,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,33.162619,-96.937505,
2026-08-26T09:47:47Z,https://www.adzuna.com/details/5856858617?utm_medium=api&utm_source=abfa41a4,In-Store Shopper,1,part_time,46856.21,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYxNyIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.sKNSvLKbldcoP3N7g6RA6Zru-xN5HLnmGRLSq6YPmoE,"Description Click here to see - A Day in the Life - In Store Shopper A Day in the Life: As the In-Store Shopper you will have the opportunity to be the best and select “the best of the best” for our online shoppers. To be successful in the position, you must take pride in your work, care about what is selected for our customers, and be quick on your feet to determine substitute products, if need be. The In-Store Shopper not only helps our online customers but those in our store as well. You’ll …",46856.21,5856858617,Adzuna::API::Response::Job,Albertsons,Adzuna::API::Response::Company,"['US', 'Washington', 'Chelan County', 'Mission Square']","Mission Square, Chelan County",Adzuna::API::Response::Location,Retail Jobs,Adzuna::API::Response::Category,retail-jobs,47.43378,-120.32922,
2026-08-26T09:47:46Z,https://www.adzuna.com/land/ad/5856858613?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=D80C2345205EA107C4F4489F6B15732AF07FB172,Aerospace Technician,1,,76721.42,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjEzIn0.Zg675JbUQJov186RFgqjvKswJ5GSFvsbA2SyDMB2dWM,"Job Description Job Description Job Title: Technician - Aerospace Job Description This role is crucial in the final verification, systems bring-up, and quality delivery of completed UAS airframes. The specialist is responsible for confirming the structural, electrical, and mechanical conformance of each aircraft, performing weight and balance measurements, conducting full system checkouts and engine runs, and preparing/loading aircraft for customer delivery. Responsibilities Work to engineering…",76721.42,5856858613,Adzuna::API::Response::Job,Actalent,Adzuna::API::Response::Company,"['US', 'Alabama', 'Madison County', 'Madison']","Madison, Madison County",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,34.78047,-86.746666,
2026-08-26T09:47:46Z,https://www.adzuna.com/land/ad/5856858611?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=2478CA2658C5E37A805898CEF4A5B7213A28FDD1,"School-Based Registered Nurse (RN) | Waukegan, Illinois",1,,93592.62,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjExIn0.jRY6A1HnZCIe77SNXBPNX8Ix79VEVaT3P_AZ_OpxjuE,"Job Description Job Description Make a meaningful difference in the lives of elementary students as a dedicated school nurse at a vibrant K–6 campus near Waukegan, IL. This full-time, onsite contract role places you at the heart of a welcoming educational community, where you'll play a vital role in supporting student wellness and contributing to a caring school environment. Key Responsibilities: Deliver compassionate, high-quality nursing care to students in grades K–6. Provide specialized sup…",93592.62,5856858611,Adzuna::API::Response::Job,Sunbelt Staffing,Adzuna::API::Response::Company,"['US', 'Illinois', 'Lake County', 'Waukegan']","Waukegan, Lake County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,42.352672,-87.862131,
2026-08-26T09:47:45Z,https://www.adzuna.com/details/5856858606?utm_medium=api&utm_source=abfa41a4,Mechanical Engineering Supervisor,1,full_time,116786.33,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYwNiIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.FqiVCrqUMMhoCn7K4AfjuzJtSNf0ro9hTjHy6qYC7os,"We work alongside the best and brightest to do incredibly cool things you wouldn't believe. At Roush, you're part of building the future. Are you someone that has a passion for providing innovated solutions to complex challenges? Do you want to work someplace where creativity and new ideas are encouraged? If so, then keep reading. We fuse technology and engineering to provide product development solutions to customers in a diverse range of industries. Widely recognized for providing engineering…",116786.33,5856858606,Adzuna::API::Response::Job,ROUSH,Adzuna::API::Response::Company,"['US', 'Michigan', 'Wayne County', 'Allen Park']","Allen Park, Wayne County",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,42.257539,-83.211038,
2026-08-26T09:47:44Z,https://www.adzuna.com/details/5856858599?utm_medium=api&utm_source=abfa41a4,Faculty Physician / Clinician Educator (Chatham Hospital),1,full_time,98913.95,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NTk5In0.sEMoD5KpSC2iBuOo5wx97JwkgRdj5S5F9rYQPHAd0BY,"Position Summary The Department of Family Medicine at the University of North Carolina at Chapel Hill, in association with UNC Health and Chatham Hospital, seeks a Family or Emergency Medicine Physician with broad interests for an exciting clinical position. Clinical time will be focused in staffing the Emergency Department of a teaching hospital located 30 miles outside of Chapel Hill. Chatham Hospital is a 25-bed rural, Critical Access Hospital located in Siler City, NC. This is an amazing op…",98913.95,5856858599,Adzuna::API::Response::Job,UNC-Chapel Hill,Adzuna::API::Response::Company,"['US', 'North Carolina', 'Orange County', 'Chapel Hill']","Chapel Hill, Orange County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,35.967136,-79.040886,
2026-08-26T09:47:44Z,https://www.adzuna.com/land/ad/5856858598?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=411EAFFF2AA3E34C51779672C3060585EBBAD310,RN - Case Manager - Travel,0,,126932.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODU5OCIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.lyKLfscTArEmdQgmWn9o1QmktsTr1hf5dzz5eGIoFt4,"Job Description Job Description Gross Pay (weekly): $2441.0 Taxable Pay (weekly): 1008.0 Non-taxable Pay (weekly): 1433.0 RN - Case Manager - Travel Shift: 08:00 AM to 04:30 PM Location: Torrance, CA Scheduled Hours : 40 \nCompany Description Protouch Staffing is a trusted staffing partner specializing in connecting skilled professionals with top employers. While we originally focused on healthcare staffing, we’ve expanded into legal and other domains to meet evolving workforce needs across ind…",126932.0,5856858598,Adzuna::API::Response::Job,Protouch Staffing,Adzuna::API::Response::Company,"['US', 'California', 'Los Angeles County', 'Torrance']","Torrance, Los Angeles County",Adzuna::API::Response::Location,HR & Recruitment Jobs,Adzuna::API::Response::Category,hr-jobs,33.829187,-118.316971,
2026-08-26T09:47:44Z,https://www.adzuna.com/land/ad/5856858600?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=60A25537F0E063D19F8A23D9C47B8F8AD1B80AE5,Industrial Maintenance Technician 28 To 33 An Hour,1,,42647.82,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODYwMCIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.pPb39fAhahC2P2c9SrD-kIW2j3YFyd1DlTNkDcvHViQ,"Job Description Job Description Industrial Maintenance Technician Location: Euclid, OH Pay: Up to $34/hr  $1.50/hr Shift Differential Shifts Available: 2nd Shift: 1:00 PM - 9:00 PM (Monday-Friday) 3rd Shift: 9:00 PM - 5:00 AM (Monday-Friday) About the Role Our client is seeking an experienced Industrial Maintenance Technician to support production operations through troubleshooting, repair, and preventive maintenance of industrial equipment and facility systems. This position is heavily focused…",42647.82,5856858600,Adzuna::API::Response::Job,Aerotek,Adzuna::API::Response::Company,"['US', 'Ohio', 'Cuyahoga County', 'Cleveland']","Cleveland, Cuyahoga County",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,,,
2026-08-26T09:47:44Z,https://www.adzuna.com/land/ad/5856858597?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=2ECC072DB07F998675EE6ED40A7DCAD11AB112F3,"Travel MedSurg RN in Durant, Oklahoma",1,,23067.85,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NTk3In0.F9uhcXJGIGNu7MKVPEC5pXxEuqdpw0rPkR5ZjfmmfWk,"Job Description Job Description Responsibilities MedSurg RNs provide bedside care for a variety of patients and execute individualized patient assessments to create an individualized plan of care. MedSurg RNs prepare equipment and assist physicians during examination and treatment of patients. MedSurg RN job responsibilities include, but are not limited to: MedSurg RNs prepare, administer, and record prescribed medications Initiate alternative action when adverse symptomology is displayed Chang…",23067.85,5856858597,Adzuna::API::Response::Job,Gifted Healthcare,Adzuna::API::Response::Company,"['US', 'Florida', 'Hillsborough County', 'Durant']","Durant, Hillsborough County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,27.905041,-82.170186,
2026-08-26T09:47:44Z,https://www.adzuna.com/land/ad/5856858603?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=0C218156C96265E7A11A9B509E94705740E27E33,Crew Member,1,,27364.19,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjAzIn0.s4a3ejsq1Tk9UCnvNdu35t2FN6gO-fVA9ufwzu_TnMI,Job Description Job Description JOB DESCRIPTION The Crew Member works productively as part of the restaurant team and performs his or her job responsibilities in such a way that all products the Crew Member makes are of high quality and the customers the Crew Member serves are satisﬁed. The duties and responsibilities described are not a comprehensive list and additional tasks may be assigned from time to time or the scope of the job may change as necessitated by business demands so please disc…,27364.19,5856858603,Adzuna::API::Response::Job,Little Caesars,Adzuna::API::Response::Company,"['US', 'Arizona', 'Greenlee County', 'Duncan']","Duncan, Greenlee County",Adzuna::API::Response::Location,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs,32.72146,-109.105341,
