title,__CLASS__,salary_is_predicted,adref,salary_max,latitude,redirect_url,salary_min,id,description,longitude,created,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.label,category.tag,category.__CLASS__,contract_time,contract_type
"Chef de Cuisine, Southern Italian restaurant",Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTIyIn0.gxlsvjhhT05MmxFhkbwdfJ1K3PMpeMNiX35pTyPnZxg,130000.0,37.928543,https://www.adzuna.com/details/5894182922?utm_medium=api&utm_source=abfa41a4,130000.0,5894182922,"Location - South San Francisco, CA Salary - $125-130k Benefits - MDV, PTO, 401k match *possible relocation assistance for chefs within CA Seeking a chef skilled in Mediterranean cuisine to helm a new opening in the Bay Area. Qualifications has an identity / following / roots in San Francisco has mastered Mediterranean / Southern Italian cuisine comfortable with PR & being the face of the restaurant Responsibilities develop and execute a unique menu in collaboration with the regional chef & VP o…",-120.943179,2026-09-22T13:22:09Z,"['US', 'California']",Adzuna::API::Response::Location,"California, US",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Sous Chef,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTIwIn0.tgPm62_OGrwrZGhlIIy3uC7mZMUPNh5Hge7W-rgXQBk,52000.0,37.556671,https://www.adzuna.com/details/5894182920?utm_medium=api&utm_source=abfa41a4,52000.0,5894182920,"Title: Sous Chef Salary: $52k Bonus: Yes Relo: No Upscale restaurant in the Shenandoah Valley is looking to add a Sous Chef to their team! Requirements: Upscale / high volume restaurant experience Scratch kitchen experience Willing to take and give direction, strong leadership skills Responsibilities: Open / Close restaurant Teach / Train team members Able to run expo, ordering, inventory and scheduling",-78.510684,2026-09-22T13:22:09Z,"['US', 'Virginia']",Adzuna::API::Response::Location,"Virginia, US",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Floor Manager,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTI4In0.h-ka2ScwerazSVJGjpMJwHCx2cmE9nch1hy5ok2Ta5U,70000.0,18.362063,https://www.adzuna.com/details/5894182928?utm_medium=api&utm_source=abfa41a4,70000.0,5894182928,"Location: Plantation Salary: $68 - $70k Benefits: Yes Relo: No A modern taqueria style restaurant is looking to add a Floor Manager to their team! Requirements: * 5  years in a managerial role * Upscale, high volume experience * Strong leadership skills * No job hoppers Responsibilities: * Oversee day to day operations * Preshift, Guest Satisfaction, Scheduling * Assist with service on the floor during service",-66.567142,2026-09-22T13:22:09Z,"['US', 'Florida', 'Florida']",Adzuna::API::Response::Location,Florida,The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Director of Operations,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTI1In0.Iu2HNDKqRn89hK5imLTAhlYovDHa3AZ-zYcbfKOtRqs,175000.0,42.354856,https://www.adzuna.com/details/5894182925?utm_medium=api&utm_source=abfa41a4,175000.0,5894182925,"Location – Boston, MA Salary - $175k Benefits – Bonus, Health benefits, PTO etc. Hiring Director of Operations to oversee multiple full service restaurants. Members only club experience a plus. Qualifications: Tenure that shows stability in prior roles (no job-hoppers) 5 years of dining room management experience in an upscale to fine-dining, high-volume restaurant Proven track record managing large teams and delivering high-level guest experiences in busy environments Strong experience trainin…",-71.066119,2026-09-22T13:22:09Z,"['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Location,"Boston, Suffolk County",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
"Senior Sous Chef - Fine Dining Restaurant - San Diego, CA",Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTE2In0._JozcNMViWXuuUVQM8uiBw2BuO4HYBtsFWDrBBlcFoQ,95000.0,32.726967,https://www.adzuna.com/details/5894182916?utm_medium=api&utm_source=abfa41a4,95000.0,5894182916,"Location: San Diego, CA. Salary: $85K-$95K base, flexible DOE. Benefits: Health insurance stipend, PTO. Modern Chef-Driven Fine Dining Restaurant seeks a Senior Sous Chef to help lead service, production, kitchen systems, and team development. Qualifications: Sous Chef or Senior Sous Chef experience in a high-level, chef-driven restaurant; Michelin experience a plus. Strong fine dining technique with classical foundations and contemporary culinary awareness. Demonstrated management experience w…",-117.164709,2026-09-22T13:22:09Z,"['US', 'California', 'San Diego County', 'San Diego']",Adzuna::API::Response::Location,"San Diego, San Diego County",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Sous Chef,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTE5In0.N523dgnazH8bVhNXxjuZHNy_jqyYJIeZGJrgB0dObnk,80000.0,18.362063,https://www.adzuna.com/details/5894182919?utm_medium=api&utm_source=abfa41a4,80000.0,5894182919,"Location: St. Pete, FL Salary: $70k-$80k Benefits: Health Insurance Relocation: No Thriving restaurant group is looking for a Sous Chef to join the team at their upscale Italian restaurant! Qualifications: 2 years in a supervisory role Upscale restaurant experience High volume experience required Responsibilities: Oversee all BOH operations at a high-volume, Italian dining restaurant concept.",-66.567142,2026-09-22T13:22:09Z,"['US', 'Florida', 'Florida']",Adzuna::API::Response::Location,Florida,The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Assistant General Manager AGM - NYC,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTIxIn0.lzgBXxny1zyU3d8ylv6mCqv1dMsBJ_kig1HZjnzLyjk,120000.0,,https://www.adzuna.com/details/5894182921?utm_medium=api&utm_source=abfa41a4,120000.0,5894182921,"Location : NYC Salary : $100k-$120k Benefits : Medical, PTO, Bonus Nightlife Assistant General Manager needed for a new opening in NYC Requirements: 2 years of AGM experience in high-volume, elevated restaurants 2 years of nightlife experience / 2am service Great personality and passion for hospitality",,2026-09-22T13:22:09Z,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Floor Manager - NYC,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTE1In0.bT8wf5C_IMfGrscJ5-k94YCofNZB07PPHPlnip42rrI,95000.0,,https://www.adzuna.com/details/5894182915?utm_medium=api&utm_source=abfa41a4,95000.0,5894182915,"Location : NYC Salary : $85k-$95k Benefits : Yes Nightlife Floor Manager needed for a new opening in NYC Requirements: 2 years of Restaurant Management experience in high-volume, elevated restaurants 2 years of nightlife experience / 2am service Great personality and passion for hospitality",,2026-09-22T13:22:09Z,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Kitchen Manager,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTIzIn0.JFOeSrFvyw9qSi2-pLdp3E_adLJFTZe5nrzEFvruksY,90000.0,,https://www.adzuna.com/details/5894182923?utm_medium=api&utm_source=abfa41a4,90000.0,5894182923,"Location - New York, NY Salary - 75000-90000 Benefits - 10 days PTO; 401(k) with no employer match; $93.25 weekly health stipend An established full-service restaurant in New York City is seeking a hands-on Kitchen Manager to lead daily BOH operations. This opportunity combines active line cooking, team leadership, and operational accountability in a scratch kitchen with an established menu. The manager will work closely with ownership and develop the independence to oversee the kitchen when th…",,2026-09-22T13:22:09Z,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Director of Security,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTI0In0.ByWIXZqJfgcXMsmHUO7t5IVdvvzO_jhxb9sPvjgjz8E,125000.0,37.928543,https://www.adzuna.com/details/5894182924?utm_medium=api&utm_source=abfa41a4,125000.0,5894182924,"Location: Beverly Hills, CA Salary: $100-125K Benefits: M/D/V, PTO Lead security and safety operations at the Forbes-rated luxury hotel in Beverly Hills, CA, overseeing property safety, emergency response, investigations, and team development. Qualifications: - 2 years of Director-level security experience - Forbes luxury hotel background preferred - Strong knowledge of safety, security, emergency response, and OSHA compliance Responsibilities: - Lead all hotel safety and security operations, i…",-120.943179,2026-09-22T13:22:09Z,"['US', 'California']",Adzuna::API::Response::Location,"California, US",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Chef De Cuisine,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTI2In0.wzjydFmcF8Xuhu0YcgJHGu-ivVDaM1Jyvk0MCrmE_XM,85000.0,40.81926,https://www.adzuna.com/details/5894182926?utm_medium=api&utm_source=abfa41a4,85000.0,5894182926,"Location - Philadelphia, PA Salary - $75-85k Benefits: M/D/V Seeking a hands-on Chef de Cuisine to work directly under the Executive Chef and oversee the day-to-day operations of the restaurant Qualifications experience as a Chef de Cuisine or senior kitchen leadership role in a high-volume, high-quality restaurant extensive experience in from-scratch kitchens strong from-scratch pasta experience high energy, creative, hard-working, and not afraid to jump in with the team Responsibilities overs…",-77.565308,2026-09-22T13:22:09Z,"['US', 'Pennsylvania']",Adzuna::API::Response::Location,"Pennsylvania, US",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
General Manager,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTMwIn0.k7gplNoOOJwiUxMIAM65yk_30k2-f5bq4slZHhUBV6Q,110000.0,18.362063,https://www.adzuna.com/details/5894182930?utm_medium=api&utm_source=abfa41a4,110000.0,5894182930,"Location: Coral Springs & Plantation Salary: $80-$90k Benefits: Yes Relo: No A modern taqueria style restaurant is looking to add a General Manager to their team! Requirements: * 5  years in a managerial role * Upscale, high volume experience * Strong leadership skills * No job hoppers Responsibilities: * Oversee day to day operations * Preshift, Guest Satisfaction, Scheduling * Assist with service on the floor during service",-66.567142,2026-09-22T13:22:09Z,"['US', 'Florida', 'Florida']",Adzuna::API::Response::Location,Florida,The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Project Manager - Federal Construction,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyODkyIn0.NaILyMxpMs-fxfIvZ5xj5bHhxkg0QCePQAD9_w21LtU,130000.0,34.097142,https://www.adzuna.com/details/5894182892?utm_medium=api&utm_source=abfa41a4,80000.0,5894182892,"Electrical Project Manager This is a full-time permanent direct placement opportunity. Overview: Our client is seeking an experienced Construction Project Manager with Government sector experience to join their team as an Electrical Project Manager, and are willing to train you on any electrical specific items as needed. As an Electrical Project Manager, you will be responsible for managing a wide range of construction projects from start to finish. Our ideal candidate should have excellent man…",-117.294064,2026-09-22T13:22:07Z,"['US', 'California', 'San Bernardino County', 'San Bernardino']",Adzuna::API::Response::Location,"San Bernardino, San Bernardino County",Blueprint Staffing,Adzuna::API::Response::Company,Trade & Construction Jobs,trade-construction-jobs,Adzuna::API::Response::Category,full_time,permanent
Construction BIM Manager - OCONUS,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4Mjg5MSIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.Jp1qQLTs9Xpr-um_lS5AMEQfJClpkH8X-xrdTluD3Cg,154000.0,,https://www.adzuna.com/details/5894182891?utm_medium=api&utm_source=abfa41a4,126000.0,5894182891,"Job Title: OCONUS BIM Manager This is a full-time permanent direct placement opportunity. Company Overview: Our client is an industry leader in delivering complex construction projects around the globe. They pride themselves on their commitment to quality, safety, and innovation while providing customized solutions to meet their clients' unique needs. The estimated pay range for this role is $126,000 - $154,000 based on experience and does include the OCONUS premium. This role requires a minimu…",,2026-09-22T13:22:07Z,"['US', 'Washington, D.C.', 'Washington']",Adzuna::API::Response::Location,"Washington, Washington, D.C.",Blueprint Staffing,Adzuna::API::Response::Company,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,full_time,permanent
Construction Superintendent,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4Mjg5NSIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.sAJphz8Z8Zae4QhlHU934vPy-O41kj983DRdtaJ6tiM,150000.0,,https://www.adzuna.com/details/5894182895?utm_medium=api&utm_source=abfa41a4,130000.0,5894182895,"Job Title: Construction Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a leading commercial general contracting firm committed to delivering high-quality construction projects on time and within budget. Their dedicated team focuses on safety, innovation, and collaboration, ensuring that every project not only meets but exceeds client expectations. They take pride in fostering strong relationships within their community and maintaining …",,2026-09-22T13:22:07Z,"['US', 'Washington, D.C.', 'Washington']",Adzuna::API::Response::Location,"Washington, Washington, D.C.",Blueprint Staffing,Adzuna::API::Response::Company,Trade & Construction Jobs,trade-construction-jobs,Adzuna::API::Response::Category,full_time,permanent
Construction BIM Manager - OCONUS,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyODk0In0.tmMuiwNRIVhCGORPISeJB6eGMuMxzBeYQmOVLC2Tw7g,154000.0,30.423724,https://www.adzuna.com/details/5894182894?utm_medium=api&utm_source=abfa41a4,126000.0,5894182894,"Job Title: OCONUS BIM Manager This is a full-time permanent direct placement opportunity. Company Overview: Our client is an industry leader in delivering complex construction projects around the globe. They pride themselves on their commitment to quality, safety, and innovation while providing customized solutions to meet their clients' unique needs. The estimated pay range for this role is $126,000 - $154,000 depending on experience, and does include the overseas premium. This role requires a…",-87.226997,2026-09-22T13:22:07Z,"['US', 'Florida', 'Escambia County', 'Pensacola']",Adzuna::API::Response::Location,"Pensacola, Escambia County",Blueprint Staffing,Adzuna::API::Response::Company,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,full_time,permanent
Member Services Team Lead (Office-based | SM North),Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4Mjg2OSIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.tF6DYOIRswJMaqyaz14jRTwWTvbUMaf7JZoHRTCfywg,99161.88,,https://www.adzuna.com/details/5894182869?utm_medium=api&utm_source=abfa41a4,99161.88,5894182869,"About Us: Outsourced is a leading Philippines outsourcing company providing dedicated remote staff and offshore staffing services. We specialise in providing staff of the highest quality who will continue to exceed your expectations and provide benchmark offshore solutions to your business. With Outsourced you can scale your organisation quickly, easily and cost effectively with dedicated remote staff based in our modern offices in Manila. Responsibilities: Scope: First-line leadership; manages…",,2026-09-22T13:21:58Z,['US'],Adzuna::API::Response::Location,US,Outsourced,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,full_time,permanent
