adref,description,__CLASS__,id,salary_max,latitude,salary_is_predicted,salary_min,redirect_url,created,longitude,title,category.tag,category.label,category.__CLASS__,location.__CLASS__,location.area,location.display_name,company.display_name,company.__CLASS__,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzMzOTk3In0.cDBj6s7WV_D9I9S89arpTeib5BKnQjSK2RYPXCgEzxs,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825733997,97000.0,39.088547,0,88000.0,https://www.adzuna.com/details/5825733997?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.81154,Class A CDL Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Geary County', 'Junction']","Junction, Geary County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDA2In0.3UsRp4q9G_tX0ESpfPqnqMEG-SKylWDpLahglzJcdDE,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734006,103273.63,39.088547,1,103273.63,https://www.adzuna.com/details/5825734006?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.81154,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Geary County', 'Junction']","Junction, Geary County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDc3In0.t5TkCvJtJgQnydhencjzE3APLlC06Vi2PxjmniWDM34,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734077,110867.78,38.590214,1,110867.78,https://www.adzuna.com/details/5825734077?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-97.676424,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'McPherson County', 'Lindsborg']","Lindsborg, McPherson County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MTAyIn0.A02EUvgM3JmTBMNeIYrk5MsTJsGoHqqBJTTwrgPp-Iw,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734102,97000.0,42.18114,0,88000.0,https://www.adzuna.com/details/5825734102?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-91.49136,CDL-A Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Iowa', 'Linn County', 'Waubeek']","Waubeek, Linn County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDMxIn0.BaqKMVFJSF9Mt4hEWeIS7AMmz5rob3QmG1i3L-4Li18,"As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offers consistency, predictability, and a better day-to-day driving e…",Adzuna::API::Response::Job,5825734031,65429.59,38.22588,1,65429.59,https://www.adzuna.com/land/ad/5825734031?se=Yp5FToCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=5A40F8DFA00D5B2F953B219D5A91DE39F557069B,2026-08-02T10:13:14Z,-87.44508,Local CDL Truck Driver,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Indiana', 'Gibson County', 'Buckskin']","Buckskin, Gibson County",Lazer Logistics,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDA4In0.N7emhFpC2TVILO52kgmP7WGqlhYG2s_TvJfncg73V2k,"If you are looking for a CDL job that offers consistency, predictability, and a better day-to-day driving experience, this is it!As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when you…",Adzuna::API::Response::Job,5825734008,52430.1,39.65626,1,52430.1,https://www.adzuna.com/land/ad/5825734008?se=Yp5FToCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=81AECB76189A5EFBDE78E1D4A65089243B913174,2026-08-02T10:13:14Z,-85.99759,Local CDL A Yard Driver,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Indiana', 'Marion County', 'Acton']","Acton, Marion County",Lazer Logistics,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDQ5In0.xOc_BuW4gX2ZYww9Krokc4DxT8nkTRIO1Xh3-5XX7MA,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734049,97000.0,39.21031,0,88000.0,https://www.adzuna.com/details/5825734049?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.30494,Class A CDL Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Pottawatomie County', 'Wamego']","Wamego, Pottawatomie County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDU5In0.KZL8rMVgWlbtjKyVNMVpZsW_GB5e3ErZ2UT5TqJwLO8,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734059,97000.0,39.137399,0,88000.0,https://www.adzuna.com/details/5825734059?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-94.932929,Class A CDL Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Leavenworth County', 'Basehor']","Basehor, Leavenworth County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczNDA2NSIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.Au5Us1qYM2mVUGLBay6GHREVp7F49mWlVfrbSRUo0L4,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734065,97000.0,39.191199,0,88000.0,https://www.adzuna.com/details/5825734065?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-95.547149,CDL-A Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Jefferson County', 'Meriden']","Meriden, Jefferson County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzMzOTk5In0.PJ32TOtKW_-z4J7M56Zc6udXmsVDHKtuDfxjzOd1l7I,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825733999,122525.33,37.022475,1,122525.33,https://www.adzuna.com/details/5825733999?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-93.214022,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Missouri', 'Christian County', 'Ozark']","Ozark, Christian County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczMzk5MiIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.WpDq-aTOzLhD8ZKYitMeNbmfTgI2i6elm-tGjg-6hPk,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825733992,100808.41,39.137399,1,100808.41,https://www.adzuna.com/details/5825733992?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-94.932929,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Leavenworth County', 'Basehor']","Basehor, Leavenworth County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzMzOTg0In0.A9sOKGEkjfMDQT11ehw_mDMf1puSjBLxXKXK1I9IgZ4,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825733984,113690.31,36.73788,1,113690.31,https://www.adzuna.com/details/5825733984?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.0054,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Oklahoma', 'Washington County', 'Bartlesville']","Bartlesville, Washington County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDk1In0.1krfZoSFoqfkHkNWxnkCdhdNtmh5QgitJXToDV7j5bE,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734095,97000.0,40.707419,0,88000.0,https://www.adzuna.com/details/5825734095?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-99.107597,Class A CDL Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Nebraska', 'Buffalo County', 'Riverdale']","Riverdale, Buffalo County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczNDA4MCIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.nX98bV-bBAsRE49PIeLmdusmUQosP023Xs7Wt_wt1zk,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734080,97000.0,38.590214,0,88000.0,https://www.adzuna.com/details/5825734080?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-97.676424,Class A CDL Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'McPherson County', 'Lindsborg']","Lindsborg, McPherson County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDQ2In0.7H_ZlkdpeAeai8vvai8-hkbLQaN2GK1JAvp1TJB4L8c,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734046,109161.22,39.21031,1,109161.22,https://www.adzuna.com/details/5825734046?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.30494,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Pottawatomie County', 'Wamego']","Wamego, Pottawatomie County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDEyIn0.08wGIwN9Y9ukrRGn1V6CzAlkE2zkx0EhbP4Wy_Un6Cc,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734012,123877.79,41.358096,1,123877.79,https://www.adzuna.com/details/5825734012?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-85.047321,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Indiana', 'DeKalb County', 'Norland Park']","Norland Park, DeKalb County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczNDAxNCIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.k6Q4jTugwxPPqnDIfM0x7DPHMLFp6bXcmX9QLXfa9go,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734014,97000.0,39.115367,0,88000.0,https://www.adzuna.com/details/5825734014?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-95.076486,CDL-A Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Leavenworth County', 'Tonganoxie']","Tonganoxie, Leavenworth County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDUwIn0.sbBMFwy61OhOR-XwdT9j_tW5I4Imux0pjqMBMqyAVIg,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734050,162401.12,48.0596,1,162401.12,https://www.adzuna.com/details/5825734050?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-122.1531,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Washington', 'Snohomish County', 'Marysville']","Marysville, Snohomish County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczMzk5MSIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.a4Nca95hOKiSdAzJKfaAagZl_b7BltV5RceyIFOzusI,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825733991,97000.0,38.409332,0,88000.0,https://www.adzuna.com/details/5825733991?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-96.187346,CDL-A Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Lyon County', 'Emporia']","Emporia, Lyon County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDkxIn0.5QUNha4M4F4lNUwRs3y9xVY5rwn2IZ_R_5-H48dPhvI,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734091,97000.0,37.119476,0,88000.0,https://www.adzuna.com/details/5825734091?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-113.600689,CDL-A Company Driver - 6mo EXP Required - Regional - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Utah', 'Washington County', 'Santa Clara']","Santa Clara, Washington County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczNDAxOSIsInMiOiJZcDVGVG9DTzhSR0dnT19uMHJtZGlRIn0.fcx5lJW93o04ntXwbU-H1EYVpRphL86QdoqeR5Du9oU,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734019,116688.25,37.119476,1,116688.25,https://www.adzuna.com/details/5825734019?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-113.600689,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Utah', 'Washington County', 'Santa Clara']","Santa Clara, Washington County",Hill Bros.,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXA1RlRvQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM0MDI1In0.75ATTrNrLwJ9TZQJ-uhlHEmxIpICFYgyd3q3VslecgU,"Hiring CDL-A Drivers | Earn $85K-$95K Per Year | Home Weekly. Home Weekly - Regional - Touch the House During the week too! Details: NEW PAY RAISE - $0.65 CPM  $.06 Prod bonus  $.01 Safety bonus. $88,000 to $97,000 per year 2200-2800 miles per week Run for 6 to 8 days, take your 34 to 48 at home. Home every week! Want to make more money? – Stay out longer! – We have the miles! Nothing further west than Denver, East to Indy, Southeast to Atlanta, South to Dallas. NO COASTS! Live near Chicago, IL…",Adzuna::API::Response::Job,5825734025,119005.04,39.07118,1,119005.04,https://www.adzuna.com/details/5825734025?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:13:14Z,-94.907523,Regional Truck Driver Company - 6mo EXP Required - $88k - $97k per year - Hill Bros.,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Kansas', 'Wyandotte County', 'Bonner Springs']","Bonner Springs, Wyandotte County",Hill Bros.,Adzuna::API::Response::Company,full_time,
