adref,longitude,salary_max,__CLASS__,latitude,salary_is_predicted,salary_min,created,title,description,redirect_url,id,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjMzIn0.rE4x_7W36CyfWJZC1plHtHIG1FlsabmVYs91Q1Lq5W8,-83.59254,54721.98,Adzuna::API::Response::Job,32.62212,1,54721.98,2026-06-03T13:58:14Z,PROGRAM ANALYST with Security Clearance,"Duties * Plans, organizes, and coordinates the planning, programming and budget activities of the detachment, ensuring compliance with legal and regulatory requirements to meet Air Force and MAJCOM requirements. * Actively participates in strategic planning to improve organizational direction and focus strategic resource planning tools and techniques. * Prepares and delivers oral presentations such as briefings, training sessions, consultations and strategy sessions with other staff service fun…",https://www.adzuna.com/land/ad/5750810233?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=997E44EE47E69901F0F8B14DC2D6B603822C46CB,5750810233,"['US', 'Georgia', 'Houston County', 'Robins Air Force Base']",Adzuna::API::Response::Location,"Robins Air Force Base, Houston County",Department of the Air Force,Adzuna::API::Response::Company,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIzNyIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.I2hzkQ8BmSge4OIlR86hl_YJMULXvKctPItCz-5mBfk,-85.3989,92404.0,Adzuna::API::Response::Job,31.25424,0,0.0,2026-06-03T13:58:14Z,"Travel Medical-Surgical RN - $1,777 per week","Coast Medical Service is seeking a travel nurse RN Med Surg for a travel nursing job in Dothan, Alabama. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Coast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is featured on Blue Pipes' 2023 Bes…",https://www.adzuna.com/land/ad/5750810237?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=7EEFC3CCFDB5FB8B6EAFE1A57F0966E8BA05DF37,5750810237,"['US', 'Alabama', 'Houston County', 'Kelly Springs']",Adzuna::API::Response::Location,"Kelly Springs, Houston County",Coast Medical Service,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIzMiIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.H8BLEZJcZnxp1InGX8p_BqrAckIoTzskSj-ywuTE3Yc,-120.574228,124488.0,Adzuna::API::Response::Job,46.556947,0,0.0,2026-06-03T13:58:14Z,"Travel Emergency Department Registered Nurse - $2,394 per week","GHR Healthcare is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Yakima, Washington. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 06/29/2026 Duration: 12 weeks 36 hours per week Shift: 12 hours Employment Type: Travel GHR Healthcare Job ID 77984327. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. About GHR Healthcare For over 30…",https://www.adzuna.com/land/ad/5750810232?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=758C193A8C46F00FCD7639DBCA66BF7FF32773F5,5750810232,"['US', 'Washington', 'Yakima County', 'Ahtanum']",Adzuna::API::Response::Location,"Ahtanum, Yakima County",GHR Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIzNSIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.fFuaCUJFL6Eo0zTEUWcOlYU8IPVvUxK7B0Y2x5eC92o,-104.817288,124000.71,Adzuna::API::Response::Job,38.78023,1,124000.71,2026-06-03T13:58:14Z,Overhead Persistent Infrared (OPIR) Instructor with Security Clearance,"Overhead Persistent Infrared (OPIR) Instructor Blackstone Talent Group, an award-winning technology consulting and talent agency, is seeking an Overhead Persistent Infrared (OPIR) Instructor to join our Client's team. This position will develop, implement, validate, and maintain training and course material at the 319th Combat Training Squadron (CTS), Peterson SFB CO for the Spacepower Discipline 2 (SPD2) – MW/MD course and other courses, as assigned. What you will be doing: * Design and develo…",https://www.adzuna.com/land/ad/5750810235?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=B4805642D03D65B72FBE9709C19820D8D844A196,5750810235,"['US', 'Colorado', 'El Paso County', 'Stratmoor Hills']",Adzuna::API::Response::Location,"Stratmoor Hills, El Paso County",Blackstone Talent Group,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIzMSIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.WVWx2XQVoi13zQLPMsXwLaNMHZED7TfQA7vEp6GPXuY,-84.01314,162000.95,Adzuna::API::Response::Job,39.81126,1,162000.95,2026-06-03T13:58:14Z,Chief Information Security Officer with Security Clearance,"CHIEF INFORMATION SECUTIY OFFICER DEFTEC delivers mission-critical solutions through skillfully delivered services and innovative products. We are inspired by our clients' critical missions and driven to provide the most effective solutions to execute their missions, operational challenges, and requirements. Our dedicated, experienced, and talented employees work closely with our clients to ensure the delivery of exceptional services and products. POSITION OVERVIEW The Chief Information Securit…",https://www.adzuna.com/land/ad/5750810231?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=FB8B799272294157D545B30AA61C7AF66EE9B161,5750810231,"['US', 'Ohio', 'Greene County', 'Fairborn']",Adzuna::API::Response::Location,"Fairborn, Greene County",DEFTEC Corporation,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjM0In0.2IRRcbzmKtwUz2s9whOMlG1OD0qs-sCTket_2Lgyn3Y,-85.77405,105300.0,Adzuna::API::Response::Job,38.24465,0,0.0,2026-06-03T13:58:14Z,"Travel MRI Technologist - $2,025 per week","Uniti Med is seeking a travel MRI Technologist for a travel job in Louisville, Kentucky. Job Description & Requirements Specialty: MRI Technologist Discipline: Allied Health Professional Start Date: 06/15/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Benefits: Day 1 Insurance Cigna medical, MetLife dental and vision insurance License reimbursement for new licenses needed for each assignment Discounts with hotels and rental cars A dedicated recruiter and…",https://www.adzuna.com/land/ad/5750810234?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=7C187337C162C6A21261EC592F4C420DD9F8CFD0,5750810234,"['US', 'Kentucky', 'Jefferson County', 'Louisville']",Adzuna::API::Response::Location,"Louisville, Jefferson County",Uniti Med,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIyMCIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.p-bHoF1ip-_ZccQAVa4QRdfEWc4lLnxjyXggprO2xPg,-123.821153,135928.0,Adzuna::API::Response::Job,46.969107,0,0.0,2026-06-03T13:58:12Z,"Travel ICU/CCU Registered Nurse - $2,614 per week","LanceSoft is seeking a travel nurse RN CCU - Coronary Care for a travel nursing job in Aberdeen, Washington. Job Description & Requirements Specialty: CCU - Coronary Care Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Job id:296842 Shift Details Shift: Nights, 6:45 PM – 7:15 AM Contract Duration: 13 Weeks Hours: 36 Hours per Week Shift Length: 12 Hours Required Skills & Qualifications Recent Critical Care/ICU experience…",https://www.adzuna.com/land/ad/5750810220?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=D7C594A0A20137DC3B783AD4CDAA8C157675D9B4,5750810220,"['US', 'Washington', 'Grays Harbor County', 'Bench Drive']",Adzuna::API::Response::Location,"Bench Drive, Grays Harbor County",LanceSoft,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjI1In0.zz6PNCc0wBqM6g_-3zNmcvRLs-jW3WagnDZPaegqj-g,-71.051661,155116.0,Adzuna::API::Response::Job,42.410776,0,0.0,2026-06-03T13:58:12Z,"Travel Nurse RN - PACU - Post Anesthesia Care - $2,983 per week","Trustaff is seeking a travel nurse RN PACU - Post Anesthesia Care for a travel nursing job in Everett, Massachusetts. Job Description & Requirements Specialty: PACU - Post Anesthesia Care Discipline: RN Start Date: 06/23/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, rotating Employment Type: Travel Also known as recovery room nurses, post-anesthesia care unit or PACU nurses care for patients who are recovering from anesthesia after surgery. They monitor post-operation vital signs, …",https://www.adzuna.com/land/ad/5750810225?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=6F0D9788B062EF0CCECECEE5916D22ED22C1385C,5750810225,"['US', 'Massachusetts', 'Middlesex County', 'Everett']",Adzuna::API::Response::Location,"Everett, Middlesex County",Trustaff,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIyMyIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.jttWyCRMOOGD6hmE7Byw4F7r2PYOPXDzOlaLiNOrGMk,-119.8225,115180.0,Adzuna::API::Response::Job,39.5387,0,0.0,2026-06-03T13:58:12Z,"Travel NICU Registered Nurse - $2,215 per week","TNAA TotalMed RN is seeking a travel nurse RN NICU - Neonatal Intensive Care for a travel nursing job in Reno, Nevada. Job Description & Requirements Specialty: NICU - Neonatal Intensive Care Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel We're looking for Neonatal Intensive Care Unit RNs for an immediate travel nurse opening in Reno, NV. The right RN should have 1-2 years' recent acute care experience. Read below for m…",https://www.adzuna.com/land/ad/5750810223?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=E710340ABE3874CCCD310796CE627BE3518EEB4C,5750810223,"['US', 'Nevada', 'Washoe County', 'Sierra']",Adzuna::API::Response::Location,"Sierra, Washoe County",TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIwNCIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.id3o6lUru8EM2Nel4DKdHukDL_n6WNbxU3odd_jfSXk,-88.373043,111384.0,Adzuna::API::Response::Job,39.481943,0,0.0,2026-06-03T13:58:11Z,"Travel Registered Nurse – Med Surg - $2,142 per week","PRN Healthcare is seeking a travel nurse RN Med Surg for a travel nursing job in Mattoon, Illinois. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 06/15/2026 Duration: 8 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel PRN Healthcare Job ID 1542310. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: M/S RN About PRN Healthcare Our story starts …",https://www.adzuna.com/land/ad/5750810204?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=1A7F7850E6F1B665FD5397DEA9A40FD15458F2C1,5750810204,"['US', 'Illinois', 'Coles County', 'Mattoon']",Adzuna::API::Response::Location,"Mattoon, Coles County",PRN Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjA5In0.pZxTc6BXdqreWqsIk--8sP7oZHUP9dwhqfgRfZdM8GU,-92.586,126412.0,Adzuna::API::Response::Job,34.782,0,0.0,2026-06-03T13:58:11Z,"Travel Nurse RN - PICU - Pediatric Intensive Care - $2,431 per week","TNAA TotalMed RN is seeking a travel nurse RN PICU - Pediatric Intensive Care for a travel nursing job in Little Rock, Arkansas. Job Description & Requirements Specialty: PICU - Pediatric Intensive Care Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel We're looking for Pediatric Intensive Care Unit RNs for an immediate travel nurse opening in Little Rock, AR. The right RN should have 1-2 years' recent acute care experienc…",https://www.adzuna.com/land/ad/5750810209?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=22371C3D1D9D433D8376F19E3CAE83FF01108D45,5750810209,"['US', 'Arkansas', 'Pulaski County', 'Northpoint']",Adzuna::API::Response::Location,"Northpoint, Pulaski County",TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDIxMCIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.-7HJuZmk1mjTY6t2wt4HFc0YVX9566y4MA9fMSg36tI,-71.05,116636.0,Adzuna::API::Response::Job,42.34,0,0.0,2026-06-03T13:58:11Z,"Travel Ultrasound Technologist - $2,243 per week","AHS Staffing is seeking a travel Ultrasound Technologist for a travel job in Boston, Massachusetts. Job Description & Requirements Specialty: Ultrasound Technologist Discipline: Allied Health Professional Start Date: 07/06/2026 Duration: 12 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel AHS Staffing is looking for a Echo Ultrasound Technologist in Boston, MA for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak with a recruit…",https://www.adzuna.com/land/ad/5750810210?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=788D79079529C5274E6654C3EDCBF4A80B5602CF,5750810210,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",Adzuna::API::Response::Location,"South Boston, Suffolk County",AHS Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
