description,created,contract_time,redirect_url,title,salary_min,longitude,salary_max,adref,salary_is_predicted,__CLASS__,latitude,id,category.label,category.__CLASS__,category.tag,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,contract_type
"Determining compensation for this role (and others) at Vaco/Highspring depends upon a wide array of factors including but not limited to the individual’s skill sets, experience and training, licensure and certifications, office location and other geographic considerations, as well as other business and organizational needs. With that said, as required by local law in geographies that require salary range disclosure, Vaco/Highspring notes the salary range for the role is noted in this job postin…",2026-05-21T12:19:36Z,,https://www.adzuna.com/land/ad/5736557757?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=72A574D1F1A93335D4ECB7A903B4E5738A1FA345,BI Engineer,160007.8,-82.36277,160007.8,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWpLa0h6RlY4Ukd3TS1keVJQdW5tZyIsImkiOiI1NzM2NTU3NzU3In0.NXFbKL36EQ41Yv5nYgSoZJX1bU4EEG6CnNT54nE5omc,1,Adzuna::API::Response::Job,28.1164,5736557757,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,Vaco by Highspring,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Florida', 'Hillsborough County', 'Tampa Palms']","Tampa Palms, Hillsborough County",
"Our government client is looking for experienced Scrum Master on an onsite 12 months renewable contract opportunity in Columbia , SC. Role: Scrum Master Scope of the project: The agency is seeking an experienced scrum master to guide daily activities. As a Scrum master, you will facilitate and coordinate Agile Scrum processes within our organization, ensuring the team can work collaboratively and efficiently to deliver high- quality solutions. This position is responsible for removing impedimen…",2026-05-21T12:19:36Z,,https://www.adzuna.com/land/ad/5736557758?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=37CE19803A3C3C25F40C6F1A90A1182D042D983B,Scrum Master,111399.73,-81.09226,111399.73,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc1OCIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.k0YDbcNPCrtsVx8W5MIw9ikhCFeL9hurBDf6hg1oJdk,1,Adzuna::API::Response::Job,33.901568,5736557758,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Vector Consulting, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Lexington County', 'Pineridge']","Pineridge, Lexington County",
job summary: Enterprise Healthcare client has an immediate opening for a highly motivated Lead Site Reliability Engineer to join their dynamic and growing team. All qualified candidates are encouraged to apply! location: Telecommute job type: Contract salary: $65 - 75 per hour work hours: 8am to 5pm education: Bachelors responsibilities: Responsibilities: Leads team to identify problems with systems and services and drives regular deployment of new versions of the systems and their subcomponent…,2026-05-21T12:19:36Z,,https://www.adzuna.com/land/ad/5736557769?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=C48986A4AC5DFC999AD6197892CF949AFD1E0687,Lead Site Reliability Engineer,80089.9,-72.58916,80089.9,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc2OSIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.DTGhS2doNAYT2UsOo-Ah4LCDBMZuIheasEK8ERuonZg,1,Adzuna::API::Response::Job,44.25718,5736557769,IT Jobs,Adzuna::API::Response::Category,it-jobs,Randstad Digital,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Vermont', 'Washington County', 'Montpelier']","Montpelier, Washington County",
"Hi Please find my direct client job requirement for your consideration. Title: Oracle Fusion Cloud ERP/EPM/SCM Analyst Locations: Remote Duration : 06 Months About the role: This role will be heavily engaged in Oracle Fusion Cloud ERP, Enterprise Performance Management (EPM), and Supply Chain Management (SCM) and testing support activities. Key Responsibilities Oracle ERP / EPM / SCM Support Provide functional, operational, and project support Oracle Fusion Cloud EPM modules including Planning,…",2026-05-21T12:19:34Z,,https://www.adzuna.com/land/ad/5736557751?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=974DDE1BEC7605B64ED3CD1C357F20221DB947F6,Oracle Fusion Cloud ERP/EPM/SCM Analyst - Remote,183854.78,,183854.78,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc1MSIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.gpAeuoivD0kazImNgtE1oCLxxvuDicQ3vK8mnPNXgLA,1,Adzuna::API::Response::Job,,5736557751,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Serenity Info Tech, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
"Job Description: •Looking for a functional lead for the Guidewire application with a 100% focus on Billing Domain. This resource needs to be very well versed with Billing Functionality, be able to have conversations with the client around guidewire features and workflows, perform defect triage, do impact analysis, oversee estimates for changes requested in the system, and support client UAT. “Taras Technology, LLC is an EEO/AA Employer: women, minorities, the disabled and veterans are encourage…",2026-05-21T12:19:34Z,,https://www.adzuna.com/land/ad/5736557750?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=F7C4D40C1B3E6B39B3FAC7C5B715E3F7E2B33BAC,"Remote, Guidewire Billing Functional Lead- Only W2",58207.77,,58207.77,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc1MCIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.ChFTTwdnrKrVHbYJNVe--G_SkJRGiehfle_oKZAqaJo,1,Adzuna::API::Response::Job,,5736557750,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,Taras Technology LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
"Enterprise Project Manager - Consultant (Scrum Master) 301 Gervais Street Columbia, SC 29201 Contract Scope of the project: The South Carolina department of administration division of enterprise applications is seeking an experienced scrum master to guide daily activities. As a Scrum master, you will facilitate and coordinate Agile Scrum processes within our organization, ensuring the team can work collaboratively and efficiently to deliver high-quality solutions. This position is responsible f…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557746?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=5918987DE3A5631869BFCA36B760710FC6B22258,Scrum Master,92919.91,-81.08986,92919.91,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWpLa0h6RlY4Ukd3TS1keVJQdW5tZyIsImkiOiI1NzM2NTU3NzQ2In0.SfHTSmAPMvAdHzI6TDene0-NuO7uLjYE_fCGPJ7RcD0,1,Adzuna::API::Response::Job,33.92034,5736557746,IT Jobs,Adzuna::API::Response::Category,it-jobs,SmartIMS Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Lexington County', 'Pineridge']","Pineridge, Lexington County",
"Job Title: AI Engineer Location: Boston, MA – 4 days/week onsite-locals only with DL copy Pay rate: Senior Level - $70/hr c2c Senior Level – 15 yrs Visa: H1B F2F Interview is required Job Description: This role focuses on developing AI applications powered by large language models (LLMs), retrieval-augmented generation (RAG), Model Context Protocol (MCP) servers, and Agentic AI across the enterprise. Need someone with Langchain/LangGraph exp. Seeking a highly skilled AI Engineer to design and b…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557733?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=27635D45DD5CF6B3D2E65DECA1C385C098C875AF,Sr AI Engineer,134338.36,-71.05,134338.36,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWpLa0h6RlY4Ukd3TS1keVJQdW5tZyIsImkiOiI1NzM2NTU3NzMzIn0.grQpibl1F10eoAQhF1IdC4YnS6FDc0usVOgtCbpn1eg,1,Adzuna::API::Response::Job,42.34,5736557733,IT Jobs,Adzuna::API::Response::Category,it-jobs,Zensark Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']","South Boston, Suffolk County",
"Will close to submissions on May 29th, 2026, 5:00PM EST. Interview Process: One Round of Virtual Interviews Duration of the Contract: 12 Months Possibility for Extension: Yes Work Location: Fully Onsite. No remote work allowed. Candidate location: Candidate MUST be a SC resident or willing to relocate to SC prior to starting the role at their own expense. Daily Duties / Responsibilities: Facilitate Scrum activities such as daily stand-up meetings, sprint planning, sprint review, and sprint retr…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557741?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=5C0A280165AF5911E76EA3A67AF72921C290707D,Senior Scrum Master (LEAD) - Must have CSM Certification - Required LOCAL to South Carolina or Nearby states with any state experience,123633.72,-81.08986,123633.72,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWpLa0h6RlY4Ukd3TS1keVJQdW5tZyIsImkiOiI1NzM2NTU3NzQxIn0.eoy7fK5mRyibCYO2jHoEDhe_obWBgrwX1QZxm8Ki-l4,1,Adzuna::API::Response::Job,33.92034,5736557741,IT Jobs,Adzuna::API::Response::Category,it-jobs,RICEFW Technologies Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Lexington County', 'Pineridge']","Pineridge, Lexington County",
"Job Title: System Administrator (Windows/Linux) Location: Naperville, IL (Local Candidates Only) Experience: 6–8 Years Duration: Long Term Contract Required Skills: Hands-on experience in Windows/Linux OS installation and upgrades Experience in application installation and version management Patch updates and vulnerability remediation Server certificate installation and renewal Knowledge of security policies and server monitoring Monitor CPU, memory, disk usage, and application logs Strong Unix…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557744?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=D3F346D9F149ACF2936BCCF36F4FE856C1A1CD2D,System Administration,122668.55,-88.1997,122668.55,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWpLa0h6RlY4Ukd3TS1keVJQdW5tZyIsImkiOiI1NzM2NTU3NzQ0In0.C2j1SzP9BnCIOFZBJUuwZJ5BJc8oU0D4VxPx1ZcBRxw,1,Adzuna::API::Response::Job,41.7105,5736557744,IT Jobs,Adzuna::API::Response::Category,it-jobs,Cloud Data Vision LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Naperville']","Naperville, DuPage County",
"Cloud Network Engineer – Multi-Cloud Infrastructure & Connectivity We are seeking a skilled Cloud Network Engineer to help design, implement, and support secure, high-performing network solutions across cloud and hybrid environments. This role will play a key part in maintaining enterprise connectivity, improving network reliability, and supporting ongoing cloud transformation initiatives. Key Responsibilities Design, deploy, and support scalable network architectures across cloud and on-prem e…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557740?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=A0D78B78030552DBAC64CD0F12E0963B79F1083E,Cloud Network Engineer (W2 C2H Hiring),112972.22,-83.214175,112972.22,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc0MCIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.AYnu0Z4hgaYQdeLkLtwtxJ5zHa8Xe4Yftf5CYOO8cvY,1,Adzuna::API::Response::Job,42.355709,5736557740,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Next Level Business Services, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Michigan', 'Wayne County', 'Dearborn']","Dearborn, Wayne County",
"Client: EdTech Title: Cloud Security Engineer Duration: 6 Months (Contact to hire) Location: 100% Remote About the Team · The Client’s Cloud & Product Security Engineering team builds and operates cloud-native security solutions that protect our enterprise and mission-critical digital products. · We focus primarily on AWS and are responsible for engineering automated, scalable controls that secure high-stakes assessment platforms used by millions of students each year. · We partner closely acro…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557743?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=91CFED60FD64C496F7F08E51F3AEA0840202E2B6,Cloud Security Engineer,110157.96,,110157.96,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1Nzc0MyIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.WABgyssyf7qkrIyYcJc9fLrxG0DosVXvfvZ3zNKER4Y,1,Adzuna::API::Response::Job,,5736557743,IT Jobs,Adzuna::API::Response::Category,it-jobs,Accylerate,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
"Role : AWS Integration (Must have Workday to downstream ) Role : Remote Job Description : AWS integration expertise (Lambda, EKS, API Gateway) support integration from Workday to downstream systems like CCISites",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557731?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=4D9266BDC99321A5DFFBB94B95322DECD2BDECA8,AWS Integration Consultant,77709.05,,77709.05,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1NzczMSIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.WRZer2PaPnaEfK1WgnXIyrMbUdJ1f9_Ni9a8SU8aPdc,1,Adzuna::API::Response::Job,,5736557731,IT Jobs,Adzuna::API::Response::Category,it-jobs,Headway Tek Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
"Position-O9 Consultant Location-Miami, FL (Remote) Job Description Understand the o9 platform s data model (table structures, linkages, optimal designs) post-go-live for maintaining, debugging, and enhancing various planning use cases. Understanding of our customer s requirements by leading workshops with functional and business owners of the processes and documenting it. Effectively map the business requirements into o9 s platform and come up with a clear, phased achievable blueprint. Work wit…",2026-05-21T12:19:32Z,,https://www.adzuna.com/land/ad/5736557737?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=4D7D924EA3EB0F5447124ABADD2008F64492CEDE,O9 Consultant,88022.88,,88022.88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1NzczNyIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.Hi9iGWsTbTNiWubOqgkAexGpM98L0DZ39mgA1TP7zXY,1,Adzuna::API::Response::Job,,5736557737,IT Jobs,Adzuna::API::Response::Category,it-jobs,Incorporan Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
"Microsoft 365 Integration Engineer (Remote) Location: Canada We are seeking a hands-on technical resource capable of bridging architecture and engineering responsibilities for a secure integration between ChatGPT Enterprise and Microsoft 365. This role will translate solution design into implementation, with a focus on Microsoft Entra ID, Microsoft Graph, and SharePoint Online, while ensuring alignment with security and governance requirements. Core Responsibilities Translate solution architect…",2026-05-21T12:19:31Z,,https://www.adzuna.com/land/ad/5736557722?se=1jKkHzFV8RGwM-dyRPunmg&utm_medium=api&utm_source=abfa41a4&v=A006B8238189665F40A1BEE9A49323607B0B03BA,Microsoft 365 Integration Engineer,139806.53,,139806.53,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjU1NzcyMiIsInMiOiIxaktrSHpGVjhSR3dNLWR5UlB1bm1nIn0.XC0SF5h0BS-xCyQsg33OCxTtAyGr7XXAth5HBb4K65Q,1,Adzuna::API::Response::Job,,5736557722,IT Jobs,Adzuna::API::Response::Category,it-jobs,Smartwork IT Services,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,
