adref,title,redirect_url,id,salary_is_predicted,salary_max,salary_min,description,created,__CLASS__,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,latitude,longitude,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MTA1In0.btRjchyw56UV22qRQ6ueoU3zRzVxPx4tkS2bTmP_OLA,Violin/Piano/Guitar Music Teacher,https://www.adzuna.com/land/ad/5886528105?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=499EF2FA178B60DB08DEB8E935B24DA7F74F1097,5886528105,1,34190.86,34190.86,"Job Description Job Description Music Kids is looking for enthusiastic educators to join our team for the 2024-2025 school year to teach beginning level violin, piano, and guitar. Music Kids is an instrumental education program offering small group classes (usually between 2-4 students each) and some individual lessons on-site at our local partner schools. We are looking for enthusiastic and open-minded educators interested in teaching very young students, ages 3 and up. We're hiring 1) music t…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,Music Kids LLC,Adzuna::API::Response::Company,"Naperville, DuPage County",Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Naperville']",41.760632,-88.143778,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDU4In0.3QOPyTN9DIxWrjlS4yLHjdRU6VToelghgmZCooIbw1k,General Laborer - NH,https://www.adzuna.com/land/ad/5886528058?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=432A8C85B26DD43B0F3C144D1F0017100AC699CA,5886528058,1,27026.23,27026.23,"Job Description Job Description This role is based out of our Manchester, NH office. You must be able to report to this location to start and end your workday. We get it. You have options when it comes to finding a new career. When you put on a Mosquito Joe uniform, you become part of the family—a group of people committed to excellent customer service and passionate about making the outdoors a place that’s fun for everyone. No experience is needed. We will train you and help get you licensed s…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,Mosquito Joe of Andover-Peabody,Adzuna::API::Response::Company,"Manchester, Hillsborough County",Adzuna::API::Response::Location,"['US', 'New Hampshire', 'Hillsborough County', 'Manchester']",42.988367,-71.465548,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDYzIn0.DwuCjgjfBXJVGThAjoZZxYOe43dmwHDYThQuVV8izJs,Field Service Technician,https://www.adzuna.com/land/ad/5886528063?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=CCCCD52D246EFE847C14BF07989B98152C2683E5,5886528063,1,47976.71,47976.71,"Job Description Job Description TFG is seeking a Field Service Technician to join our team in the San Antonio, TX area. As a Field Service Technician , you will be responsible for diagnosing, troubleshooting, and repairing foodservice equipment at customer sites. You’ll ensure equipment operates at optimal efficiency, address customer concerns through clear communication, and maintain high service standards. Technicians will manage their assigned territories, perform timely repairs, and proacti…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,TFGROUP LLC,Adzuna::API::Response::Company,"San Antonio, Bexar County",Adzuna::API::Response::Location,"['US', 'Texas', 'Bexar County', 'San Antonio']",29.46357,-98.522671,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODA4MCIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.jf-Jn0nITsKK1TbJw-JkYW7odJncFjX80VCvbVQHxjE,General Labor,https://www.adzuna.com/land/ad/5886528080?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=23585B26C6A11DECD3B3A2BBE4A42901D27E58A1,5886528080,1,52809.58,52809.58,Job Description Job Description Metro Services is immediately hiring multiple General Labor positions at a Heavy Equipment Metal Manufacturer. The positions are Temp/Contract-to-Direct. Apply now! Duties include the following: Chipping Grinding Sorting Compensation (USD): 1st Shift $16.50/hour 2nd Shift $17.50/hour Schedule: 1st Shift 6:00 a.m. - 4:30 p.m. or 7:00 a.m. - 5:30 p.m. 2nd Shift 6:00 p.m. - 4:30 a.m. Successful candidates must meet the following requirements: Must wear steel toe sho…,2026-09-16T13:29:12Z,Adzuna::API::Response::Job,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Metro Industrial Services,Adzuna::API::Response::Company,"Chattanooga, Hamilton County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Hamilton County', 'Chattanooga']",35.045799,-85.306528,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI3OTUzIn0.Na7ZGY_OXSXLq3D6M9_23j4UpRWo7nJh7Hc5i84VKxo,Lead Fireplace Installer,https://www.adzuna.com/land/ad/5886527953?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=D2DAAEB996DD4E87F22BB804CCA96CB3B3194363,5886527953,1,73642.66,73642.66,"Job Description Job Description About the Position Join our Olympia-area hearth installation team as an experienced fireplace installer who can serve as lead installer. We are seeking a skilled professional who can independently plan and complete installations, direct helpers, and take responsibility for safe workmanship, job progress, and the customer experience. You will lead installations of wood, gas and electric stoves, fireplaces and inserts, venting systems, and related hearth products i…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Northwest Hearth & Home,Adzuna::API::Response::Company,"Olympia, Thurston County",Adzuna::API::Response::Location,"['US', 'Washington', 'Thurston County', 'Olympia']",46.978044,-122.873505,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI3OTU0In0.6Kj5JMMzGhY3VS4G5RLsF6FlJZMO2UpoVKYOth738CQ,Director of Business Development,https://www.adzuna.com/land/ad/5886527954?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=CA6E275E365545FE66FDD2FBB17938C7A1BF676D,5886527954,1,91881.25,91881.25,"Job Description Job Description Job Description - Director of Business Development Title of the Position: Director of Business Development Organization: Detroit Cristo Rey High School Department: Corporate Work Study (CWSP) Reports to: President Type: Full-Time/12 Month Salaried/Exempt Location: Detroit, MI About Detroit Cristo Rey Located in the heart of Mexican Town in Southwest Detroit, Detroit Cristo Rey High School (DCRHS) is a diverse learning community that educates young people of limit…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Detroit Cristo Rey High School,Adzuna::API::Response::Company,"Detroit, Wayne County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Wayne County', 'Detroit']",42.348495,-83.0603,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI3OTg0In0.ZIxjVXDFY8JUofbF8SRSfMJpHYbk0-X1H2BhQyfPCaU,LINE TECHNICIAN,https://www.adzuna.com/land/ad/5886527984?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=C5722A0A9F3EC7E42A7A4261D8BE88EB48BDB9F0,5886527984,1,80400.06,80400.06,"Job Description Job Description Automotive Technician – Under New Management My Jeep Chrysler Dodge We’re under new management and rebuilding our shop for better flow, better support, and better earning potential. If you’re tired of slow dispatch, weak leadership, or inconsistent hours—this is your reset. The Line Technician is responsible for performing vehicle maintenance, diagnosis and repairs assigned in accordance with dealer and factory standards. DUTIES AND RESPONSBILITIES: Line Technici…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,My Chevrolet,Adzuna::API::Response::Company,"Salinas, Monterey County",Adzuna::API::Response::Location,"['US', 'California', 'Monterey County', 'Salinas']",36.660311,-121.649774,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyNzk4MSIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.L6xYwe3_YIajGTN5szUF8XXYmhdm-b3demMzr--kX7E,Account Executive - Advertising Sales,https://www.adzuna.com/land/ad/5886527981?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=EEB32A64B63A245A5C4789CAE1A5EBC3E612ED32,5886527981,1,94154.29,94154.29,"Job Description Job Description This position is located in St Cloud, MN. Commute to the office daily is required About iDigital Outdoor: At iDigital Outdoor, we’re shaping the future of out-of-home (OOH) advertising with bold, innovative digital and static billboard solutions. As a leader in the industry, we help businesses of all sizes make a lasting impression through high-visibility, strategically placed ad campaigns that reach their target audiences. What sets us apart? We’re not just abou…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,iDIGITAL,Adzuna::API::Response::Company,"Maple Grove, Hennepin County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Hennepin County', 'Maple Grove']",45.121489,-93.498854,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDQ5In0.zIRSg9tk8rczkgvS5gdSu7w15qEvOXXByZ51biDpVDU,Outside Sales Representative,https://www.adzuna.com/land/ad/5886528049?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=4D0BC932FAE9EE121EDB2255FB2705DBFFF96C30,5886528049,1,173545.92,173545.92,"Job Description Job Description Window Nation is looking for ambitious Outside Sales Representatives ready to own a brand-new market, drive sales, and build lasting client relationships from day one. Join in on a historic market launch, and become a driving force for Window Nation's next era of growth. If you’re a go-getter who thrives in outside sales and loves turning opportunities into results, this is your moment. At Window Nation, we enhance the comfort, safety, and value of homes by provi…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Window Nation,Adzuna::API::Response::Company,"Whippany, Morris County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Morris County', 'Whippany']",40.823395,-74.422224,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDE2In0.XUBvFrsPs6jF2bc7NINnqYZpOVyjtWReTaTgSJB1AMg,Entry Level Diesel Mechanic,https://www.adzuna.com/land/ad/5886528016?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=9EEFEE1EA9A055F085F921EC9B8685C916EC60B6,5886528016,1,40438.6,40438.6,"Job Description Job Description Job Title: Entry-Level Diesel Mechanic Location: Madison, Wisconsin Company: I-State Truck Center I-State Truck Center is a leading provider of heavy-duty truck sales, parts, and service in the Midwest, specializing in Freightliner, Western Star, and Detroit Diesel products. With a commitment to excellence and customer satisfaction, we serve commercial fleets, owner-operators, and businesses across Wisconsin and beyond. Our Madison location offers a dynamic envir…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,Istate Truck Center,Adzuna::API::Response::Company,"Windsor, Dane County",Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Dane County', 'Windsor']",43.21833,-89.34151,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyNzk5MiIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.orZyFNrWGCY--iLAMOuvmWfjc3JOqpAsFtmzmMuFy_I,"Foundation, Conduit, and Grounding - Concrete",https://www.adzuna.com/land/ad/5886527992?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=5BE343E6AC41073CC0BD36AFD54F2B0B8DA56FF0,5886527992,1,57583.75,57583.75,"Job Description Job Description Concrete Tradesman – Utility Substation Construction (Traveling – Florida) Company: Powerserve Technologies, Inc. Industry: EPC / Utility Substation Construction Work Area: Statewide Florida (Travel Required – Not a Local Position) ⚠️ PLEASE READ BEFORE APPLYING – TRAVEL & WORK CONDITIONS This is a traveling construction position supporting greenfield and brownfield substation projects throughout the state of Florida . This is NOT a local, single-site job Project…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Powerserve Technologies Inc,Adzuna::API::Response::Company,"Middleburg, Clay County",Adzuna::API::Response::Location,"['US', 'Florida', 'Clay County', 'Middleburg']",30.07,-81.86,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDIxIn0.M4sPPc1SZcUCmqEwJ5PbCeWg8Yczbzlmr0UTDeTA9b4,Stormwater Construction Foreman,https://www.adzuna.com/land/ad/5886528021?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=23F307EE6B1C79FF4341FDB085BF110E6DCF4CFF,5886528021,1,72813.99,72813.99,"Job Description Job Description Are you driven to grow, lead, and make a meaningful impact? At Apex, we're building more than a consulting and engineering firm—we're creating a place where your career accelerates, your contributions matter, and your potential is fully realized. We believe your growth is our growth, which is why we invest in your development at every stage of your career. Here, you'll work on projects that shape communities, protect the environment, and create lasting impact, al…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Apex Companies,Adzuna::API::Response::Company,"Buffalo, Erie County",Adzuna::API::Response::Location,"['US', 'New York', 'Erie County', 'Buffalo']",42.896767,-78.886385,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI3OTc3In0.8G0ZdlEvn753MjinlLBd9xpOyLQqrUWYBsY4CDLxxBM,BDC Service,https://www.adzuna.com/land/ad/5886527977?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=B17CC49545DD6D6983FA24D07DDEB374243597A0,5886527977,1,37164.33,37164.33,"Job Description Job Description Description: Business Development Representatives handle in/outbound calls and appointment setting for customers. Call center, collections, and/or automotive service knowledge is required. Immediate training and ongoing support are provided. You will join a small team in a highly collaborative and upbeat department. Responsibilities include, but are not limited to: Job Requirements Confident and professional phone manner Strong computer and Internet Skills Strong…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,Turan Foley Moters Inc,Adzuna::API::Response::Company,"Gulfport, Harrison County",Adzuna::API::Response::Location,"['US', 'Mississippi', 'Harrison County', 'Gulfport']",30.398132,-89.103878,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyNzk3OCIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.zCQwaaXJzmQpd6wb26ONS-4SECO9TeNYG0vfj117M3s,Account Manager - State Farm Agent Team Member,https://www.adzuna.com/land/ad/5886527978?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=90D56898E82C85909603436891FF8AC59463483E,5886527978,1,75800.91,75800.91,"Job Description Job Description Benefits: Simple IRA License reimbursement Bonus based on performance Competitive salary Flexible schedule Health insurance Opportunity for advancement Paid time off Training & development ABOUT OUR AGENCY: I opened my agency in 2015 after starting my career in advertising sales and later being recruited by State Farm. I grew up on a cattle ranch in Lakeview and graduated from the University of Oregon, experiences that shaped a strong work ethic, adaptability, an…",2026-09-16T13:29:11Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Greg Elder - State Farm Agent,Adzuna::API::Response::Company,"Bend, Deschutes County",Adzuna::API::Response::Location,"['US', 'Oregon', 'Deschutes County', 'Bend']",44.086767,-121.257448,,
