salary_min,salary_is_predicted,adref,__CLASS__,title,salary_max,id,created,latitude,description,redirect_url,longitude,company.display_name,company.__CLASS__,location.display_name,location.area,location.__CLASS__,category.tag,category.label,category.__CLASS__,contract_time,contract_type
9544.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MzU5OSIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.LLMYgBFCs01ICDMPwDoWTH7_GCRNNhm9uM0aORWde10,Adzuna::API::Response::Job,"Travel Nurse RN - Post-Anesthesia Care Unit (PACU) / Pre-Post Op - $2,152 to $2,386 per week in West Islip, NY",9544.0,5700283599,2026-04-15T10:41:45Z,40.70621,"Registered Nurse (RN) | Post-Anesthesia Care Unit (PACU) / Pre-Post Op Location: West Islip, NY Agency: LRS Healthcare Pay: $2,152 to $2,386 per week Shift Information: Nights Contract Duration: 12 Weeks Start Date: 5/12/2026 About the Position TravelNurseSource is working with LRS Healthcare to find a qualified PACU/Pre-Post Op RN in West Islip, New York, 11795! Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-fi…",https://www.adzuna.com/land/ad/5700283599?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=FB55A25DDB0F8B6A45754C579BDF9A598B77CD31,-73.30623,TravelNurseSource,Adzuna::API::Response::Company,"West Islip, Suffolk County","['US', 'New York', 'Suffolk County', 'West Islip']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
6464.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgzNjAxIn0.O0ZiLim1gWSW9FynM2lguq3GiK1hKh4_p2mD8BjmOG8,Adzuna::API::Response::Job,"Travel Nurse RN - Intensive Care Unit (ICU) / Critical Care - $1,458 to $1,616 per week in Chattanooga, TN",6464.0,5700283601,2026-04-15T10:41:45Z,35.045799,"Registered Nurse (RN) | Intensive Care Unit (ICU) / Critical Care Location: Chattanooga, TN Agency: LRS Healthcare Pay: $1,458 to $1,616 per week Shift Information: Days Contract Duration: 11 Weeks Start Date: 4/27/2026 About the Position TravelNurseSource is working with LRS Healthcare to find a qualified ICU/Critical Care RN in Chattanooga, Tennessee, 37404! Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first…",https://www.adzuna.com/land/ad/5700283601?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=A5E6A35DBB70DBF7A5E99EFB48079E29152C875D,-85.306528,TravelNurseSource,Adzuna::API::Response::Company,"Chattanooga, Hamilton County","['US', 'Tennessee', 'Hamilton County', 'Chattanooga']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
9544.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MzYwMCIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.WIviIaKwVPNEZJ0Av8HLh1LVVfa7_12HlNUYAsExwgU,Adzuna::API::Response::Job,"Travel Nurse RN - Post-Anesthesia Care Unit (PACU) / Pre-Post Op - $2,152 to $2,386 per week in West Islip, NY",9544.0,5700283600,2026-04-15T10:41:45Z,40.70621,"Registered Nurse (RN) | Post-Anesthesia Care Unit (PACU) / Pre-Post Op Location: West Islip, NY Agency: LRS Healthcare Pay: $2,152 to $2,386 per week Shift Information: Nights Contract Duration: 12 Weeks Start Date: 5/12/2026 About the Position Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! Qualifications: 2 year of recent experience in area of specialty pref…",https://www.adzuna.com/land/ad/5700283600?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=2AE802D432CEF70742921E653CE96CBE045F4782,-73.30623,LRS Healthcare,Adzuna::API::Response::Company,"West Islip, Suffolk County","['US', 'New York', 'Suffolk County', 'West Islip']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
7740.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MzMyNiIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.XfXM5iCimgZ0EBSwaIGvAmf1T7QQnmS7T0EWiYT7-mk,Adzuna::API::Response::Job,"Travel Nurse RN - Labor & Delivery - $1,745 to $1,935 per week in Bentonville, AR",7740.0,5700283326,2026-04-15T10:41:37Z,36.372854,"Registered Nurse (RN) | Labor & Delivery Location: Bentonville, AR Agency: LRS Healthcare Pay: $1,745 to $1,935 per week Shift Information: Nights Contract Duration: 16 Weeks Start Date: ASAP About the Position TravelNurseSource is working with LRS Healthcare to find a qualified Labor/Delivery RN in Bentonville, Arkansas, 72712! Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting f…",https://www.adzuna.com/land/ad/5700283326?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=19E91F9C23DDED51FAB1536750343A8C555064F1,-94.208817,TravelNurseSource,Adzuna::API::Response::Company,"Bentonville, Benton County","['US', 'Arkansas', 'Benton County', 'Bentonville']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
6476.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgzMjY0In0.IusVe09OeMEhcvKHSCDfw-ICW2I6dojHFlC2AGevei4,Adzuna::API::Response::Job,"Travel Nurse RN - Med/Surg / Telemetry - $1,460 to $1,619 per week in Shelby, NC",6476.0,5700283264,2026-04-15T10:41:36Z,35.292351,"Registered Nurse (RN) | Med/Surg / Telemetry Location: Shelby, NC Agency: LRS Healthcare Pay: $1,460 to $1,619 per week Shift Information: Days Contract Duration: 13 Weeks Start Date: 5/11/2026 About the Position Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! Qualifications: 2 year of recent experience in area of specialty preferred Valid license and/or certi…",https://www.adzuna.com/land/ad/5700283264?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=0A7F121BB74081234A5CE7BE4DF3863B03F8D417,-81.535646,LRS Healthcare,Adzuna::API::Response::Company,"Shelby, Cleveland County","['US', 'North Carolina', 'Cleveland County', 'Shelby']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
7740.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgzMjY2In0.FOk6PG-j4VI20eRsdJuYfoX6ElmNjrX-adCJzSeoQq4,Adzuna::API::Response::Job,"Travel Nurse RN - Labor & Delivery - $1,745 to $1,935 per week in Bentonville, AR",7740.0,5700283266,2026-04-15T10:41:36Z,36.372854,"Registered Nurse (RN) | Labor & Delivery Location: Bentonville, AR Agency: LRS Healthcare Pay: $1,745 to $1,935 per week Shift Information: Nights Contract Duration: 16 Weeks Start Date: ASAP About the Position Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! Qualifications: 2 year of recent experience in area of specialty preferred Valid license and/or certifi…",https://www.adzuna.com/land/ad/5700283266?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=2671426AE926A100D32E5443166AD0F8704A63FC,-94.208817,LRS Healthcare,Adzuna::API::Response::Company,"Bentonville, Benton County","['US', 'Arkansas', 'Benton County', 'Bentonville']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
6476.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgzMjAxIn0.mRKrT5rqZORk4D5W1VqjdYtp0lAFAC6us3VZnGUEXwI,Adzuna::API::Response::Job,"Travel Nurse RN - Med/Surg / Telemetry - $1,460 to $1,619 per week in Shelby, NC",6476.0,5700283201,2026-04-15T10:41:36Z,35.292351,"Registered Nurse (RN) | Med/Surg / Telemetry Location: Shelby, NC Agency: LRS Healthcare Pay: $1,460 to $1,619 per week Shift Information: Days Contract Duration: 13 Weeks Start Date: 5/11/2026 About the Position TravelNurseSource is working with LRS Healthcare to find a qualified Med/Surg / Tele RN in Shelby, North Carolina, 28150! Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiti…",https://www.adzuna.com/land/ad/5700283201?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=87169853DFB4794F2FE257A2C4BE319F9F804667,-81.535646,TravelNurseSource,Adzuna::API::Response::Company,"Shelby, Cleveland County","['US', 'North Carolina', 'Cleveland County', 'Shelby']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
5540.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgzMTAyIn0.5GZueBFFYSeoO8ziQXcL-Fi8IJCkKtlaSMzY3CgFyZQ,Adzuna::API::Response::Job,"Travel Nurse RN - Medical-Surgical - $1,250 to $1,385 per week in Decatur, TX",5540.0,5700283102,2026-04-15T10:41:34Z,33.234283,"Registered Nurse (RN) | Medical-Surgical Location: Decatur, TX Agency: LRS Healthcare Pay: $1,250 to $1,385 per week Shift Information: Nights Contract Duration: 17 Weeks Start Date: ASAP About the Position Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! Qualifications: 2 year of recent experience in area of specialty preferred Valid license and/or certificati…",https://www.adzuna.com/land/ad/5700283102?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=10AF0990A0D5C971071AB234A00B12833E658B77,-97.586139,LRS Healthcare,Adzuna::API::Response::Company,"Decatur, Wise County","['US', 'Texas', 'Wise County', 'Decatur']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
5540.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MzA3NCIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.ImGmyhPFQlUneDKB2_2Eofb4xoh6ZE-GG-ZTRUqK2C8,Adzuna::API::Response::Job,"Travel Nurse RN - Medical-Surgical - $1,250 to $1,385 per week in Decatur, TX",5540.0,5700283074,2026-04-15T10:41:34Z,33.234283,"Registered Nurse (RN) | Medical-Surgical Location: Decatur, TX Agency: LRS Healthcare Pay: $1,250 to $1,385 per week Shift Information: Nights Contract Duration: 17 Weeks Start Date: ASAP About the Position TravelNurseSource is working with LRS Healthcare to find a qualified Med/Surg RN in Decatur, Texas, 76234! Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! …",https://www.adzuna.com/land/ad/5700283074?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=1A4A5E706FD72800F725B0420A91A55DE64D0EBB,-97.586139,TravelNurseSource,Adzuna::API::Response::Company,"Decatur, Wise County","['US', 'Texas', 'Wise County', 'Decatur']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
10584.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MjgxOSIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.tMHmnqnz3ppmdOIUVRNjZuv8xjSaalYc8_73ty2xfyU,Adzuna::API::Response::Job,"Travel Nurse RN - Post-Anesthesia Care Unit (PACU) / Pre-Post Op - $2,646 per week in Minot, ND",10584.0,5700282819,2026-04-15T10:41:31Z,48.087121,"Registered Nurse (RN) | Post-Anesthesia Care Unit (PACU) / Pre-Post Op Location: Minot, ND Agency: Lancesoft Inc Pay: $2,646 per week Shift Information: Days - 4 days x 10 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position Position: RN Pre-Op Shift: Day 4 X 10 Requirements Year of experience: MUST HAVE 1 YEARS EXPEREINCE Current or temporary RN license in ND or compact RN licensure BLS, ACLS and PALS Benefits Medical & Health Insurance Benefits from first day for All Clinical…",https://www.adzuna.com/land/ad/5700282819?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=04BB58F9A23D4F53B7247CC9083A565F9E28A957,-101.317866,Lancesoft Inc,Adzuna::API::Response::Company,"Minot, Ward County","['US', 'North Dakota', 'Ward County', 'Minot']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
41436.29,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDI4MjgwMSIsInMiOiJkTHBwTDlvNDhSR2tfUFRFeXFUcXFBIn0.1gICI69NIRTgNG58kmKsF8wjpmt1AygLBoGCxz8E6r8,Adzuna::API::Response::Job,Experienced Mothers Wanted to Help a Growing Family,41436.29,5700282801,2026-04-15T10:41:22Z,40.203033,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",https://www.adzuna.com/land/ad/5700282801?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=230C10B2E2ABB0601CAA0883FD013B6A811A9AE4,-76.3484,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Elm, Lancaster County","['US', 'Pennsylvania', 'Lancaster County', 'Elm']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
97662.14,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZExwcEw5bzQ4UkdrX1BURXlxVHFxQSIsImkiOiI1NzAwMjgyNzM5In0.oH3PDAFcXARlnuVp3pxWGHrLgET60kbBup-mLA4YP6k,Adzuna::API::Response::Job,B2B Sales Representative,97662.14,5700282739,2026-04-15T10:40:36Z,34.142773,"Excellent opportunity to join a leading, national credit card processing company that has over a decade of industry experience. Slice Merchant Services offers innovative payment processing solutions to merchants. Slice has put together a comprehensive package of products and services. Slice delivers a consultative approach on the best platforms and equipment most suitable for each merchant. Slice Merchant Services is seeking driven, ambitious outside sales professionals to join our most aggress…",https://www.adzuna.com/land/ad/5700282739?se=dLppL9o48RGk_PTEyqTqqA&utm_medium=api&utm_source=abfa41a4&v=C671087143F1CE36960B23AE355D2310A052CE2A,-117.999564,Slice Merchant Services,Adzuna::API::Response::Company,"Monrovia, Los Angeles County","['US', 'California', 'Los Angeles County', 'Monrovia']",Adzuna::API::Response::Location,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,,
