description,created,salary_max,id,longitude,title,redirect_url,adref,salary_min,latitude,salary_is_predicted,__CLASS__,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
"PUTNAM COUNTY SCHOOLS AN EQUAL OPPORTUNITY EMPLOYER No person in the United States shall, on the grounds of race, color, or national origin, be denied the benefits of, or be subjected to discrimination under any program or activity receiving Federal financial assistance. Dan Rinick, Title IX Coordinator, 77 Courthouse Drive, Winfield, WV 25213, (304) 586-0500 ext 1109. Vacancy Bulletin Extracurricular Assignment Position: IEP Case Manager Location: Poca High School Evaluated by: Director of Exc…",2026-08-22T09:27:55Z,74314.88,5852501730,-81.814298,IEP Case Manager,https://www.adzuna.com/details/5852501730?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTczMCIsInMiOiJTdVR1eHk2ZThSR1NiOFZwRFJEaVZBIn0.XHIMW8DADz8572dKhuI7aqEoHPdzYfzqwGsnwHDwQOA,74314.88,38.472314,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Putnam County Schools WV,"['US', 'West Virginia', 'Putnam County', 'Poca']",Adzuna::API::Response::Location,"Poca, Putnam County",Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,,
"School Crossing Guard (Multiple Openings) Location: Kansas City, MO Pay Kansas City School Crossing Guards earn $17.75 per hour. Before and after school shifts available. If both shifts are worked, work 2 hour a day and earn $35.50 per day! Position Overview Looking for part-time work that fits around the school calendar? School Crossing Guards help students travel safely to and from school while enjoying a consistent weekday schedule with weekends, school holidays, and summer breaks off. What …",2026-08-22T09:27:55Z,42773.23,5852501731,-94.626957,School Crossing Guard - Kansas City,https://www.adzuna.com/details/5852501731?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTczMSIsInMiOiJTdVR1eHk2ZThSR1NiOFZwRFJEaVZBIn0.8622IV3BWbJ72QcpveqCqOp-EYM7Wytp7UKgqmbzWeg,42773.23,39.117388,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,ACMS,"['US', 'Kansas', 'Wyandotte County', 'Kansas City']",Adzuna::API::Response::Location,"Kansas City, Wyandotte County",Adzuna::API::Response::Category,Travel Jobs,travel-jobs,part_time,
"Join Our Team at Car Spa, Inc.! We're more than a car wash - we're a growing team passionate about top-tier service and customer satisfaction. If you're hands-on and want to thrive in a fast-paced environment, we want you on our team! Position Overview The General Manager (GM) is responsible for the overall performance and profitability of the location, including the car wash, convenience store (c-store), and oil center. This individual will ensure customer satisfaction, operational excellence,…",2026-08-22T09:27:55Z,69000.0,5852501734,-95.60844,General Car Wash Manager,https://www.adzuna.com/details/5852501734?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTczNCIsInMiOiJTdVR1eHk2ZThSR1NiOFZwRFJEaVZBIn0.fDLgEFykILMlOQOSL7BWkzqORPVw6HKyK4AX1Zwckdk,59000.0,29.92224,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Car Spa,"['US', 'Texas', 'Harris County', 'Houston', 'Village at Glen Iris']",Adzuna::API::Response::Location,"Village at Glen Iris, Houston",Adzuna::API::Response::Category,Customer Services Jobs,customer-services-jobs,full_time,
"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Manager, Lifecycle Sales based in the United States. This role leads the strategy and execution of lifecycle engagement designed to turn high school participants and alumni into future college study abroad participants. You’ll own customer journeys, lifecycle campaigns, CRM processes, and engagement initiatives that strengthen long-term relationships and drive enroll…",2026-08-22T09:27:53Z,75873.74,5852501727,,"Manager, Lifecycle Sales",https://www.adzuna.com/details/5852501727?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzI3In0.vfaeh2iKQl87IySesCaKXxkqvADJf7TiHAIdMvBJbew,75873.74,,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Jobgether,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,HR & Recruitment Jobs,hr-jobs,full_time,
Description Primary Duties and Responsibilities The Supervisor of Clinical Research (SCR) assists in overseeing clinical research operational activities. The SCR assures all clinical research conducted reflects best practices and industry standards. Assists in ensuring that proposed projects meet the mission and vision Hoag and all Clinical Research stakeholders. The SCR supervises clinical research coordinators. Assumes Research Coordinator activities when other coordinator resources are at ca…,2026-08-22T09:27:53Z,142405.8,5852501726,-117.837004,Supervisor Clinical Research: Digestive Health Clinical Research,https://www.adzuna.com/details/5852501726?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzI2In0.dUaWxQWSiuOpXT83F7guIgRf7q3fMgp_Gc3Y8ffyKIU,142405.8,33.59743,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Hoag,"['US', 'California', 'Orange County', 'Newport Beach']",Adzuna::API::Response::Location,"Newport Beach, Orange County",Adzuna::API::Response::Category,Scientific & QA Jobs,scientific-qa-jobs,full_time,
"About Jericho Project Jericho Project is a nationally recognized nonprofit that has been working to end homelessness at its roots since 1983. What began as a Manhattan soup kitchen has grown into a citywide organization serving nearly 3,000 New Yorkers each year—including over 700 veterans, as well as young adults and families, many of whom identify as LGBTQ. Jericho provides more than 600 units of supportive housing through seven permanent residences in the Bronx and Harlem, along with scatter…",2026-08-22T09:27:48Z,75000.0,5852501720,-73.84596,Property Manager/Manager of Building Operations - Gun Hill/The Laconia,https://www.adzuna.com/details/5852501720?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTcyMCIsInMiOiJTdVR1eHk2ZThSR1NiOFZwRFJEaVZBIn0.7k6rFeu7wF4jOLsnj_i0Ok3fb_-2LZ3dqIcAujLY4YQ,66300.0,40.87044,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Jericho Project,"['US', 'New York', 'New York City', 'Bronx', 'Williamsbridge']",Adzuna::API::Response::Location,"Williamsbridge, Bronx",Adzuna::API::Response::Category,Property Jobs,property-jobs,full_time,permanent
"Who We Are: Axis Residential is a forward-thinking, property management organization, part of Inland Group – a vertically integrated real estate developer, contractor, and operator of multifamily and senior housing communities. Collectively, we have set ourselves apart as an industry leader who genuinely cares for the well-being and success of our people while creating an environment of meaningful community for our residents. Our success is a result of our team and culture– we take a relational…",2026-08-22T09:27:47Z,54080.0,5852501718,-122.77554,Assistant Community Director - Affinity at Lacey,https://www.adzuna.com/details/5852501718?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzE4In0.b8DQOG7jIxIy0N_LFcBwO79OZtuxFB8GCUlvrlSMElc,49920.0,47.11182,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Axis Residential,"['US', 'Washington', 'Thurston County', 'Thompson Place']",Adzuna::API::Response::Location,"Thompson Place, Thurston County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,full_time,
Coast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is featured on Blue Pipes' 2023 Best Travel Agencies and named a 2022 Top Rated Healthcare Staffing Firm & 2023 First Half Top Rated Healthcare Staffing Firm by Great Recruiters. Please note that pay rate may differ for locally based candidates. Please apply here or contact a recruiter directly to learn mor…,2026-08-22T09:27:46Z,45332.3,5852501716,-98.107993,RN - Emergency Room,https://www.adzuna.com/details/5852501716?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzE2In0.HDWNfAW_Ajml5vYIHL8o-9CDo3tSNzHdvHVtpSq-TAE,45332.3,29.692516,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,New Braunfels,"['US', 'Texas', 'Comal County', 'Solms']",Adzuna::API::Response::Location,"Solms, Comal County",Adzuna::API::Response::Category,HR & Recruitment Jobs,hr-jobs,part_time,
"Description The Inside Sales Host’s foremost role is to act as the primary growth engine for VIP marketing, responsible for outbound sales telemarketing to a broad range of Grand Victoria guests. In this role, the team member will develop strategic relationships with guests and consistently convert sales activities into casino trips. Inside Sales Hosts will exude exceptional motivation to serve while building rapport through commercial awareness and anticipating guest needs in creation of their…",2026-08-22T09:27:44Z,55000.0,5852501707,-88.234631,Inside Sales,https://www.adzuna.com/details/5852501707?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTcwNyIsInMiOiJTdVR1eHk2ZThSR1NiOFZwRFJEaVZBIn0.8MjSLXlaJxwgKM9kw44hlWw-ZgZSRuZ9R9A83gw6R9g,48000.0,42.016286,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Caesars Entertainment,"['US', 'Illinois', 'Kane County', 'Elgin']",Adzuna::API::Response::Location,"Elgin, Kane County",Adzuna::API::Response::Category,Sales Jobs,sales-jobs,full_time,
"WORLD WIDE PROFESSIONAL SOLUTIONS is a project solutions organization committed to implementing lean constructions, collaborative contracting, and execution approaches to enable breakthroughs in performance. World Wide Professional Solutions (WWPS) is seeking experienced Tool Install Schedulers to support large scale semiconductor construction and tool install programs across multiple U.S. manufacturing sites in New Mexico, Arizona, and Ohio. These roles support a confidential advanced manufact…",2026-08-22T09:27:44Z,77262.05,5852501711,-106.746147,Tool Install Schedulers - Semiconductor,https://www.adzuna.com/details/5852501711?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzExIn0.7J2-f-s8q7U275uMhoqfGoTrFVZKhORLeWicHTeSzo8,77262.05,35.284205,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,World Wide Professional Solutions,"['US', 'New Mexico', 'Sandoval County', 'Rio Rancho']",Adzuna::API::Response::Location,"Rio Rancho, Sandoval County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,full_time,
"Description Be an integral part of an agile team that's constantly pushing the envelope to enhance, build, and deliver top-notch technology products. As a Senior Lead Software Engineer at JPMorganChase within the Commercial and Investment Bank Payments Technology team, you are an integral part of an agile team that works to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. Drive significant business impact through your capabilities and…",2026-08-22T09:27:44Z,260000.0,5852501712,-122.157575,Senior Lead Software Engineer,https://www.adzuna.com/details/5852501712?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU3VUdXh5NmU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUyNTAxNzEyIn0.X5GcXRlUMRZoU3ZhyiIj_dRSBOUE9u6VPjFZQCzw-z0,175750.0,37.445797,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,JPMorganChase,"['US', 'California', 'Santa Clara County', 'Palo Alto']",Adzuna::API::Response::Location,"Palo Alto, Santa Clara County",Adzuna::API::Response::Category,IT Jobs,it-jobs,full_time,
