title,redirect_url,longitude,__CLASS__,salary_max,created,adref,salary_is_predicted,latitude,id,description,salary_min,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
Caregiver,https://www.adzuna.com/details/5878758503?utm_medium=api&utm_source=abfa41a4,-92.509891,Adzuna::API::Response::Job,38039.23,2026-09-10T12:26:24Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTAzIn0.7UG5dYerZyEk4R_TWWEGy-uH8GyoWYCkXsYxzu5qmeA,1,44.078055,5878758503,"REM Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. Pay starting at $17.18 an hour This position requires someone who has had a Driver's License fo…",38039.23,Adzuna::API::Response::Location,"['US', 'Minnesota', 'Olmsted County', 'Rochester']","Rochester, Olmsted County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Caregiver,https://www.adzuna.com/details/5878758439?utm_medium=api&utm_source=abfa41a4,-85.370248,Adzuna::API::Response::Job,36690.98,2026-09-10T12:26:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NDM5In0.2M7tumidvKssBt_Lyy_pjLHgy54Q1HF0l-T3iIHm_2c,1,39.928935,5878758439,"Mentor Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. SUMMARY Position Type: Non-exempt, full-time or part-time, hourly role. Scope of Role: Respo…",36690.98,Adzuna::API::Response::Location,"['US', 'Indiana', 'Henry County', 'New Castle']","New Castle, Henry County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
Caregiver,https://www.adzuna.com/details/5878758366?utm_medium=api&utm_source=abfa41a4,-94.095104,Adzuna::API::Response::Job,34885.2,2026-09-10T12:26:13Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODM2NiIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.WAOHHlGQa78fBV9zEZpjWKaZ0wt1mvcUCabf1eUSQw0,1,30.078046,5878758366,"ResCare Community Living, a part of the Sevita family, provides quality services that empower individuals, enhance independence, and help people live well. Since 1974, we’ve supported individuals with intellectual and developmental disabilities to live more independently at home and in their community. With our dedicated team and experienced staff, we provide person-centered services that help people build skills, overcome challenges, and reach their full potential. THRIVE AS A CAREGIVER AT SEV…",34885.2,Adzuna::API::Response::Location,"['US', 'Texas', 'Jefferson County', 'Beaumont']","Beaumont, Jefferson County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Program Supervisor,https://www.adzuna.com/details/5878758317?utm_medium=api&utm_source=abfa41a4,-110.971527,Adzuna::API::Response::Job,56426.11,2026-09-10T12:26:09Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODMxNyIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.DrEZwvVaKiWwO1G1vIVC3ho-aVxjh-ainycojZHN5ag,1,32.214792,5878758317,"Mentor Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. SUMMARY Home Based community settings within The IHSS program and working closely with our H…",56426.11,Adzuna::API::Response::Location,"['US', 'Arizona', 'Pima County', 'Tucson']","Tucson, Pima County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Caregiver Overnight,https://www.adzuna.com/details/5878758315?utm_medium=api&utm_source=abfa41a4,-85.6589,Adzuna::API::Response::Job,44210.99,2026-09-10T12:26:09Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODMxNSIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0._ClWDwfCCYlcj-Wa6R9xl_IHHkd27ppIFiAvvx400s0,1,30.162401,5878758315,"ResCare Community Living, a part of the Sevita family, provides quality services that empower individuals, enhance independence, and help people live well. Since 1974, we’ve supported individuals with intellectual and developmental disabilities to live more independently at home and in their community. With our dedicated team and experienced staff, we provide person-centered services that help people build skills, overcome challenges, and reach their full potential. SUMMARY Position Type: Non-e…",44210.99,Adzuna::API::Response::Location,"['US', 'Florida', 'Bay County', 'Panama City']","Panama City, Bay County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
Caregiver,https://www.adzuna.com/details/5878758316?utm_medium=api&utm_source=abfa41a4,-81.23066,Adzuna::API::Response::Job,45120.95,2026-09-10T12:26:09Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4MzE2In0.rnNUTxpAs9j5pUrYFV0ftjob8EOzcya4EdnXBqvQyWg,1,37.74067,5878758316,"REM Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. $14.75 hourly with On Demand Pay Options Weekend Overnight Shift Thrive as a Caregiver at REM W…",45120.95,Adzuna::API::Response::Location,"['US', 'West Virginia', 'Raleigh County', 'Crab Orchard']","Crab Orchard, Raleigh County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Social work Jobs,social-work-jobs,full_time,
Program Supervisor,https://www.adzuna.com/details/5878758307?utm_medium=api&utm_source=abfa41a4,-111.700018,Adzuna::API::Response::Job,44061.11,2026-09-10T12:26:09Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4MzA3In0._no5S2zCCWQvAQBQbXV0mFJrE1vOOEMwmHzP4xegG30,1,35.474926,5878758307,"Sevita provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. Tolani is located near ( E 6th Ave and N Izabel St) Pay Rate: $20/hr Program Supervisor Are you looking for a career opportunity where you can…",44061.11,Adzuna::API::Response::Location,"['US', 'Arizona', 'Coconino County', 'Flagstaff']","Flagstaff, Coconino County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
Pre-School Director,https://www.adzuna.com/details/5878758159?utm_medium=api&utm_source=abfa41a4,-111.844019,Adzuna::API::Response::Job,41600.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE1OSIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.3qHGHogwVozOV-8ZKqtJWpZjZM8OJgnJ5d_8BYpOYS8,0,33.389011,5878758159,"About This Role We are seeking a dedicated and experienced Pre-School Director to lead our early childhood education center in Mesa, AZ. In this role, you will oversee the daily operations, curriculum implementation, and staff management of our facility. You will be responsible for maintaining a safe, nurturing, and stimulating environment that fosters the growth and development of young children while building strong relationships with families and the local community. What You'll Do Manage da…",37440.0,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Gilbert']","Gilbert, Maricopa County",Adzuna::API::Response::Company,MUNCHKINS PLACE LEARNING CENTER,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
Finance and Human Resources Assistant,https://www.adzuna.com/details/5878758170?utm_medium=api&utm_source=abfa41a4,-83.985718,Adzuna::API::Response::Job,41600.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4MTcwIn0.9lvubS6497hL2u5olWX92tEo9PDAMGXJpCav04HjFbs,0,33.627424,5878758170,"About This Role Peachtree Academy is a private school that seeks a knowledgeable candidate who appreciates working in a fast-paced, family atmosphere. Skills will need to include the ability to be customer service oriented and work with the public. Strong organizational skills are a must. This candidate will screen resumes and schedule fingerprinting appointments for potential employees, schedule interviews with administrators, and complete the onboarding process for new hires. Additionally, yo…",31200.0,Adzuna::API::Response::Location,"['US', 'Georgia', 'Rockdale County', 'Conyers']","Conyers, Rockdale County",Adzuna::API::Response::Company,Peachtree Academy,Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,full_time,permanent
Preschool Co-Teacher,https://www.adzuna.com/details/5878758171?utm_medium=api&utm_source=abfa41a4,-89.4165,Adzuna::API::Response::Job,45000.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4MTcxIn0.Of-bUOPJGYJQCv3LplLZXr-BpAvsDghM5Sy2u4JoCPE,0,43.02252,5878758171,"About This Role The Co-Teacher, in collaboration with the teaching team, is responsible for the safe supervision of children, and classroom management of the children in their care. Co-Teachers are responsible for preparing and implementing a developmentally appropriate curriculum i nspired by the Reggio Emilia approach and the values and practices of Preschool of the Arts. What You'll Do Classroom Management Establish and maintain a safe, clean and enriching classroom environment. Develop logi…",40000.0,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Dane County', 'Fitchburg']","Fitchburg, Dane County",Adzuna::API::Response::Company,Preschool of the Arts,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
Lead Teacher,https://www.adzuna.com/details/5878758167?utm_medium=api&utm_source=abfa41a4,-77.5191,Adzuna::API::Response::Job,39083.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE2NyIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.8yHR6yhr2B47TetVJrtbFGyaBDbXg5APb_fqH7IpSZ4,0,37.5802,5878758167,"About This Role Epiphany Lutheran Nursery School is looking for a Lead teacher in their preschool program. The ideal candidate will have a bachelor's or associate's degree or a credential in Early Childhood Education, and possess a passion for teaching young children. Candidates should have experience teaching, preferably in a preschool setting. What You'll Do A Lead Teacher at Epiphany Lutheran Nursery School is responsible for establishing and maintaining a safe, healthy and nurturing learnin…",39083.0,Adzuna::API::Response::Location,"['US', 'Virginia', 'Henrico County', 'Tuckahoe']","Tuckahoe, Henrico County",Adzuna::API::Response::Company,Epiphany Lutheran Nursery School,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,part_time,permanent
Early Childhood - Teacher,https://www.adzuna.com/details/5878758179?utm_medium=api&utm_source=abfa41a4,-80.714118,Adzuna::API::Response::Job,29120.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE3OSIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.YaSr6N4nst7vPLlWaOADILgbZyWxNGtSYkrxy5KJVKA,0,34.207407,5878758179,"About This Role We are a United Methodist Childcare Ministry seeking a qualified, Christian teacher for our center, primarily with our three year olds . The Teacher is responsible for managing the day-to-day operational activities of the classroom. Teachers must understand children's cognitive, social, emotional and physical development in order to ensure a safe and stimulating classroom environment where children are actively engaged and encouraged to succeed. The Teacher must be skilled in co…",24960.0,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Kershaw County', 'Lugoff']","Lugoff, Kershaw County",Adzuna::API::Response::Company,St John's UMC Chlidcare Ministry,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
Pre-K Teacher,https://www.adzuna.com/details/5878758158?utm_medium=api&utm_source=abfa41a4,-111.844019,Adzuna::API::Response::Job,37440.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE1OCIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.2VP9qKX3E6-d8pktA0YlBUafTxdI9mhgPR9vM0-iPEo,0,33.389011,5878758158,"About This Role We are seeking a passionate and dedicated Pre-K Teacher to join our early childhood education team in Mesa, AZ. In this role, you will create a safe, nurturing, and stimulating environment that fosters the social, emotional, physical, and cognitive development of young learners, preparing them for a successful transition to kindergarten. What You'll Do Design and implement age-appropriate lesson plans. Foster a positive classroom culture that encourages curiosity, collaboration,…",33280.0,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Gilbert']","Gilbert, Maricopa County",Adzuna::API::Response::Company,MUNCHKINS PLACE LEARNING CENTER,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
GA Pre-K Lead Teacher,https://www.adzuna.com/details/5878758172?utm_medium=api&utm_source=abfa41a4,-84.29754,Adzuna::API::Response::Job,55000.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE3MiIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.GHgrsyqP7ljBHl3JIO-nyYxMn_s18rdu8LeEUNklLxI,0,34.12223,5878758172,"About This Role The Georgia Pre-K Lead Teacher is responsible for planning and implementing a high-quality early childhood education program in alignment with Bright from the Start (DECAL) standards. This role involves creating a structured, engaging, and developmentally appropriate learning environment that supports the academic, social, and emotional growth of four-year-old children. The Lead Teacher develops and delivers lesson plans, manages daily classroom operations, and assesses student …",30000.0,Adzuna::API::Response::Location,"['US', 'Georgia', 'Fulton County', 'Alpharetta']","Alpharetta, Fulton County",Adzuna::API::Response::Company,Chroma Early Learning Academy,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
Infant Teacher,https://www.adzuna.com/details/5878758164?utm_medium=api&utm_source=abfa41a4,-83.920879,Adzuna::API::Response::Job,39520.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4MTY0In0.BCtqaVCZxMsAMqKf-MH5AOizQ5A0_2SCxjB9MFbk77c,0,35.961127,5878758164,"About This Role We are seeking a compassionate and dedicated Infant Teacher to join our dynamic preschool team. In this role, you will have the opportunity to work in a positive and supportive environment that values both professional autonomy and collaboration. As an Infant Teacher, you will be responsible for the care and supervision of a class of children ages 6 weeks to 15 months. You will plan and implement developmentally appropriate activities that foster each child's physical, emotional…",35360.0,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Knox County', 'Knoxville']","Knoxville, Knox County",Adzuna::API::Response::Company,CSUMC Preschool,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,permanent
Early Childhood Twos / Threes Teacher,https://www.adzuna.com/details/5878758162?utm_medium=api&utm_source=abfa41a4,-77.466162,Adzuna::API::Response::Job,33280.0,2026-09-10T12:26:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODE2MiIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.gfAOI_lODjG_LaRYnWMFKYETgS_YyJm4wqn33dmvYHs,0,38.241572,5878758162,"About This Role Learn 'n Play Preschool is hiring for the 2024-2025 school year! LNP has been family owned for over 35 years. Mrs. Sharon Crabtree and her daughter, Christine Munoz, are the proud owners of this private preschool since its founding. Their mission is to elevate the career of Early Childhood Educators and provide a positive learning environment for both staff and children. The Twos Teacher is responsible for developing a cohesive teaching team, coordinating the curriculum, and man…",31200.0,Adzuna::API::Response::Location,"['US', 'Virginia', 'Fredericksburg City', 'Enon']","Enon, Fredericksburg City",Adzuna::API::Response::Company,Learn 'n Play Preschool and Children's Center,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,part_time,permanent
