adref,redirect_url,latitude,id,salary_max,description,created,salary_min,title,salary_is_predicted,__CLASS__,contract_time,longitude,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label,location.area,location.__CLASS__,location.display_name,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYwOSIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.Wq21SzgL2nxhG1KWHmkgoaJX0L4FiMy9zNlkoKXvFms,https://www.adzuna.com/land/ad/5818416609?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=685E5102FFCCAC492D53B79088DE4CBA7461B5DE,35.773993,5818416609,106619.29,"We are seeking an experienced Data Scientist to analyze complex datasets, build predictive models, and deliver actionable insights that support strategic decision-making. If you love extracting trends from structured and unstructured data, engineering scalable data pipelines, and driving innovation through machine learning, we want to hear from you! Position Overview Location: Raleigh, NC 27601 ( Strictly Local to North Carolina Only ) Work Arrangement: Hybrid Interview Process: Webcam or In-Pe…",2026-07-28T11:16:04Z,106619.29,Data Scientist,1,Adzuna::API::Response::Job,,-78.63276,Stellar Professionals LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'North Carolina', 'Wake County', 'Raleigh']",Adzuna::API::Response::Location,"Raleigh, Wake County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjIyIn0.-81EOc_mWvvOJDXua5MGXCPMa24pGleu4U_Obe45qqo,https://www.adzuna.com/land/ad/5818416622?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=E23772EB8338C257B41C084E91651BF3E21E770A,33.92034,5818416622,167351.4,We are looking for Security Architect - Consultant - Cloud Engineer (Min 10yrs Exp) HYBRID ( Webcam Interview) Number of positions: 1 Length: 12Months  Work Address: South Carolina Columbia 29210 Immediate Interviews Webcam Interview looking for a Security Architect - Consultant (Cloud Engineer) Work Location: Hybrid (3 days per month onsite) Candidate Location: Candidate MUST be a SC resident. No relocation allowed. Position Title: Cloud Engineer Division: Office of Information Technology Serv…,2026-07-28T11:16:04Z,167351.4,Security Architect - Consultant (Cloud Engineer) with Min 10yrs exp (Webcam Interview)(HYBRID_only Local to South Carolina0,1,Adzuna::API::Response::Job,,-81.08986,NextGen Solutions Corporation,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'South Carolina', 'Lexington County', 'Pineridge']",Adzuna::API::Response::Location,"Pineridge, Lexington County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjIxIn0.2q5c79V4-qLVnRQwfJFupIgjWXP5lH_riMAwm97_ZR4,https://www.adzuna.com/land/ad/5818416621?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=E8CB2E77630F42A56A1626046CE99032A280EC16,40.7282,5818416621,85327.65,"Google Cloud Platform Python Platform Compliance & Security Engineer Our W2 Only (NO C2C / C2H) Onsite - Jersey City, NJ Skills: Google Cloud Platform, Python, Terraform, Security Encryption/Decryption, Security Command Center, Data Protection, Data Sensitivity, Data categorization, Key Management",2026-07-28T11:16:04Z,85327.65,Google Cloud Platform Python Platform Compliance & Security Engineer - Our W2 Only (NO C2C / C2H),1,Adzuna::API::Response::Job,,-74.0784,Symphony Corporation,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'New Jersey', 'Hudson County', 'Five Corners']",Adzuna::API::Response::Location,"Five Corners, Hudson County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYwOCIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.LhKXQa06FeJh-sidB3FK3pApUBj89_q93_nlCrrmfPQ,https://www.adzuna.com/land/ad/5818416608?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=D420896A95C6AEE80C9107A018A03B851B5BC949,35.773993,5818416608,149935.31,"Design and implement GitHub Enterprise Cloud (GHEC) foundational architecture and enterprise setup. Define GitHub data residency architecture aligned with regulatory, compliance, and organizational requirements. Configure enterprise account structure, organizations, repositories, projects, teams, and branching strategies. Establish repository governance, artifact management standards, and enterprise-wide governance policies. Implement GitHub Advanced Security (GHAS), including code scanning, se…",2026-07-28T11:16:04Z,149935.31,W2 Role : Technical Architect (GitHub Enterprise Cloud),1,Adzuna::API::Response::Job,,-78.63276,Wise Skulls Corp.,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'North Carolina', 'Wake County', 'Raleigh']",Adzuna::API::Response::Location,"Raleigh, Wake County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYxMCIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.zuSFuzjU3Ssf7JFHNbIGAYlEQokKkfQBF9UY6HAiiXY,https://www.adzuna.com/land/ad/5818416610?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=4B3FF240B8AD88874F96C973D3763EDF8DE67957,37.350211,5818416610,100875.82,"Actual Title of the role: IT Tech: Bar Specialist Duration: 1 year Rate: $45/hr on W2 Location : Sunnyvale, CA - 100% On site (5 days) Only Locals/Nonlocals can be submitted: Locals only Mode of interview: Over zoom and in-person No of rounds of interview: 2 Opportunity: The IT Tech: Bar Specialists responsible for first line user support for all IT related issues, problems, and training in an in-person setting. The specialist is also responsible for creating and dispatching tickets to Desktop …",2026-07-28T11:16:04Z,100875.82,IT Tech Bar Specialist ,1,Adzuna::API::Response::Job,,-122.032489,SGIC Cloud Technologies Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'California', 'Santa Clara County', 'Cupertino']",Adzuna::API::Response::Location,"Cupertino, Santa Clara County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjMyIn0.9Y2TYhDtfuy7NmIhzOGmNexRhbdL9kMwobcxqRjjYZE,https://www.adzuna.com/land/ad/5818416632?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=2B18962B47B5CFC5CE50506CB84723D0E54B9A22,29.43937,5818416632,187006.36,"Role Title : Actuarial Analyst Work Location :San Antonio, TX Rate: 55 OPT is OK Duration: 6 months Role Descriptions: Personal line State Filings Analyze and interpret statistical, financial, and risk data to support insurance pricing, reserving, and forecasting. Develop actuarial models and provide insights to help manage risk and drive informed business decisions. Essential Skills: Actuarial Modeling, Statistics, Risk Analysis, Excel, SQL, Python/R, Financial Mathematics, Analytical & Proble…",2026-07-28T11:16:04Z,187006.36,Actuarial Analyst,1,Adzuna::API::Response::Job,,-98.45883,AI ASAP LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,"['US', 'Texas', 'Bexar County', 'Fort Sam Houston']",Adzuna::API::Response::Location,"Fort Sam Houston, Bexar County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjMwIn0.zc4LiGzw__OQywg5Z4vsUGndAqsweUlOOEdQRMA5Wkw,https://www.adzuna.com/land/ad/5818416630?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=530BBD53493B8F41A8542C9BA4B07015FE7D0201,40.444374,5818416630,91418.45,"Hybrid role in Pittsburgh PA (Locals only), Hiring for Product Owner – Master Data Management (MDM) Transformation - 12 months contract Required Qualifications Bachelor’s degree in Business, Information Systems, Data Management, Supply Chain, Procurement, Product Management, UX, or related field Serve as Product Owner for Product MDM capabilities within a hybrid SAFe Agile delivery model 5 years of experience as a Product Owner, Business Analyst, or similar role supporting data, MDM, product da…",2026-07-28T11:16:04Z,91418.45,Hiring for Product Owner – Master Data Management (MDM) Transformation,1,Adzuna::API::Response::Job,,-79.941817,Accion Labs,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'Pennsylvania', 'Allegheny County', 'Bloomfield']",Adzuna::API::Response::Location,"Bloomfield, Allegheny County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjE5In0.2T-Xs2u4PqbQQLhTYIXiQqiUv1pivsCjNPtIqQkuIVc,https://www.adzuna.com/land/ad/5818416619?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=295E5825873C97964A2DDB0884115F0D507A683A,43.071755,5818416619,145204.95,"We are seeking an experienced Datadog Observability Architect to lead enterprise observability initiatives across infrastructure, applications, cloud, and platform services. The candidate will be responsible for defining observability architecture, establishing monitoring standards, implementing Datadog solutions, driving platform governance, and enabling AI-driven operational insights. The role requires strong consulting, architecture, and stakeholder management skills with the ability to lead…",2026-07-28T11:16:04Z,145204.95,Enterprise Observability Architect,1,Adzuna::API::Response::Job,,-70.762553,New York Technology Partners,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'New Hampshire', 'Rockingham County', 'Portsmouth']",Adzuna::API::Response::Location,"Portsmouth, Rockingham County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYyMyIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.43zcjQlpzltRWLEM-HIfV-y40hBasjIF_njbWnnw_Tg,https://www.adzuna.com/land/ad/5818416623?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=A3F0785F6766C578EB788C225AE1825137E46FFA,29.43937,5818416623,101113.05,"We are seeking an experienced Java Full Stack Developer with strong expertise in Spring Boot, Microservices, and modern front-end technologies (React or Angular) . The ideal candidate should have experience developing scalable enterprise applications, working with cloud platforms, and collaborating with cross-functional Agile teams. Required Skills Strong hands-on experience with Java 8/11/17 , Spring Boot, and Microservices. Experience with React.js or Angular and TypeScript . Proficient in RE…",2026-07-28T11:16:04Z,101113.05,Java Developer,1,Adzuna::API::Response::Job,,-98.45883,Tymon Global,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'Texas', 'Bexar County', 'Fort Sam Houston']",Adzuna::API::Response::Location,"Fort Sam Houston, Bexar County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjI2In0.RqjxYou8GD2mLKhkT0XDwrtrZ458C9-YRVM7UCo_4mU,https://www.adzuna.com/land/ad/5818416626?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=B8CD8E116F2EA3D121B4FAB3B92736C59862A829,35.773993,5818416626,130506.66,"We are seeking an experienced C ram Architect for this key technical position based in Raleigh, North Carolina. In this position , you will provide technical leadership and architectural guidance for large-scale enterprise case management implementations using the IBM C ram framework. Quick Details Location: Raleigh, NC 27601 (Local candidates only) Work Arrangement: Hybrid (Onsite attendance as required) Interview Process: Webcam or In-Person Highlighted Core Skills (Must-Haves) To be successf…",2026-07-28T11:16:04Z,130506.66,Curam Architect,1,Adzuna::API::Response::Job,,-78.63276,Stellar Professionals LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'North Carolina', 'Wake County', 'Raleigh']",Adzuna::API::Response::Location,"Raleigh, Wake County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYwNCIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.cOCxdOi6jZLX5ZKtyaB0TETSlYM1xNZcJPt0SJ1AokA,https://www.adzuna.com/land/ad/5818416604?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=CA304CF263A98D2832B7E6E3E92C22EE7859F09B,42.791104,5818416604,70296.32,"The Sales Operations Specialist position supports the internal day-to-day sales activities to increase the productivity of the sales organization. This key position will work cooperatively with Inside Sales, Sales Ops, and other members of the team to efficiently transition sales data into operational data and support the quote and order management processes across the entire order processing lifecycle. Operating as the workflow specialists between sales and operations teams, the Sales Operatio…",2026-07-28T11:16:04Z,70296.32,Inside Sales/ Sales Operations Specialist,1,Adzuna::API::Response::Job,,-71.219305,"Dotcom Team, LLC",Adzuna::API::Response::Company,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,"['US', 'New Hampshire', 'Rockingham County', 'Salem']",Adzuna::API::Response::Location,"Salem, Rockingham County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NTk1In0.uTsQc1UdQH1wlKZ_k4Gf3S6-ATw6RJlEuyZlirk9LvI,https://www.adzuna.com/land/ad/5818416595?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=99653464879C939DD74F76673BE4E93CD6F6B819,37.3063,5818416595,111633.38,"Key Responsibilities • Lead sourcing and procurement for IT categories supporting engineering and enterprise needs • Develop and execute category strategies to optimize cost, quality, service, and risk • Partner with R&D, IT, and cross-functional stakeholders to define requirements and specifications • Conduct supplier evaluations, competitive sourcing, and contract negotiations • Manage supplier relationships, performance, and continuous improvement initiatives • Drive measurable savings, cost…",2026-07-28T11:16:03Z,111633.38,IT Category Manager,1,Adzuna::API::Response::Job,,-121.9221,Saicon Consultants Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs,"['US', 'California', 'Santa Clara County', 'Campbell']",Adzuna::API::Response::Location,"Campbell, Santa Clara County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjU5NCIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.Pzv-45IVmhXi5PVekGqTNuVojeyj07Xe0j9g-y9pARQ,https://www.adzuna.com/land/ad/5818416594?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=91F77CF5E6806D5F64866299D61B6954402EC8B2,37.3063,5818416594,108630.02,"Onsite in San Jose, CA 1yr Duration Job Description: Job Title: SAP S4 HANA PP and MM Lead Experience Required: 10 Years in SAP MM Job Summary: We are seeking a seasoned SAP PP and MM Lead with over 10 years of hands-on experience in SAP Production Planning and Execution and Materials Management. The ideal candidate will lead SAP PP and MM implementation projects, collaborate with cross-functional teams esp with PLM and MES teams, and drive process improvements across Production Planning and Ex…",2026-07-28T11:16:03Z,108630.02,SAP S4 HANA PP and MM Lead,1,Adzuna::API::Response::Job,,-121.9221,Shree Narayani Networking Solutions LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'California', 'Santa Clara County', 'Campbell']",Adzuna::API::Response::Location,"Campbell, Santa Clara County",
