adref,salary_is_predicted,latitude,longitude,__CLASS__,title,description,contract_time,salary_min,redirect_url,id,salary_max,created,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzNCIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.IHWsZg4A5bvpR-Y5oTdUPJxHZmLEOqapAlM5GJAyHnk,1,34.004652,-84.013,Adzuna::API::Response::Job,Travel Respiratory Therapist Job,"Overview Respiratory Therapist, Respiratory Care specialty, Lawrenceville, Georgia. Start date 06/01/2026 for a 13-week travel assignment in a hospital setting. Weekly pay ranges from $1,489 to $1,566 per week with guaranteed 36 hours. Shift is 12-hour nights in a 2x3 schedule. Key Highlights - Weekly pay: $1,489–$1,566 per week - Guaranteed hours: 36 per week - Contract duration: 13 weeks - Shift: 12-hour nights, 2x3 cycle - Start date: 06/01/2026 - Location: travel assignment in a hospital se…",,61489.16,https://www.adzuna.com/details/5729321434?utm_medium=api&utm_source=abfa41a4,5729321434,61489.16,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Lawrenceville, Gwinnett County","['US', 'Georgia', 'Gwinnett County', 'Lawrenceville']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzMSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.2Gl20gNtYTLQ3yLUIIu28yB7k3mwjytafUO8D3vu0Uo,1,34.004652,-84.013,Adzuna::API::Response::Job,Travel Registered Nurse Post Surgical Job,"Overview Registered Nurse - Post Surgical (PACU) travel opportunity in Lawrenceville, Georgia. Start date: 06/01/2026. 13-week assignment in a hospital setting with guaranteed hours. 40 hours per week on a 4x10-hour shift schedule. Weekly pay ranges from $1,794 to $1,886. This role focuses on postoperative recovery care, ensuring safe transitions from anesthesia to stable patient status. Key Highlights - Weekly pay: $1,794-$1,886 per week - Guaranteed hours: 40 hours per week - Contract length:…",,83703.84,https://www.adzuna.com/details/5729321431?utm_medium=api&utm_source=abfa41a4,5729321431,83703.84,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Lawrenceville, Gwinnett County","['US', 'Georgia', 'Gwinnett County', 'Lawrenceville']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDM2In0.kSziLC0a4hW54gHkkpYhg14kDzqJ1vromL8DjIuZZ0w,1,60.758185,-161.620598,Adzuna::API::Response::Job,Travel Social Worker Behavioral Health Job,"Overview Social Worker – Behavioral Health in Bethel, Alaska, United States. This travel, temporary assignment runs for 13 weeks with a start date of 06/02/2026. Weekly pay ranges from $1,478 to $1,580, with a guaranteed 32 hours per week. Shift: Days. Work in an inpatient medical setting. This role serves patients of all ages, from prenatal through elderly, using a holistic approach to medical social services. Key Highlights - Weekly pay: $1,478–$1,580 per week - Guaranteed hours: 32 per week …",,99809.51,https://www.adzuna.com/details/5729321436?utm_medium=api&utm_source=abfa41a4,5729321436,99809.51,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Bethel, Alaska","['US', 'Alaska', 'Bethel']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDMyIn0.EvdPE2SxWTj6n2IgYRMNI3qx-R8b1hh9WlkvPGGZFR8,1,43.08313,-73.784565,Adzuna::API::Response::Job,Travel Registered Nurse Urgent Care Job,"Overview Registered Nurse – Urgent Care (Travel) in Saratoga Springs, New York. Start date: 06/08/2026. Assignment lasting Weeks. Weekly pay range: $2,005–$2,119 per week. Shift: 3x12-hour days. This travel opportunity is for a nurse working in an urgent care unit within a hospital setting. Travel assignment managed by Healthforce Healthcare LLC. Key Highlights - Weekly pay: $2,005–$2,119 per week - Guaranteed hours: 32 hours per week; alternate weeks 32/36 hours - Contract duration: Weeks (tra…",,89501.87,https://www.adzuna.com/details/5729321432?utm_medium=api&utm_source=abfa41a4,5729321432,89501.87,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Saratoga Springs, Saratoga County","['US', 'New York', 'Saratoga County', 'Saratoga Springs']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzNyIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.IR8KhLVO9W6rPCkqMyACmdoVZEb5TVNVB8hMwpcjlo8,1,35.284205,-106.746147,Adzuna::API::Response::Job,Travel Speech Language Pathologist Job,"Overview Speech Language Pathologist — Travel assignment in Rio Rancho, New Mexico. Start date May 25, 2026 for an estimated 13-week assignment. Weekly pay $2,296–$2,474. Guaranteed hours: 36 per week. Shift: 5x8 Days. Setting: skilled nursing facility. This opening is posted by Healthforce Healthcare LLC. Apply at the organization’s careers site to begin the onboarding process. Key Highlights - Weekly pay: $2,296–$2,474 per week - Guaranteed hours: 36 hours per week - Contract duration: 13 wee…",,114137.56,https://www.adzuna.com/details/5729321437?utm_medium=api&utm_source=abfa41a4,5729321437,114137.56,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Rio Rancho, Sandoval County","['US', 'New Mexico', 'Sandoval County', 'Rio Rancho']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzNSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.07y4pnE1AY9FjqUzfSKQEU3yQLaIL2i-w-SZIFpbkug,1,44.477602,-73.222446,Adzuna::API::Response::Job,Travel Respiratory Therapist Registered Respiratory Therapist Job,"Overview Registered Respiratory Therapist – specialty: Registered Respiratory Therapist Burlington, Vermont, United States Start date: May 18, 2026 Duration: 4 weeks Weekly pay: $2,148–$2,208 per week Guaranteed hours: not guaranteed Shift: 3x12-hour night shifts Setting: hospital-based travel assignment This is a travel assignment for a Respiratory Therapist in an inpatient, hospital-based setting. The role requires mobilizing quickly for a short-term assignment with flexible weekend coverage …",,81046.26,https://www.adzuna.com/details/5729321435?utm_medium=api&utm_source=abfa41a4,5729321435,81046.26,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Burlington, Chittenden County","['US', 'Vermont', 'Chittenden County', 'Burlington']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQyNCIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.fIBNXuJJ_YRLqz8Uwh5I_FSwsKUN62_ysYAWvzlIwSc,1,36.212744,-121.126029,Adzuna::API::Response::Job,Travel Registered Nurse Med Surg Job,"Overview Registered Nurse – Med Surg in King City, California. Start date: 06/01/2026. Duration: 13 weeks. Weekly pay: $2,063–$2,157 per week. Guaranteed hours: 36 per week. Shift: 3x12-hour nights. Work setting: Short Term Acute Care Hospital. Date posted: 05/13/2026. Valid through: 08/31/2026. Key Highlights - Weekly pay: $2,063–$2,157 per week - Guaranteed hours: 36 hours per week - Contract length: 13 weeks - Shift: 3x12-hour nights - Start date: 06/01/2026 - Work setting: Short Term Acute …",,125495.3,https://www.adzuna.com/details/5729321424?utm_medium=api&utm_source=abfa41a4,5729321424,125495.3,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"King City, Monterey County","['US', 'California', 'Monterey County', 'King City']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzMCIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.VMJvtSO5P_Ph6tUVn5Si9iEFA_ETxcGMvCPzG0h9jwI,1,35.254169,-120.620655,Adzuna::API::Response::Job,Travel Registered Nurse Pediatrics Job,"Overview Registered Nurse - Pediatrics in San Luis Obispo, California. Start date: 06/08/2026 for 13 weeks. Weekly pay: $1,895-$1,934 per week. Shift: Nights, 12-hour shifts (3x per week). Travel - temporary assignment in a hospital pediatric unit. This role includes care planning, medication administration, and education for pediatric patients and families, with cross-training to NICU. The position is represented by CNA. Key Highlights - Weekly pay: $1,895-$1,934 per week - Contract duration: …",,90968.73,https://www.adzuna.com/details/5729321430?utm_medium=api&utm_source=abfa41a4,5729321430,90968.73,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"San Luis Obispo, San Luis Obispo County","['US', 'California', 'San Luis Obispo County', 'San Luis Obispo']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQyNSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.OvgHCEWHtXevZPDngBUj4Wir14aDhTAMi6yME7Dmnr4,1,36.212744,-121.126029,Adzuna::API::Response::Job,Travel Registered Nurse Med Surg Job,"Overview Registered Nurse – Med Surg in a travel assignment based in King City, California. Start date: 06/01/2026 for a 13-week duration on a 3x12-night schedule (7:00 pm–7:30 am). Weekly pay ranges from $2,046 to $2,089, with guaranteed 36 hours per week. This is a Med Surg role in a Short Term Acute Care Hospital setting. The assignment requires Cerner experience, active California RN licensure, ACLS, and PALS, with the ability to care for non-critical pediatric patients and to float to a Sk…",,119978.1,https://www.adzuna.com/details/5729321425?utm_medium=api&utm_source=abfa41a4,5729321425,119978.1,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"King City, Monterey County","['US', 'California', 'Monterey County', 'King City']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDIyIn0.ErFRv_ReeVqCTAEyFBcNAIFVqcLUJuxfcL5xiEDjRA4,1,43.08313,-73.784565,Adzuna::API::Response::Job,Travel Registered Nurse Med Surg Job,"Overview Registered Nurse – Med Surg in Saratoga Springs, NY. Start date 06/08/2026 for a travel temporary assignment on a Med‑Surg unit with adults and geriatrics and remote telemetry monitored centrally. Shift is nights, 3x12-hour blocks. Weekly pay ranges from $1,995 to $2,077. This assignment occurs in a hospital setting, on a Med‑Surg unit with centralized telemetry monitoring. Key Highlights - Start date: 06/08/2026 - Weekly pay: $1,995 - $2,077 per week - Shift: Nights, 3x12-hour blocks …",,129371.2,https://www.adzuna.com/details/5729321422?utm_medium=api&utm_source=abfa41a4,5729321422,129371.2,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"Saratoga Springs, Saratoga County","['US', 'New York', 'Saratoga County', 'Saratoga Springs']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,permanent
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDIzIn0.RbSFvNGLCnrh-crNzZ2nuia-ryN6x0z12CdB1BZz14c,1,41.007222,-91.965833,Adzuna::API::Response::Job,Travel Registered Nurse Med Surg Job,"Overview Registered Nurse – Med Surg in a rural Critical Access Hospital setting located in Fairfield, Iowa, United States. Start date: 06/08/2026 for a 13-week travel assignment with guaranteed 36 hours per week. Shifts are 12 hours on a rotating schedule (3x12), including night shifts from 6:00pm to 6:30am with weekend and holiday rotation. This travel role is offered through Healthforce Healthcare LLC. Key Highlights - Weekly pay: $2,127–$2,250 per week - Guaranteed hours: 36 per week - Cont…",,124748.33,https://www.adzuna.com/details/5729321423?utm_medium=api&utm_source=abfa41a4,5729321423,124748.33,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"Fairfield, Jefferson County","['US', 'Iowa', 'Jefferson County', 'Fairfield']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDI5In0._m4iw7RjKkKK3sbWg75fZAFB3x1pjbht8e-AG_BkLgE,1,33.755711,-84.388372,Adzuna::API::Response::Job,Travel Registered Nurse OR Job,"Overview Registered Nurse – Operating Room (OR) in Atlanta, GA, starting June 1, 2026 for a 13-week travel assignment. Guaranteed 36 hours per week with a pay range of $1,987–$2,086 per week. Shifts are 12 hours, scheduled 3 days per week, with on-call duties including weekends and holidays; no block scheduling. Work setting is a hospital operating room environment. Key Highlights - Weekly pay: $1,987–$2,086 (per week) - Guaranteed hours: 36 per week - Contract duration: 13 weeks - Shift: 12-ho…",,76229.78,https://www.adzuna.com/details/5729321429?utm_medium=api&utm_source=abfa41a4,5729321429,76229.78,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"Atlanta, Fulton County","['US', 'Georgia', 'Fulton County', 'Atlanta']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDE5In0.N6xuAQg2nVOgTqFoABC01Vdq4FZ2zYHs_bF52l20yGw,1,34.271582,-84.196256,Adzuna::API::Response::Job,Travel Registered Nurse Med Surg Job,"Overview Registered Nurse – Med Surg (Travel) Cumming, Georgia, United States Start date: 06/01/2026 Duration: 13 weeks Weekly pay: $1,537–$1,626 per week Guaranteed hours: 36 per week Shift: 12-hour day shifts; 7:00 a.m.–7:00 p.m. schedule, with variation; 12x3 rotation Setting: hospital-based inpatient Med/Surg with oncology patients Note: No local candidates within 50 miles. Key Highlights - Weekly pay: $1,537–$1,626 - Guaranteed hours: 36 per week - Contract duration: 13 weeks - Shift: 12-h…",,112197.02,https://www.adzuna.com/details/5729321419?utm_medium=api&utm_source=abfa41a4,5729321419,112197.02,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"Cumming, Forsyth County","['US', 'Georgia', 'Forsyth County', 'Cumming']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQyNiIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.XXVJOHuFFcugjC867CcVl2rPCncABQMr05GnFiNqi3s,1,44.477602,-73.222446,Adzuna::API::Response::Job,Travel Registered Nurse Oncology Job,"Overview Registered Nurse – Oncology, based in Burlington, Vermont, United States, with a start date of 05/18/2026 for a travel temporary assignment. The assignment features 3x12 night shifts in a hospital setting. Weekly pay ranges from $1,947 to $2,091. There are no guaranteed hours. This role focuses on oncology patient care, including chemotherapy/biotherapy support, central line care, and infusion therapies within a fast-paced unit. Key Highlights - Weekly pay: $1,947 - $2,091 per week - S…",,67558.65,https://www.adzuna.com/details/5729321426?utm_medium=api&utm_source=abfa41a4,5729321426,67558.65,2026-05-14T10:22:37Z,Adzuna::API::Response::Location,"Burlington, Chittenden County","['US', 'Vermont', 'Chittenden County', 'Burlington']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
