description,latitude,redirect_url,created,contract_time,salary_is_predicted,salary_max,__CLASS__,adref,longitude,id,title,salary_min,company.__CLASS__,company.display_name,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,contract_type
"BAYADA Home Health Care is seeking a Home Health Occupational Therapist for a job in West Orange, New Jersey. Job Description & Requirements Specialty: Occupational Therapist Discipline: Therapy Duration: Ongoing Employment Type: Staff Occupational Therapist (OT) – Home Health Visits Full-Time Essex County, NJ Flexible Schedule | Competitive Pay | Adult & Geriatric Population BAYADA Home Health Care is seeking an experienced Occupational Therapist (OT) to join our Essex County Visits team based…",40.787453,https://www.adzuna.com/land/ad/5812420649?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=54C726D7178451372300790CD68E205C0F1EA77A,2026-07-23T11:06:34Z,,1,232108.78,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjQ5In0.3HwzBlBzt14F4nvdeki6Y7xh6XB7hB0H6D6Q9_hk6b4,-74.258493,5812420649,Home Health Occupational Therapist - $58 per visit,232108.78,Adzuna::API::Response::Company,BAYADA Home Health Care,"Town, Essex County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'Town']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vibra Travels is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Gulfport, Mississippi. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel VIBRA TRAVELS is looking for a CORPORATE TRAVEL REGISTERED NURSE to join our team. We look for nurses with acute care experience in ICU, step down, med surg/tele or Critical Illness Recovery Hospitals. Benefit…",30.3861,https://www.adzuna.com/land/ad/5812420655?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=8DBD0F23BFFA926DD8AAC98739D0A90C3D628C97,2026-07-23T11:06:34Z,,0,102128.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY1NSIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.t69o5PUtMbP5OrZNhbywp5ljCf1GYVPIuvJashtcZXk,-89.0677,5812420655,"Travel Nurse RN - PCU - Progressive Care Unit - $1,964 per week",0.0,Adzuna::API::Response::Company,Vibra Travels,"West Gulfport, Gulfport",Adzuna::API::Response::Location,"['US', 'Mississippi', 'Harrison County', 'Gulfport', 'West Gulfport']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Medical Solutions is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Harbor City, California. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel We’re seeking talented healthcare professionals whose adventure game is as strong as their clinical game. Those that want flexibility and high pay, we have the positions for you! Some of the industry-leading…",33.7986,https://www.adzuna.com/land/ad/5812420656?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=BB90D89BE8B4DF4CF6F5E2704DFA723DEA8487D2,2026-07-23T11:06:34Z,,0,169572.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY1NiIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.4BH5a_Pn03KWMElgUAQ2V-LougaG9ukBDoFog3HJSn0,-118.299149,5812420656,"Travel ICU Registered Nurse - $3,261 per week",0.0,Adzuna::API::Response::Company,Medical Solutions,"Harbor City, Los Angeles County",Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Harbor City']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Trustaff is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Farmington, New Mexico. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: 08/10/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel As an ICU RN, you'll provide hands-on care for critically ill patients. Intensive Care nurses must be able to assess, plan, and implement care strategies for patients who may suffer from a varie…",36.41425,https://www.adzuna.com/land/ad/5812420659?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=5025C0CEEF452113E30AE698F19A6D1769C1D472,2026-07-23T11:06:34Z,,0,113464.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY1OSIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.2KuYQizLsYRLIMfIGgmG2lWS5Weg_gFGjq6kFtKUjeI,-108.202093,5812420659,"Travel Nurse RN - ICU - Intensive Care Unit - $2,182 per week",0.0,Adzuna::API::Response::Company,Trustaff,"Farmington, San Juan County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'San Juan County', 'Farmington']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Store 2746451: 21004 County Road 1 PO Box 347, Emily, Minnesota 56447 Shift Availability Flexible (Days, Evenings, Overnights  Weekends) Time Type Full time Assistant Manager We want you to join our team as an Assistant Manager. If you have the desire to be challenged, work in a fast-paced, fun environment and create a career in management – look no further. As an assistant manager, you will enjoy: Medical, Vision, Dental, & Life Insurance/Short & Long Term Disability Flexible Schedules Weekly …",,https://www.adzuna.com/details/5812420647?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:34Z,full_time,0,37440.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjQ3In0.slHl19Pw6rzKacxUtm4-_BZMww1H80gXO6-CiY43AbQ,,5812420647,Assistant Manager,31200.0,Adzuna::API::Response::Company,Circle K Stores,US,Adzuna::API::Response::Location,['US'],hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,
"BAYADA Home Health Care is seeking a Home Health Occupational Therapist for a job in Collingswood, New Jersey. Job Description & Requirements Specialty: Occupational Therapist Discipline: Therapy Duration: Ongoing Employment Type: Staff When you know Home is the future of Healthcare Jefferson Health at Home by BAYADA was founded on the principle that healthcare gets better when people get better care at home – the place where they feel best. We are currently recruiting for a compassionate Full …",39.91452,https://www.adzuna.com/land/ad/5812420650?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=DCA01CD0DDA1321FEE3610399599DDF39AA77615,2026-07-23T11:06:34Z,,1,163302.53,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY1MCIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.zkp14Mi0jjFeyD6VYSuNim5HV4x3LAwGygInUip6RTQ,-75.0789,5812420650,Home Health Occupational Therapist - $58 per visit,163302.53,Adzuna::API::Response::Company,BAYADA Home Health Care,"Collingswood, Camden County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Camden County', 'Collingswood']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"BAYADA Home Health Care is seeking a Home Health Occupational Therapist for a job in Summit, New Jersey. Job Description & Requirements Specialty: Occupational Therapist Discipline: Therapy Duration: Ongoing Employment Type: Staff Occupational Therapist (OT) – Home Health Visits Full-Time Essex County, NJ Flexible Schedule | Competitive Pay | Adult & Geriatric Population BAYADA Home Health Care is seeking an experienced Occupational Therapist (OT) to join our Essex County Visits team based in L…",40.714933,https://www.adzuna.com/land/ad/5812420648?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=E23A0D2F6F86E402D55E20A7D5233525D32AB585,2026-07-23T11:06:34Z,,1,182640.73,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjQ4In0.irqe4M4zKIqiijBsxuZFgVb4U8WPMG2ppbOTVtMc2SY,-74.365405,5812420648,Home Health Occupational Therapist - $58 per visit,182640.73,Adzuna::API::Response::Company,BAYADA Home Health Care,"Summit, Union County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Union County', 'Summit']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Physical Therapist Therapys in Lanham, Maryland paying up to $3,040/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs …",38.95968,https://www.adzuna.com/land/ad/5812420630?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=D62AE675DE59B4668C530A216B20D47B8C1FAEE5,2026-07-23T11:06:33Z,,0,158080.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjMwIn0._Z2AQrvWaMg74uwfvZu1ARoDICTOoVT0TrfMmrR-4XI,-76.85532,5812420630,"Travel Physical Therapist - Paying up to $3,040/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Lanham, Prince George's County",Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Lanham']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Rehabilitation Therapist Therapys in Deer Lodge, Montana paying up to $2,586/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disco…",46.378997,https://www.adzuna.com/land/ad/5812420626?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=AA6F1C4583B14344B5A2C0CDAE623FEEBD052F0E,2026-07-23T11:06:33Z,,0,134472.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDYyNiIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.ByICX78ekc6pIRqifyBBrRrHQdJSOSby5ePhRverBB8,-112.757558,5812420626,"Travel Skilled Nursing Facility (SNF) Rehabilitation Therapist - Paying up to $2,586/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Deer Lodge, Powell County",Adzuna::API::Response::Location,"['US', 'Montana', 'Powell County', 'Deer Lodge']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Physical Therapy Assistant Therapys in Castro Valley, California paying up to $1,521/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) a…",37.701202,https://www.adzuna.com/land/ad/5812420617?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=B61862E550DE1C733C0BB728473ACBD807A5AF8E,2026-07-23T11:06:33Z,,0,79092.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDYxNyIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.NPm9N1IPW0LsApDp0JSnVtEcNA78doj-NTHDEhXMiEI,-122.079599,5812420617,"Travel Physical Therapy Assistant - Paying up to $1,521/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Hayward, Alameda County",Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Hayward']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Physical Therapist Therapys in Durham, North Carolina paying up to $2,302/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover…",35.975079,https://www.adzuna.com/land/ad/5812420632?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=5B45FC4F93960A13BE1225C817E1356C6B6DC42B,2026-07-23T11:06:33Z,,0,119704.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDYzMiIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.rTqQLGThSbg43HuIDs3QdNYNiO8xGRfjzEDbGe2lqiU,-78.83919,5812420632,"Travel Physical Therapist - Paying up to $2,302/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Durham, Durham County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Durham County', 'Durham']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Occupational Therapist Therapys in Atlantis, Florida paying up to $2,105/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",26.590903,https://www.adzuna.com/land/ad/5812420619?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=60715981A58DB32157191D62F23A5B00722AD472,2026-07-23T11:06:33Z,,0,109460.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjE5In0.qesy_mhfRj9o9XaxFIERatrYwcMh0RnCnu5z6myYaOg,-80.100876,5812420619,"Travel Occupational Therapist - Paying up to $2,105/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Atlantis, Palm Beach County",Adzuna::API::Response::Location,"['US', 'Florida', 'Palm Beach County', 'Atlantis']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Physical Therapist Therapys in Harwich, Massachusetts paying up to $2,152/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover…",41.69874,https://www.adzuna.com/land/ad/5812420620?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=BB08614C71846012E8E0DE979A37EB5BF4B6A28B,2026-07-23T11:06:33Z,,0,111904.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjIwIn0.APUYNywWaER5gbhmQUeLBIvrfvmcZbwbNebuztVfbs8,-70.06314,5812420620,"Travel Physical Therapist - Paying up to $2,152/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Harwich, Barnstable County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Barnstable County', 'Harwich']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
"Vivian is looking for Travel Certified Occupational Therapy Assistant Therapys in Modesto, California paying up to $2,246/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location,…",37.62163,https://www.adzuna.com/land/ad/5812420628?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=A9CBDAD4C4FE3DE57AC05CE1CB75B2EB085524DD,2026-07-23T11:06:33Z,,0,116792.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjI4In0.G_ZYdpmlSTfaSTXHBq0ATIhnaGtmwf94-1Rwsw6Firs,-120.998592,5812420628,"Travel Skilled Nursing Facility (SNF) Certified Occupational Therapy Assistant - Paying up to $2,246/week",0.0,Adzuna::API::Response::Company,Vivian Health,"Modesto, Stanislaus County",Adzuna::API::Response::Location,"['US', 'California', 'Stanislaus County', 'Modesto']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
