adref,description,salary_is_predicted,__CLASS__,longitude,salary_max,salary_min,redirect_url,created,latitude,title,contract_type,id,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzIzOSIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.xDlGMM5uV4LAOCoZAvMnFTWvTfBMcZ7gXGRODqLV5oM,"We are seeking an IT Manager, Desktop Support to lead a distributed team of Technical Support Analysts and Senior Technical Support Analysts supporting three U.S. locations, as well as remote field agents and remote employees across the United States. This role is based in our Springfield, Illinois office and requires full-time onsite presence. The IT Manager, Desktop Support is responsible for delivering high-quality end-user support services, maintaining system reliability, and driving contin…",1,Adzuna::API::Response::Job,-89.65481,162878.39,162878.39,https://www.adzuna.com/land/ad/5862367239?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=B15B63F49F313B811EE0F05DC8A1C936136BDAC5,2026-08-30T13:17:38Z,39.8018,"IT Manager, Desktop Support",contract,5862367239,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Springfield, Sangamon County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Sangamon County', 'Springfield']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjQ5In0.hgqwK73-YKC3_mKIDx7sXwoBIDqdfYqkvzayaZsYEO8,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-122.4183,216612.39,216612.39,https://www.adzuna.com/land/ad/5862367249?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=8E33988B13E300A0C9E434AAF2B58639F4FB0FD7,2026-08-30T13:17:38Z,37.775,Senior Software Engineer - Remote,,5862367249,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Hayes Valley, San Francisco",Adzuna::API::Response::Location,"['US', 'California', 'San Francisco', 'Hayes Valley']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI1NCIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.nW5RW40k2bc5tt7mi5Q9Xt2IU8AIDYFlXVWpK6A5UIg,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-118.2538,214240.73,214240.73,https://www.adzuna.com/land/ad/5862367254?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=BBFD47A192407E88FF6F37E27586A342DD7782EA,2026-08-30T13:17:38Z,34.0414,Senior Software Engineer - Remote,,5862367254,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Textile Finance, Los Angeles County",Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Textile Finance']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI1MyIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.1nUw0YzbWWEkvWKxG6Ha-Xkam0WPp-OKKkIIttvPfAU,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-84.3879,203082.36,203082.36,https://www.adzuna.com/land/ad/5862367253?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=1CD1F83FCDF2CFF881512A28AA59A1B9477BFDE7,2026-08-30T13:17:38Z,33.7487,Senior Software Engineer - Remote,,5862367253,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI0NCIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.HFafm3Pklyu4V5WJemsx643UFb3N9I5wGGWQk9nDxH8,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-87.8849,248608.94,248608.94,https://www.adzuna.com/land/ad/5862367244?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=9D88905C33655750BF3DBC6A562C18F846FD3450,2026-08-30T13:17:38Z,41.9613,"Senior Product Manager, Financial Systems",,5862367244,it-jobs,Adzuna::API::Response::Category,IT Jobs,Flywire,Adzuna::API::Response::Company,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI0NSIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.OhPASDikDKEKCQc_B482tH272KIOagnSSUypNp72yw0,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-71.05,150608.3,150608.3,https://www.adzuna.com/land/ad/5862367245?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=A8EFD3A44A3D55E97B894343AEBF8068CA174440,2026-08-30T13:17:38Z,42.34,"Senior Account Executive, Education",,5862367245,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Flywire,Adzuna::API::Response::Company,"South Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjQzIn0.-LikQTJ4x_4PbUpp3xGYgy-zZviT-WkqOGhZ4OUd0Nk,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-71.05,263673.97,263673.97,https://www.adzuna.com/land/ad/5862367243?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=C6DCECD13A9D7E1C3A24D1D81C00AA78B16207A3,2026-08-30T13:17:38Z,42.34,"Senior Product Manager, Financial Systems",,5862367243,it-jobs,Adzuna::API::Response::Category,IT Jobs,Flywire,Adzuna::API::Response::Company,"South Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI0MiIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.rkVknYTj0QYw547xrCYdEz5b6uXIirBBPAQksIS9cvE,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-97.865683,197818.38,197818.38,https://www.adzuna.com/land/ad/5862367242?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=BAC5829304463E0487E4A6D879A6021F57573F7A,2026-08-30T13:17:38Z,30.320233,"Senior Director, B2B Engineering, Americas Site Lead",,5862367242,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,Flywire,Adzuna::API::Response::Company,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjQ4In0.s13hVbQHQPtRaGI-n7kPQw1AovfKbzZMC30z22q2fJo,"Fulcrum Consulting, an LRS company, is seeking a Senior Systems Engineer with our client in Minneapolis, MN. Our client is seeking an experienced Linux Operating System Engineer to manage, maintain, and support enterprise Linux infrastructure across both On-Premises Data Centers and AWS Cloud environments. The ideal candidate will possess strong expertise in Red Hat Enterprise Linux (RHEL 8) administration, automation, troubleshooting, infrastructure operations, and IT Service Management proces…",1,Adzuna::API::Response::Job,-93.2,188401.72,188401.72,https://www.adzuna.com/land/ad/5862367248?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=79DADC6BBD0AE93CEBD8CC93DD8A1440C61697FD,2026-08-30T13:17:38Z,44.9462,Senior Systems Engineer,contract,5862367248,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Lauderdale, Ramsey County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Ramsey County', 'Lauderdale']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzIzOCIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.I1P1p2yre3aTTNAAQTJ4AQD5sXYUdAwAHdqLCfUW89w,"LRS Consulting Services is seeking a Senior Network Engineer who enjoys solving complex infrastructure challenges, partnering with business leaders, and building reliable network solutions that support organizational growth. This contract-to-hire opportunity offers the chance to support a large, distributed enterprise environment while driving network modernization, site expansion, and connectivity initiatives across multiple locations. Location: St. Louis, MO (Contract-to-Hire) Responsibilitie…",1,Adzuna::API::Response::Job,-90.447207,163361.72,163361.72,https://www.adzuna.com/land/ad/5862367238?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=762FE0EDCC38619AEAC3747F0DFBA1A2E0F9820C,2026-08-30T13:17:38Z,38.688153,Senior Network Engineer,contract,5862367238,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Creve Coeur, Saint Louis County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Saint Louis County', 'Creve Coeur']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjIyIn0.y-CuazTlMiNOPOJjC1rPFAHy-jMI2NllfMaIacgTGYE,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-96.765058,198249.92,198249.92,https://www.adzuna.com/land/ad/5862367222?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=F8815BCC2F1550678F813D7B933C3298AC688428,2026-08-30T13:17:11Z,32.760168,Senior Software Engineer - Remote,,5862367222,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Highland Park, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Highland Park']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjIwIn0.EIp8GvXNp3e_oOS1LNYA27g2k_5b5o8Sz-5GaBe_dyg,"Codeworks, an LRS company, is seeking a Senior Business Analyst who enjoys turning complex business challenges into actionable technology solutions and making a measurable impact through collaboration, analysis, and innovation for a contract position. This opportunity supports a team focused on marketing campaign initiatives, where youll partner with product managers, engineers, designers, and business stakeholders to deliver data-driven outcomes in an Agile environment. Responsibilities Partne…",1,Adzuna::API::Response::Job,-87.9119,132934.05,132934.05,https://www.adzuna.com/land/ad/5862367220?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=1D71F51A02606DE66BCB8D50B2A9CBDDE98C9D8A,2026-08-30T13:17:11Z,42.9426,Senior Business Analyst,contract,5862367220,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Saint Francis, Milwaukee County",Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Milwaukee County', 'Saint Francis']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzIyNyIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.-Z0_HXghbbLvCACr2IXljGdODiuzzLaJmiFUH9K9zvQ,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,-117.164709,233657.22,233657.22,https://www.adzuna.com/land/ad/5862367227?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=1E60C453A8ABFDC708610C58C447FF821DF1EF87,2026-08-30T13:17:11Z,32.726967,AI/ML Platform Architect - Remote,contract,5862367227,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"San Diego, San Diego County",Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'San Diego']",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjI5In0.USQCWPMbtBHMy3B8kdGt6b0_3IpD6-rsb5IR7aLeskI,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,,162169.75,162169.75,https://www.adzuna.com/land/ad/5862367229?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=9E9E9118E8A692F776F95963F71C562CB3609E24,2026-08-30T13:17:11Z,,AI/ML Platform Architect - Remote,contract,5862367229,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,US,Adzuna::API::Response::Location,['US'],
